review_date,review_text,review_rate,review_hotel,review_source
2024-01-19,已經入住至少四次了，他們的行政樓層的清酒令我念念不忘而且餐點很多遠又美味精緻，遠東香格里拉、台北漢來、希爾頓、喜來登的行政樓層根本跟J R沒辦法比！10分喜歡強力推薦，房間浴室比較久，其他都有重新裝潢也很好睡，服務人員都很客氣，游泳池小而美、健身房服務人員也很優秀， 1樓的咖喱飯令人懷念！ 早餐也是超豐富，根本目不暇給吃不完又是精緻型的不是只是堆一大堆東西！,10.0,JR東日本大飯店台北,Agoda
2024-01-15,環境清幽乾淨，交通方便，但係周圍就唔係好多購物。,8.4,JR東日本大飯店台北,Agoda
2024-01-14,The extra large size bed provides us with good sleeping time and is relaxing. The hotel is very close to metro station and ease travelling arrangements.,8.4,JR東日本大飯店台北,Agoda
2024-01-06,住的很愉快,8.8,JR東日本大飯店台北,Agoda
2024-01-04,服务非常到位，贴心❤️,10.0,JR東日本大飯店台北,Agoda
2024-01-02,地點很好的飯店，不論開車、搭捷運都很方便,9.2,JR東日本大飯店台北,Agoda
2023-12-30,位置好，設備優，餐好吃,10.0,JR東日本大飯店台北,Agoda
2023-12-28,整體住宿是滿意的 唯第一天入住時天氣很冷 沒有中央暖氣，服務生已經幫忙拿來暖爐 但杯水車薪下整晚還是太冷了 冬天入住的話不推薦,8.4,JR東日本大飯店台北,Agoda
2023-12-28,酒店出入十分方便，每次去到大堂門口都有的士在等候上客。不用一分鐘就可到達捷運站 每個遇到的大堂服務員，房務員都十分細心，主動幫忙協助 房間舒適，少許的未能滿意的是，這酒店未有主動提供小孩用品 (我們留在酒店時間不多也沒有去問，所以不知道有沒有提供),10.0,JR東日本大飯店台北,Agoda
2023-12-28,"The service is good and it is quite convenient , just few mins away from the metro station.",8.4,JR東日本大飯店台北,Agoda
2023-12-28,good location and friendly service,10.0,JR東日本大飯店台北,Agoda
2023-12-27,地點好到哪都方便，雙人大床很舒服重點是很好打滾🤣燈光也很喜歡，很明亮🩷衛浴設備浴缸非常寬敞👍🏻,9.6,JR東日本大飯店台北,Agoda
2023-12-27,櫃檯服務親切，早餐豐富，下次會再入住,10.0,JR東日本大飯店台北,Agoda
2023-12-25,工作人員：辦事有效率、態度親切 房間：乾淨整潔、寬敞舒適 設備：WiFi 速度OK、三溫暖療癒 從一樓門口到入住櫃檯都受到工作人員非常親切的對應。房間寬敞舒適，一應俱全，只要事先要求，嬰兒床也能事先設置好，處處感受到大企業旅館的細心和服務態度。,9.6,JR東日本大飯店台北,Agoda
2023-12-23,整體舒適 很棒,9.6,JR東日本大飯店台北,Agoda
2023-12-23,"服務很好, 泳池很不錯, 早餐很好吃",10.0,JR東日本大飯店台北,Agoda
2023-12-21,床很好睡環境整潔舒適 下次會在安排這一間,10.0,JR東日本大飯店台北,Agoda
2023-12-19,很舒服 演奏表演很舒服,10.0,JR東日本大飯店台北,Agoda
2023-12-18,這次快閃台北行，我的家人對此酒店非常讚賞，雖然短短3曰夜，家人均表示一定要再入住此酒店。 員工好，服務好，環境好，位置好，又可健身，游泳，三溫暖，今次未有時間嘗試SPA，下次一定試。,10.0,JR東日本大飯店台北,Agoda
2023-12-17,Very good experience,10.0,JR東日本大飯店台北,Agoda
2023-12-08,非常棒，下次去台灣還會住這邊。房間隔音也很好，衛浴設備泡澡希望能有提供沐浴鹽就更完美了。,10.0,JR東日本大飯店台北,Agoda
2023-12-05,Good,8.4,JR東日本大飯店台北,Agoda
2023-12-03,整體評價不錯喔！,10.0,JR東日本大飯店台北,Agoda
2023-12-03,每個服務員，清潔，櫃檯都很有禮貌，還有流利國語的日人服務生。房間清潔度高。早餐食物雖一般，但食物生鮮，麵包類應該是當天做，沒有那種隔天軟掉的感覺,10.0,JR東日本大飯店台北,Agoda
2023-11-28,飯店房間很整潔，空間也很大，地點相當便利，周遭餐廳林立，服務人員也很親切,10.0,JR東日本大飯店台北,Agoda
2023-11-25,飯店很乾淨，服務人員態度很好，絕佳的地點，下次還會入住,9.6,JR東日本大飯店台北,Agoda
2023-11-15,早餐非常棒,10.0,JR東日本大飯店台北,Agoda
2023-11-15,"Professional, Efficient, great bathroom with “toto” washlet",10.0,JR東日本大飯店台北,Agoda
2023-11-08,很棒,10.0,JR東日本大飯店台北,Agoda
2023-11-07,一進飯店能聞到舒服的香氛味，櫃檯人員也會協助叫計程車，是台北服務極佳的飯店,6.4,JR東日本大飯店台北,Agoda
2023-11-06,看了之前一些評價有些緊張，但實地去之後覺得很棒，能幫忙準備嬰兒床、烘乾消毒鍋、嬰兒澡盆很方便。Buffet非常美味，房間整潔度只能用一塵不染來形容（窗台邊有一道木頭地板，讓寶寶下來扶站前先用紙巾擦過，窗框跟木頭地板完全沒有灰塵）謝謝餐廳的服務人員對小朋友很有耐心也很親切~~~,10.0,JR東日本大飯店台北,Agoda
2023-11-03,整體設施典雅舒適，非常適合愜意的享受放鬆的假期，可以來入住看看，可以好好沉澱身心，讓自己在繁忙的城市中好好的放鬆思緒，得到一些靈感和啟發。,10.0,JR東日本大飯店台北,Agoda
2023-10-31,服務很好，房間很乾淨，早餐的部分很厲害，可以去吃,10.0,JR東日本大飯店台北,Agoda
2023-10-31,"perfect location, excellent staff service, close to MRT station where could reach a lot tourist spot. High cleaning standard inside room condition.",10.0,JR東日本大飯店台北,Agoda
2023-10-30,"嬰幼兒friendly, 提供嬰兒床, 空間很大也很舒適。 附近有很不錯的公園可以帶小孩玩。",10.0,JR東日本大飯店台北,Agoda
2023-10-28,連男友說下次再來台灣都要入住☺️,8.4,JR東日本大飯店台北,Agoda
2023-10-26,早餐真的好好吃🥹🥹🥹🥹,9.2,JR東日本大飯店台北,Agoda
2023-10-24,訂房網5折房價檢到寶，連稅不到NT3000一晚，住了3晚，日系服務體貼，staff很nice，自助餐試了晚餐和早餐，都很好吃，早餐房客特價NT600/位，其他85折，晚餐有起司焗蠔，早餐有牛排unlimited，酒店蛋糕做得不錯。房間彩光ok，插頭足夠，床很舒服，軟硬適中，一覺好眠，沐浴用品澳洲品牌good，每天4瓶水，大堂有外送架隨時uber eats方便拿取，附近各種名食，下次想試行政酒廊,10.0,JR東日本大飯店台北,Agoda
2023-10-21,整間hotel 服務都一流，除了餐廳的一位女員工煎蛋的到底被倒會多少錢？態度差，一直臭臉！真是懷了所有雅興！,7.6,JR東日本大飯店台北,Agoda
2023-10-14,服務人員真的很熱情，見到都會打招呼。房間也很乾淨，床也是軟硬適中。,9.2,JR東日本大飯店台北,Agoda
2023-10-12,行政房有點心bar太棒了,10.0,JR東日本大飯店台北,Agoda
2023-10-12,服務很好，來台北都想住這裡了,10.0,JR東日本大飯店台北,Agoda
2023-10-12,早餐超級美味，有煙燻鮭魚 蛋也現煎,9.6,JR東日本大飯店台北,Agoda
2023-10-10,泳池不大，早餐很好吃,9.2,JR東日本大飯店台北,Agoda
2023-10-10,不輪是服務與設備都很棒，位置也在捷運站附近。,10.0,JR東日本大飯店台北,Agoda
2023-10-10,很棒的體驗 早餐很多樣很好吃 還有三溫暖可以泡 房間很大住的很舒服😌 下次還會再來住,10.0,JR東日本大飯店台北,Agoda
2023-10-08,環境、動線、隔音都很理想和舒服，服務很順暢到位，睡得很好，非常推薦,10.0,JR東日本大飯店台北,Agoda
2023-10-07,不錯,9.6,JR東日本大飯店台北,Agoda
2023-09-30,Good,10.0,JR東日本大飯店台北,Agoda
2023-09-28,很乾淨,10.0,JR東日本大飯店台北,Agoda
2023-09-27,服務品質超級無敵好,10.0,JR東日本大飯店台北,Agoda
2023-09-21,適合度假,8.8,JR東日本大飯店台北,Agoda
2023-09-19,The staff are super polite and the environment is very nice!,9.2,JR東日本大飯店台北,Agoda
2023-09-14,游泳池接待人員非常貼心 態度親切，且安排女眷到等候室，避免尷尬 很用心的教育訓練,10.0,JR東日本大飯店台北,Agoda
2023-09-14,整個飯店上下的員工都非常的有禮對待，地理位置很方便，床很好睡，行政酒廊也很舒服，很棒！泳池雖小，但救生員大哥很親切，一切都讓人覺得賓至如歸！下次來台北，還是首選飯店！,10.0,JR東日本大飯店台北,Agoda
2023-09-14,The staff were super polite and friendly. Definitely recommend to others!,8.8,JR東日本大飯店台北,Agoda
2023-09-13,在網路上有提到要改一大床，但櫃檯人員卻給我2人單床的房型，隔天和她們反應說目前沒有大床的房型，只好將2個單人床併在一起，也完全沒有任何道歉及補償措施,8.0,JR東日本大飯店台北,Agoda
2023-09-12,整體設施服務不錯，下次還會再來！,8.4,JR東日本大飯店台北,Agoda
2023-09-11,整體住宿體驗非常的愜意舒適，非常適合放假來此徹底放鬆身心，住起來非常舒服放鬆，很台日混血的飯店，整體而言非常的不錯，還會再來入住 。☺️☺️☺️😊😊😊,9.6,JR東日本大飯店台北,Agoda
2023-09-11,飯店服務非常好，乾淨整潔！,10.0,JR東日本大飯店台北,Agoda
2023-09-11,Second time staying at the hotel. Great service and location. We love the park behind the hotel.,9.2,JR東日本大飯店台北,Agoda
2023-09-10,整體上住起來是非常舒適的。☺️,9.6,JR東日本大飯店台北,Agoda
2023-09-10,帶老人家來體驗一下日式飯店，床很舒服浴缸很大，早餐真的很好吃，服務人員都很貼心親切！非常推薦！！,10.0,JR東日本大飯店台北,Agoda
2023-09-02,早餐很豐富，員工很落力,9.2,JR東日本大飯店台北,Agoda
2023-08-29,離小巨蛋蠻近的，又有停車場，對於看演唱會很方便,8.8,JR東日本大飯店台北,Agoda
2023-08-28,一切都好，就是地墊髒了點,7.6,JR東日本大飯店台北,Agoda
2023-08-28,整體服務、裝潢、地點位置、舒適感都很棒，再加上飯店內獨有的香味，沒得挑剔👍🏻,10.0,JR東日本大飯店台北,Agoda
2023-08-27,這間適合商務，不適合親子。,8.4,JR東日本大飯店台北,Agoda
2023-08-27,酒店提供的拖鞋，踩在浴室地板上居然有黏著的感覺及聲響。,8.4,JR東日本大飯店台北,Agoda
2023-08-27,適合親子住宿，地點好，方便。,9.6,JR東日本大飯店台北,Agoda
2023-08-27,飯店有泳池、三溫暖健身房 晚上使用人比較多、會提醒客人要不要進入 游泳池採登記制（可當天打服務的專線預定） 三溫暖及健身房不用預約 飯店早餐種類很多 西式、中式皆有 最特別的是早餐有舒肥牛排,10.0,JR東日本大飯店台北,Agoda
2023-08-24,服務上是都不錯，2:40做左右到飯店，有讓我們先check in，很感謝 優點：服務人員都不錯、吹風機風量還行、床非常的好睡！！ 雖然我因為行程原因，睡不到6小時，但好的床墊讓我有充分著休息到，隔天一樣精神很好！ 我這次有買早餐的組合，還算合我胃口，但我這次同行的朋友好像覺得不夠日式的感覺，有點小失望 缺點：可能是因為舊飯店去改的，格局來說偏舊式，尤其是浴室吧，馬桶座有免治，但底下的馬桶是舊式的設計，我小號都感覺要沖2次才看起來沖乾淨，讓我有點傻眼 充電口都是typeA….我的線都typeC😂 這次的房型附的是Clarins的，聞起來還不錯 公設的部分我沒用到，所以不太清楚,7.6,JR東日本大飯店台北,Agoda
2023-08-23,飯店整潔舒適 服務人員也很親切貼心 。位置離捷運站也近 ！非常推薦攜家帶眷入住,10.0,JR東日本大飯店台北,Agoda
2023-08-22,泳池不大，需要預約。,8.8,JR東日本大飯店台北,Agoda
2023-08-22,"此次與家人同住行政樓層房間可以免費進入行政貴賓室. 開放時間為朝十晚十. 提供小糕點及很多種類飲品, 性價比高. 此外, 酒店附近有數個捷運站, 去哪裡都很方便",8.0,JR東日本大飯店台北,Agoda
2023-08-21,很幸運宣導行政套房， 行政套房餐點不只有Happy hour調酒服務，從10:00到22:00都有點心跟飲料，點心簡單的水果、糕點、飲料、啤酒、冰淇淋跟堅果，happy hour酒種類很多也有配酒的餐點，可惜只有2個小時～ 但還是覺得物超所值，入住整體感覺很好。,9.6,JR東日本大飯店台北,Agoda
2023-08-21,"good location for city tour,",8.8,JR東日本大飯店台北,Agoda
2023-08-20,床很舒服 衛浴空間大,9.6,JR東日本大飯店台北,Agoda
2023-08-20,一定要含早餐，是我吃過最棒的自助吧飛，舒肥牛排吃到飽、還有很多種類，一定要升到行政房型，可以使用行政酒廊的餐食真的很棒，很可惜晚入住錯過了下午茶時段，晚上的happy hour 鹹食很豐盛，可惜自己的胃塞不下這麼多。房間的裝潢也很低調質感，住起來真的很舒服，好好待一整天都不是問題。👍,9.6,JR東日本大飯店台北,Agoda
2023-08-20,超棒,10.0,JR東日本大飯店台北,Agoda
2023-08-20,餐點精緻好吃，房間乾淨，員工服務禮貌且貼心，極力推薦！,10.0,JR東日本大飯店台北,Agoda
2023-08-19,超讚 房間大又且舒適 有小朋友很喜歡的泳池,10.0,JR東日本大飯店台北,Agoda
2023-08-19,服務人員每位都很親切，房間很乾淨、停車方便，且出飯店門口對面就是捷運站，要到附近逛逛不是問題。入住們特別備註有壽星，飯店很貼心附上一個小蛋糕👍！,10.0,JR東日本大飯店台北,Agoda
