review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,It's really good,10.0,亞都麗緻大飯店,Agoda
2024-01-13,餐廳也很棒,,亞都麗緻大飯店,Agoda
2024-01-05,還可以,,亞都麗緻大飯店,Agoda
2023-12-27,停車位很少，需要依靠工作人員挪移取車不方便，房間設備老舊未更新，這個價位可以有其他更好的選擇,,亞都麗緻大飯店,Agoda
2023-12-26,我在這家酒店住宿的經歷非常愉快。酒店的房間寬敞舒適，床鋪柔軟舒適，我在這裡睡得很好。客房內部的佈置也非常整潔。我對飯店的服務非常滿意，工作人員非常友善和樂於助人。他們總是迅速回應我的需求，並確保我住得舒適。另外，飯店的位置也非常方便，靠近市中心和旅遊景點。,10.0,亞都麗緻大飯店,Agoda
2023-12-26,好方便,10.0,亞都麗緻大飯店,Agoda
2023-12-24,超棒,10.0,亞都麗緻大飯店,Agoda
2023-12-23,早餐是點餐式的，服務精緻。地點交通方便。下次會續住！,10.0,亞都麗緻大飯店,Agoda
2023-12-19,洗髮精、面紙用完沒補充。小客廳內加床使用插座用呼吸器睡覺，到半夜居然沒電。床品質不好,,亞都麗緻大飯店,Agoda
2023-12-18,棒,10.0,亞都麗緻大飯店,Agoda
2023-12-10,服務親切品質良好.環境整潔棒地點超棒,10.0,亞都麗緻大飯店,Agoda
2023-12-09,很愉快的住宿經驗，下次到台北回再考慮住Landis.,,亞都麗緻大飯店,Agoda
2023-12-09,服務員的態度超棒，每一位都令我們覺得很安心，容房很舒適、乾淨，天氣不好也想賴着酒店休息，還有他們有停車場，泊車非常方便，唯牙刷等用品因為他們環保，所以如果想要的話，可以跟他們說，他們也會幫你。 下次一定會再來這間酒店入住👍🏻,,亞都麗緻大飯店,Agoda
2023-12-06,很棒的環境,,亞都麗緻大飯店,Agoda
2023-11-28,員工很細心且注意每個細節，從Check in 到清潔人員都親切服務。,,亞都麗緻大飯店,Agoda
2023-11-14,"This is the 2nd time I stay at Landis hotel. Landis is a details mania, from the proper breakfast coffee serving temperature to the practical stationery items at room, they care all the details of every aspect of my accommodation. Definitely I will come back to Landis in the future. Highly recommended.",,亞都麗緻大飯店,Agoda
2023-11-12,房間舒適，書桌大小適合辦公 閱讀椅跟燈光的配置也很恰當，並有提供文具，適合商務旅客,,亞都麗緻大飯店,Agoda
2023-11-08,房間Bose音響很讚，房間迷你吧上下提供的好像都要費用，員工表現100分，美中不足是沒有地下停車場。 如果有出差還是會考慮入住。,10.0,亞都麗緻大飯店,Agoda
2023-11-05,"Good, 早餐太簡單了",10.0,亞都麗緻大飯店,Agoda
2023-11-05,CP值低,,亞都麗緻大飯店,Agoda
2023-10-18,不愧是以優質服務著名的飯店，從抵達便享受到滿意的服務，十分滿意這次的入住經驗,10.0,亞都麗緻大飯店,Agoda
2023-10-13,辦理入住時已接近下午三點，櫃台人員仍不願安排入住，甚至沒有邀請於大廳稍後，直接要我們三點之後再來，變成時間到了，所有房客都擠在同一時間辦理。另外請問櫃台人員到桃園機場的接駁，竟然只會幫忙叫車，門口的機場直達巴士1841不知道，也不會說明機場快線的搭法，對於飯店週邊交通完全沒基本知識，這樣素質要當前台服務人員，實在太糟糕了！ 相對的，不論是門口的porter或房務服務都相當棒，真的可惜了他們的努力。,,亞都麗緻大飯店,Agoda
2023-10-08,"再次入住亞都麗緻, 服務水準仍是沒話說, 維持了高品質。",10.0,亞都麗緻大飯店,Agoda
2023-10-05,服務很好,,亞都麗緻大飯店,Agoda
