review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,位置很好很方便，房間安靜又乾靜，CP值高。,,兄弟大飯店,Agoda
2024-01-19,房間很乾淨 很新 港點好吃 早餐待改進 服務人員都很棒,10.0,兄弟大飯店,Agoda
2024-01-18,1.住宿地點非常方便，就在捷運7號出口處 2.房間的床非常舒適，房間非常乾淨。冰箱還送3罐小汽水 3.早餐也很好吃，可說物超所值,,兄弟大飯店,Agoda
2024-01-17,房間非常乾淨。早餐味道一般。可以不預訂。,,兄弟大飯店,Agoda
2024-01-16,離捷運站很近、附近有很多商店、商場！房間有改裝過，有免治馬桶！還蠻舒適！早餐普普！免費停車！,,兄弟大飯店,Agoda
2024-01-16,Best hotel in the area.,10.0,兄弟大飯店,Agoda
2024-01-14,房間很清潔、漂亮，也很安靜，交通很方便，生活機能很棒,,兄弟大飯店,Agoda
2024-01-11,讚,10.0,兄弟大飯店,Agoda
2024-01-08,整潔舒適，房間大小適中，餐廳多又方便，員工服務態度良好,,兄弟大飯店,Agoda
2024-01-07,交通位置非常好！方便極了,,兄弟大飯店,Agoda
2024-01-04,以台北飯店來說，價格真的挺划算的，也比較合理，現在太多飯店甚至沒有星級的，隨便房價一晚都敢開到上萬，破壞國旅，光憑這點就要支持兄弟飯店了。雖然老牌但有裝修過挺新的也舒適，雖然房間和床都不特別大，但也不顯擁擠。交通又方便、有停車場、週遭都有商場和餐廳，機能超好。且有附早餐。如果要說個人比較不滿意的應該是自助早餐沒有很精緻美味的感覺（個人感受，飲食每個人口味不同），但服務人員態度真的蠻好很積極！還有就是8點半才開放自助早餐，時間有點晚。另外就是浴室是浴缸浴簾沒有乾濕分離，床不是king size。但影響不大，之後還會入住！,,兄弟大飯店,Agoda
2024-01-02,非常棒！ 很值得住！,10.0,兄弟大飯店,Agoda
2024-01-02,交通便利，客房乾淨,,兄弟大飯店,Agoda
2024-01-01,離小巨蛋很近，環境乾淨。很適合聽演唱會的住宿選擇,,兄弟大飯店,Agoda
2023-12-30,在聖誕節其他飯店漲價漲到無可救藥的時候，只有這間在捷運的飯店還能維持一晚不到四千，重點是房間空間一個人住非常舒服，非常推薦單人住！,10.0,兄弟大飯店,Agoda
2023-12-29,價格平實，地點很棒，重新翻修，房間整齊，推薦住宿！,,兄弟大飯店,Agoda
2023-12-29,飯店旁就有捷運，雖然飯店較為老舊，但房間有重新整修過也很乾淨，飯店人員也都非常友善,,兄弟大飯店,Agoda
2023-12-27,鄰近捷運 房間清潔,,兄弟大飯店,Agoda
2023-12-27,早餐不好吃 隔音不好,,兄弟大飯店,Agoda
2023-12-26,若有快速退房更好,,兄弟大飯店,Agoda
2023-12-26,Good,,兄弟大飯店,Agoda
2023-12-25,房間寬敞 內裝很新 住宿體驗很好,10.0,兄弟大飯店,Agoda
