review_date,review_text,review_rate,review_hotel,review_source
2024-01-19,各個服務生態度極好！也很有禮貌很親切！價位雖然高，但有品質，晚餐部分每一道菜都會詳細介紹！每一道菜都很特別很好吃！,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2024-01-18,慶祝另一半生日去選擇住宿，不論是住宿或者是人員素質整體感受非常良好，有機會一定會再次蒞臨。,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2024-01-16,晚餐普。房間舒適，人員親切。 早餐很不錯再加上窗景的大樹綠意 最喜歡了。,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2024-01-05,下午在北投附近逛一圈，地理位置非常好、服務到位、參加活動有趣、溫泉舒服、房間乾淨。,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2024-01-03,房間很乾淨，服務人員也很有耐心親切,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-12-29,北投接送服務、早餐晚餐、設施都很滿意，有機會來台北會再來。,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-12-28,物超所值，整潔舒適 這間酒店真是物超所值！我們住在這裡的經驗非常愉快。酒店的設施非常出色，尤其是溫泉設施令人印象深刻。酒店員工非常有禮貌，解說各方面安排十分清晰。酒店有茶道體驗及擴香石制作活動。早餐提供的選擇豐富，我們能品嚐到各種美味的食物。酒店的員工非常友善和專業，總是樂意幫助我們解決問題。住宿位置也很方便，步行就可以到達附近的購物區和交通工具站點。整個酒店保持得非常乾淨整潔，給人一種非常舒適的感覺。如果你正在尋找一個物超所值且舒適的住宿選擇，我們強烈推薦這家酒店！,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-12-25,服務人員非常的友善，看到我帶著嬰兒馬上主動問我需不需要消毒鍋，嬰兒澡盆甚至是嬰兒床，就算我之前都沒有提出要求要這些。同時詳細問我孩子的身高，也幫我孩子準備適合大小的浴衣，還有小玩具，讓我們ㄧ家人享受舒適開心的旅程，大人好好放鬆，小孩自己玩得很開心,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-12-24,服務態度非常好，軟硬措施很好👍🏻,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-12-15,非常好,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-12-14,"室內溫泉超棒,大眾湯的原湯也很棒 服務人員很貼心",10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-12-09,打電話來確認住宿的人員 好像蠻想下班😅,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-11-30,"今次是第三次入住加賀屋。 每次入住都感到很開心。 這裡地方大, 全棟共16層, 只有7-16樓才設有房間 , 房間也很大, 不會感到擠迫。 有得多共用空間, 可以供住客拍照留念的地方也很足夠, 而且不會很多人。 食物方面也能保持質素。 員工也很詳細解釋所有流程, 服務很好, 很熱情的。 整理也非常滿意~!",10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-11-29,有帶3位小小孩，用餐時服務人員特別安排包廂，避免小小孩哭鬧，影響他人用餐，真的讓我很放心的享用餐點，感謝……,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-11-29,賓至如歸,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-11-25,很乾淨，景觀很棒，餐點也很好吃，員工服務好,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-11-21,想在台灣體驗日式建築及管家服務，一定要去住住看！,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-11-18,室內空氣館內全封閉 可惜 無新鮮空氣 在北投好山好水環繞中,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-11-10,一個完美呈現所有和式體驗的飯店，一個真正讓你生活步調變慢並感受到身心放鬆的假期，雖然價格上相對其他五星溫泉飯店比較高，但一生必來,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-11-08,環境整潔舒服，充滿特色，服務周到，身心都被照顧到，非常推薦。,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-10-20,在大廳跟介紹環境的工作人員 服務很好 但下午有去大眾湯 服務人員態度差很多，有點嚇到，早上吃早餐餐具很不乾淨…..不太像加賀屋該有的水準，失望,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-10-18,晚上去泡湯的話 要留意有營業時間,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-10-14,飯店服務及設施都很棒，唯一掃興之事，退房後離場取車，想說是取車尖峰時刻本會稍等，但真的等很久，我已主動詢問多次，服務人員始終僅告知再稍等，未幫忙確認狀況。一直叫我稍待..等了40分鐘，我們已相當不解的質問，飯店察覺晚來的車也都取完了，才去確認並坦承內部溝通出現問題。我們也因此耽誤了下一個行程，很可惜有不好的經驗。,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-10-12,整體服務很好，非常推薦 晚餐及早餐都很好吃，明明在台北卻好像在日本 這次是幫男朋友慶生，很多細節都做的很到位，讓我們度過一個很棒的生日,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-10-11,清潔度不佳，園景房有種年久失修的感覺,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-10-03,對外風景經服務員處理 更換完畢,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-10-02,棒！值得一試,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-10-01,晚餐餐點設計部份可稍作加強,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-10-01,早餐好吃有壽司，整體房間大且寬敞，雖然有發現一點灰塵，但是整體不影響住宿時的驚艷，有機會還會再次來訪,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-09-30,"費用太高, 早餐不太好吃",,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-09-18,服務親切 早餐很棒 交通便利,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-09-16,日勝生加賀屋環境優美、員工也非常親切有禮，這次住宿讓我們美好的回憶。,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-09-15,價格這樣貴的飯店 岩盤浴並非每個人預約的到 看的到用不到 員工不足 商店沒有人服務 可惜,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-09-10,放鬆慶祝節日的首選，推推！！,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-08-24,停車取車應該可在客戶check out 時，同時通知泊車人員取車，而不是要客戶下樓再找泊車人員,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-08-24,"一家人入住得到很好的放鬆, 設施和工作人員都很友善和服務周到",,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-08-19,100分,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-08-16,"價錢貴 但服務質素高 基本上好像到了日本一樣, 但同樣價錢在日本可以一泊兩食, 這裏祇有一泊一食. 但是一生人 值得體驗一次.",,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-08-15,房間和公眾設施都很好，員工服務很好。 雖然房內可以浸溫泉，還會推薦去酒店內的浴場，非常舒服的地方。,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-08-08,"房間大,有分龐、房、浴室及膺所，每個位置都有門分開。房間內可浸溫泉，4樓也可。5樓亦可BOOK(冇試)。服務態度好，只是走廊上隔音未能完美(如有小朋友在走廊上叫會聽到)。早餐種類豐富，亦很美味。",10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-08-07,價位與設施環境 性價比稍嫌不足,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-08-07,以價錢與設備環境相比 稍嫌不夠好 中上,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-07-10,溫泉舒適，早餐好吃 在台灣可以享受到日式飯店風 讚讚,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-07-10,早餐友善素食，選擇很多很好吃！,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-06-25,夏天時希望房間冷氣能再涼一些 已開到16度，但體感溫度仍像27度,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-06-11,所有的一切都很讚，我們度過一段很棒的假期,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-06-08,太貴了,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-05-23,大體來說很不錯的體驗，管家介紹房內設施時非常熟練，但速度快了一些，感覺急著要離開，或像機器人一樣。停頓一下，允許客人問問題，再接下一個 介紹，會比較符合度假的感受。,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-05-21,這飯店的早餐非常非常好👍 選擇又多有日式，中式及西式應有盡有 而且食物還很精緻😍感受到員工真的用心製作非常值得推介👍👍,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-05-12,"地點方便,餐廳好吃~工作人員親切~很不錯的體驗",10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-05-09,有讓先生稍稍滿足出不了國的感受，給他滿滿日本味,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-05-08,花費很高但是服務卻很普通 還不如其他價位沒這麼高的飯店 來到台灣就失去了日式飯店該有的水準 只能說是對加賀屋這個名號太過期待了,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-05-02,報到櫃檯擁擠、設施老舊、服務也不佳,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-04-27,"雖然員工服務很nice , 但太貴了設備有點舊舊的、早餐也還好, 沒有物超所值的感覺",,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-04-24,整體氣氛、位置、環境、設備都很好，就是房間的冷氣聲有一點噪音,,北投日勝生加賀屋國際溫泉飯店,Agoda
2023-04-23,人員非常用心，很像在日本一樣！,10.0,北投日勝生加賀屋國際溫泉飯店,Agoda
