review_date,review_text,review_rate,review_hotel,review_source
2024-01-14,床太小，枕頭太軟，早餐還不錯!!,,北投春天溫泉酒店,Agoda
2024-01-12,客房乾淨度好，只是房內溫泉比預期的小 但是早餐的buffet很難接受，種類少，不吸引人,,北投春天溫泉酒店,Agoda
2024-01-11,"各方面都十分好,服務員十分親切有禮貌 早餐不錯 也好吃 最欣賞室內的溫泉,是真的有硫溫泉 每天晚上浸泡一下,消除疲勞 入睡舒服到早上",10.0,北投春天溫泉酒店,Agoda
2024-01-11,飯店位置很高，溫泉品質很好，早餐不浮誇但很實在，房間乾淨舒服，維持得不錯，服務人員親切有禮貌，雖然看得出來有歷史，但維持得不錯，會想回訪。,10.0,北投春天溫泉酒店,Agoda
2024-01-11,良好服務，露天溫泉環境大， 優美,10.0,北投春天溫泉酒店,Agoda
2024-01-10,空調很大聲，隔音不太好,,北投春天溫泉酒店,Agoda
2024-01-10,為了泡溫泉跟好好休息，選擇來春天入住第二次了，感覺依然很好，雖然不曉得下一次可能要一段時間才有機會造訪了，但這次的住宿真的很開心,10.0,北投春天溫泉酒店,Agoda
2024-01-10,住了兩個晚上工作人員的態度良好，酒店房間乾淨舒服，房間內的溫泉也很好。早餐選擇太少，味道也不行；最大的問題是露天溫泉的池水，8個池的水只有按摩池的水是夠熱的，其他完全不夠，真的非常失望,,北投春天溫泉酒店,Agoda
2024-01-06,整體環境佳 但是仍有霉味,,北投春天溫泉酒店,Agoda
2024-01-05,員工很熱心飯店整體都很不錯,,北投春天溫泉酒店,Agoda
2024-01-04,温泉白天因为接受只是泡汤的旅客，有些过于拥挤。 晚餐只有一个日本餐厅，食物一般有待改进，但是价钱偏贵。,,北投春天溫泉酒店,Agoda
2024-01-03,帶了兩個嫩嬰前往住宿，因發現房間洗手台沒有熱水可以使用，冬天洗奶瓶、洗小孩屁股什麼的都很麻煩，於是立馬被升等入住兩倍以上大的四人房，房務人員及客服人員都很優秀協助搬運行李、床位及嬰兒床，這一晚我們兩大兩小也睡的十分舒服，美中不足的是商務中心的消毒鍋沒有烘乾功能，再拿布或紙巾擦拭瓶內的水又怕帶入細菌實在是有點囧，十分建議酒店能升級一下消毒鍋,10.0,北投春天溫泉酒店,Agoda
2024-01-03,溫泉設施不錯 雖然很山上，但有接駁車接送方便。 會再次住宿👍,,北投春天溫泉酒店,Agoda
2024-01-02,因為很早預訂所以價格還算優惠，溫泉很棒，住宿期間泡了好幾次，早餐也是非常美味，美中不足就是沒帶到泳衣所以沒有去露天的浴池體驗,,北投春天溫泉酒店,Agoda
2024-01-02,接待人員很專業且貼心，設施還不錯，房間內冷氣還蠻冷的，有接駁車可以預約且免費，很貼心服務，早餐就一般般。,,北投春天溫泉酒店,Agoda
2023-12-31,很開心的一個住宿經驗，而且房間內有浴缸可以泡澡超舒服，唯一可惜戶外的泡湯雖然多池，但最高的溫度不夠高,10.0,北投春天溫泉酒店,Agoda
2023-12-30,寬敞舒適，早餐豐富 房間內的浴池很棒，丈夫說露天溫泉更棒！可惜我與小孩沒有享用，下次一定要早一點入住才能享受足夠！,,北投春天溫泉酒店,Agoda
2023-12-22,我們住兩間雙人房 櫃檯人員幫我們安排連通房很讚 很方便我們進出聊天 房間內的鏡子擺放位置很奇怪 位於桌子側邊 沒辦法直接正面照鏡子 只能去廁所才能正面使用鏡子 戶外溫泉區 有規定不能使用手機 其實大多數旅客都在使用 不太清楚這項規定是為什麼 櫃檯接待的先生 不知道是不是太累 或者職業倦怠 講話有氣無力的 辛苦了 因為大家都穿泳衣 沒什麼私密的問題,,北投春天溫泉酒店,Agoda
2023-12-12,服務親切，乾淨整潔,10.0,北投春天溫泉酒店,Agoda
2023-12-09,酒店地點很遠很遠 酒店有提供接駁巴士 但是一個小時只有一個班次 ，住宿很一般 ，但是酒店餐聽「竹林亭」食物很不錯 服務也很好,,北投春天溫泉酒店,Agoda
2023-12-08,溫泉♨️好泡 早餐豐盛好吃,,北投春天溫泉酒店,Agoda
2023-12-05,服務人員貼心,10.0,北投春天溫泉酒店,Agoda
2023-11-29,房內設施老舊,,北投春天溫泉酒店,Agoda
