review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,謝謝水美優秀的員工和環境，讓我和小孩能好好的休息及享受,10.0,北投水美溫泉會館,Agoda
2024-01-21,非常之好,10.0,北投水美溫泉會館,Agoda
2024-01-19,公眾池溫泉的水療設施特別舒服，房內的溫泉也很好，員工態度不錯很落力，房間包的早餐有驚喜很好吃 ，特別是炒蛋和沙拉，交通方面地點很方便，來回士林夜市也就半個小時；整體上很推薦住水美喔！,,北投水美溫泉會館,Agoda
2024-01-18,北投溫泉泡湯首選！,,北投水美溫泉會館,Agoda
2024-01-16,值得推薦,10.0,北投水美溫泉會館,Agoda
2024-01-15,"優點:離捷運站近,環境乾淨 缺點:早餐不好吃,選擇少,溫溫的不熱",,北投水美溫泉會館,Agoda
2024-01-14,以週末價位來看，房間的維護應該更理想一點，空調設備運轉不佳通風不良，馬桶沖水按鈕鬆脫，房間內的裝潢可以提升一點。,,北投水美溫泉會館,Agoda
2024-01-14,房間整潔有設計感。房間內的小點心很多。房間內的溫泉和床鋪空間有隔開，泡完溫泉之後可以悠閒地在榻榻米上休息，非常舒適。 早餐很好吃。,,北投水美溫泉會館,Agoda
2024-01-13,服務好 溫泉舒服,10.0,北投水美溫泉會館,Agoda
2024-01-12,隔音soso,10.0,北投水美溫泉會館,Agoda
2024-01-11,雖然價格偏高 但房間又大也有溫泉 也能使用大眾池 兩個泡起來都很舒服 久久讓自己來放鬆一次也很不錯,,北投水美溫泉會館,Agoda
2024-01-09,房間保留了日式溫泉的設計，泉水很好，在房內也可舒服地泡,10.0,北投水美溫泉會館,Agoda
2024-01-09,房內空間寬敞，浴室泡澡也很大，夫妻兩人住宿非常足夠,10.0,北投水美溫泉會館,Agoda
2024-01-08,室內有溫泉設施 大牀 地方乾淨 距離捷運3分鐘路程,10.0,北投水美溫泉會館,Agoda
2023-12-28,唯一停車麻煩 停外面也沒有最高收費制度 旅社應該要配合外面的停車場優惠,10.0,北投水美溫泉會館,Agoda
2023-12-26,員工表現好、地點亦方便,,北投水美溫泉會館,Agoda
2023-12-26,停車還要收費200有點不合理其他都還算可以,10.0,北投水美溫泉會館,Agoda
2023-12-25,房間很貼心附了聖誕餅乾和許多零食飲料，家具乾淨，自助早餐選擇很多也很好吃。,10.0,北投水美溫泉會館,Agoda
2023-12-22,床墊太薄太硬 沒暖氣 冬天不宜住和式房,,北投水美溫泉會館,Agoda
2023-12-21,"隔壁房間浴室放水＆排水聲音很大, 尤其在夜深人靜時段更明顯, 其餘真的都不錯",,北投水美溫泉會館,Agoda
2023-12-20,全家旅遊！ 非常滿意。 距離捷運站非常接近，離北投景點也都非常接近，飯店乾淨，泡湯住宿一次搞定。,10.0,北投水美溫泉會館,Agoda
2023-12-19,距捷運站近 吃喝方便,,北投水美溫泉會館,Agoda
2023-12-19,設備、環境較舊，但整理乾淨。交通方便，鄰近多嘢食，房間可以私人浸溫泉,,北投水美溫泉會館,Agoda
2023-12-19,距離捷運站很近不用爬山 周遭吃的也很多 房間寬敞 溫泉品質很好 也算安靜沒什麼吵雜聲 早餐好吃😋,10.0,北投水美溫泉會館,Agoda
2023-12-18,地理位置非常好，即使不開車，也能方便旅遊及泡湯,,北投水美溫泉會館,Agoda
2023-12-17,整體感受不錯 只是冰箱飲料上面有灰塵,,北投水美溫泉會館,Agoda
2023-12-17,男湯沒什麼特別 女湯有Spa,,北投水美溫泉會館,Agoda
2023-12-17,第一次遇清潔房間之後沒有關門，直到我們晚上回到酒店後都還是沒有關門。房間收拾也是沒有做好，毛巾收了，但沒有補回去，補品等等也是一樣。被子都只是隨便卷一下就算了。早餐只有一點點溫。,,北投水美溫泉會館,Agoda
2023-12-16,交通便利，景點很近！ 標準雙人房，房間內泡澡池老舊,,北投水美溫泉會館,Agoda
2023-12-16,我幫我爸媽訂了這間飯店，他們對於乾淨度、交通方便度以及設施都非常滿意👍🏽,,北投水美溫泉會館,Agoda
2023-12-14,住宿位置便利 房間整潔 推薦,,北投水美溫泉會館,Agoda
2023-12-14,除了床頭沒有插頭不方便之外 其他都很不錯,,北投水美溫泉會館,Agoda
2023-12-11,房間內的溫泉池相當寬敞舒適，環境整潔而且床鋪睡起來很舒服，早餐豐盛餐廳服務人員也很專業貼心。周圍不好停車，開車要找停車位頗費工，大廳櫃台人員保持禮貌冷漠，還不至於不適但也沒辦法期待能得到太多幫助。,,北投水美溫泉會館,Agoda
2023-12-10,1.最大的優點是交通位置非常方便，捷運新北投站一出站走個2分鐘就到了。除此之外CP值就算普通。 2.門口有青磺泉手湯和湯守觀音祈福鐘，可以在旅程開始前來參拜，讓祂保佑你旅途平安順利。 3.房間有浴衣可以穿，米黃色，滾邊有「水美」字樣。 4.大眾湯是裸湯，沐浴區水溫有時會忽冷忽熱，有白磺湯(常溫)、白磺湯(高溫)、水療池、水療椅、冷水池、烤箱等區域，進去時會有工作人員引導。 5.房間枕頭有點太軟。 6.可以在一樓櫃台寄放行李。 7.房間Wifi一開始訊號不佳，後來才比較穩定。 8.早餐選擇多，中上。,,北投水美溫泉會館,Agoda
2023-12-06,整體來說很舒適，又專人泊車(費用計次)，房間比較潮濕,,北投水美溫泉會館,Agoda
2023-12-05,浴室都發霉，隔音也不好！,,北投水美溫泉會館,Agoda
2023-12-03,早餐空間稍嫌小，其餘住宿環境，風景，人員，整潔，設備，服務皆很完美,,北投水美溫泉會館,Agoda
2023-12-02,浴室燈泡壞掉、有水垢沒清除，其他部分表現都不錯，早餐也不錯吃，人員服務佳,,北投水美溫泉會館,Agoda
