review_date,review_text,review_rate,review_hotel,review_source
2024-01-21,除了早餐難吃以外其他都很好,,北投麗禧溫泉酒店,Agoda
2024-01-15,當踏入這裡就能感受到應有的氣派，check in亦無需排隊，有專人為你服務。房間方面，清潔度很好浴室洗手間排水都沒有問題。另外亦有提供shuttle服務，唯shuttle車位有限。整體十分滿意,,北投麗禧溫泉酒店,Agoda
2024-01-14,房間舒適乾淨，風景好。可是實在太貴了，不合比例，住一次就夠了，不會住第二次,,北投麗禧溫泉酒店,Agoda
2024-01-12,非常好的一次體驗，很喜歡室內浸私人風侶。但另一半說早餐比較普通。其他都很不錯，一定會再次入住！,,北投麗禧溫泉酒店,Agoda
2023-12-26,"We are family group of four, reserved 2 deluxe rooms for one night. Arrived the hotel around 12 noon, and we found the rooms already set ready for checking in after we finished our lunch around 1:45 pm. So we could check in our rooms a hour earlier than expected. Thanks for the team, who managed so well that we could have a early check-in.",,北投麗禧溫泉酒店,Agoda
2023-12-25,略,10.0,北投麗禧溫泉酒店,Agoda
2023-12-25,入住當天剛好是台北氣溫最低的，但是那一天熱水是不夠燙，家人早上還會在沖涼一次，所以等於洗了兩次的冷水澡，飯店知悉那幾天寒流會來早就應該要加強每一間設備在那幾天重複確認設備的穩定性，而不是我們到了半夜要洗澡才要呼叫前台來修理，第一次入住那麼高級的飯店失望大過於期待,,北投麗禧溫泉酒店,Agoda
2023-12-19,這次一樣是帶太太過生日，很早就預訂了麗禧酒店，扣除掉北投溫泉酒店必備的大眾湯與獨立湯屋之外，麗禧酒店最讓人感到貼心的是他們的服務。 因為工作繁忙，一直到住宿前一天（還是當天忘了）才致電說希望住宿時能有蛋糕幫太太慶生，服務人員馬上答應能立即協助。在Check-In時，服務人員會讓你坐在沙發區由櫃檯人員移步到沙發區做Check-In，非常貼心。房內除了水果與Mini Bar之外，還有一小壺的梅酒提供試飲，此外房內的泡湯浴池也是目前我住過的酒店中最大最深的，非常推薦冬天的時候來這邊泡湯，麗禧有太多可以講的優點，非常推薦。,,北投麗禧溫泉酒店,Agoda
2023-12-12,北投文物館旁，無論房間內或大眾裸湯都非常舒服的享受，慶生還附小蛋糕很貼心,,北投麗禧溫泉酒店,Agoda
2023-11-12,浴缸轉角等細節清潔有點沒清，其餘都很不錯，健身房設施少,,北投麗禧溫泉酒店,Agoda
2023-11-11,風景優美 服務好 房間寬敞 可泡湯,10.0,北投麗禧溫泉酒店,Agoda
2023-11-09,飯店設施讓人放鬆，人員服務也很好，也體驗了一次開夜床的服務！早餐是套餐形式，很精緻。房間的點心、備品都很充足。可惜這次入住低樓層的房間，房內泡湯或是在陽台放鬆時，都會看到外面馬路的人來人往及聽到些許噪音。希望還有機會可以再去！,,北投麗禧溫泉酒店,Agoda
2023-11-09,Everything is good.,,北投麗禧溫泉酒店,Agoda
2023-10-30,1間非常高質的溫泉酒店，雖然價錢比較貴但是值得的。不論設施、服務都非常棒，還有早也是非常棒。,10.0,北投麗禧溫泉酒店,Agoda
2023-10-28,各方面都很棒，可以讓人很放鬆的飯店,10.0,北投麗禧溫泉酒店,Agoda
2023-10-27,房間有浸溫泉，非常棒。環境很舒服。員工服務態度非常好，值得推薦。我給六粒星。唯一地點，要坐接駁車，但是都非常值得。,,北投麗禧溫泉酒店,Agoda
2023-10-26,有私人空間的温泉體驗，環境舒適,10.0,北投麗禧溫泉酒店,Agoda
2023-10-25,我帶著80幾歲的爸爸媽媽去 服務人員面帶笑容的不停的噓寒問暖 倒茶遞水 建議各種安排 可以感受到真心地被歡迎,,北投麗禧溫泉酒店,Agoda
2023-10-04,很笨,10.0,北投麗禧溫泉酒店,Agoda
2023-09-25,飯店是名符其實的五星級，除了設備、整潔、備品的用心外，飯店服務人員都訓練有素，貼心的接住每位客人的需求，招待外國朋友來住宿感到非常有面子，也完全體現出台灣最美的風景是人。,10.0,北投麗禧溫泉酒店,Agoda
2023-09-20,An excellent resort hotel with stunning view & great hospitality. Hot spring facilities are second to none: one can enjoy brilliant sunset view inside the hotel room bathing in a hot spring. Unforgettable experience!,,北投麗禧溫泉酒店,Agoda
2023-09-11,職員態度十分友好,,北投麗禧溫泉酒店,Agoda
2023-09-11,我入住飯店的時候， 招待的人員態度很良好，並且很細心的介紹房間內的設施，親切的叮嚀，特別是詳細的了解飲食上可能的過敏原。 海鮮是我們過敏源中的一項，但是當早餐套餐端上桌的時候，看到兩盤一模一樣的小菜，不禁疑惑的詢問服務人員，這兩盤菜有何不同，服務人員冷漠的回答，因為你們不吃海鮮，所以就給他兩盤一模一樣的菜。 雖然服務前台態度人員良好，但是後援團隊的冷漠，破壞了整個好感度，更嚴肅的來說，他們根本不在乎住客的感受，更不會為食物過敏的顧客多用一分心來準備食物。 如果以這個價格在日本溫泉飯店住宿，一定是為顧客量身訂作食物，而非用這種敷衍的態度打發顧客。 房間內的設施都已經老舊了，浴室磁磚牆面也有污漬， 很可惜！,,北投麗禧溫泉酒店,Agoda
2023-08-28,服務真的很好，在台灣飯店算是很難得服務到這麼精緻的～,,北投麗禧溫泉酒店,Agoda
2023-08-14,露天溫泉很棒，還有岩盤浴、烤箱等可以交替用；晚餐要另外加購，有些配料使用蠻特別（如：馬告），不喜歡的要提早問一下,,北投麗禧溫泉酒店,Agoda
2023-07-20,非常舒適安靜，隱私度也夠！,10.0,北投麗禧溫泉酒店,Agoda
2023-07-15,CP值略低，床雖是大床一個但是是兩張單人床併起，空間大小不錯，能放鬆到，梅酒也不錯喝。,,北投麗禧溫泉酒店,Agoda
2023-07-08,Good service & comfortable room. looking forward to next vacation,,北投麗禧溫泉酒店,Agoda
2023-06-23,Love Hotel's great services and hot spring facilities.,,北投麗禧溫泉酒店,Agoda
2023-06-16,工作人員態度、服務都非常優秀，值得你自己來感受,,北投麗禧溫泉酒店,Agoda
2023-06-15,環境、設備、餐食跟服務都超棒的，溫泉的品質更不用說，同行的朋友都說有機會的話還會想再來住宿🥰,10.0,北投麗禧溫泉酒店,Agoda
2023-06-07,不便宜但住的是開心,,北投麗禧溫泉酒店,Agoda
2023-05-30,硬件可能在十多年前新開時的確是不錯的，但酒店制度管理僵化、無理，員工態度變得傲慢，網上看到點評說早餐可選台式或西式的，前台說只有台式跟素食，結果早上看到有人在吃西式的，再詢問才說連續住才有西式。但從沒有通知原因！第一次遇到酒店所有設施均需要預先登記才能使用，包括健身室、游泳池，用房卡亦不能進去，真是開眼界了，剛好有職員經過，詢問下才通知是為了安全問題，矇了！什麼安全問題？酒店安全？旅客安全？還是什麼？總括：影響渡假的旅遊心情，不會推薦！,,北投麗禧溫泉酒店,Agoda
2023-05-06,旅馆有最好的硬件，房间好、視野好、備品好、温泉好；但是服務人員有很大的進步空間。櫃檯接待人員服務好，入住及退房都很順利；但是諸如餐廳或者是溫泉的服務人員，除了公事公辦的禮貌，讓人感受不到服務熱忱，也不會主動幫助第一次來旅館的客人，實在是辜負了具有這麼好設備的溫泉旅館。甚至聽到工作人员抱怨不同的主管给出不同的指令，以至于他们很難做事。期待旅館在這方面能夠更加進步。,,北投麗禧溫泉酒店,Agoda
2023-05-03,物超所值 一定要入住,,北投麗禧溫泉酒店,Agoda
2023-04-29,選這家吧，不會錯,10.0,北投麗禧溫泉酒店,Agoda
2023-04-28,非常好👍小貴但是值得,10.0,北投麗禧溫泉酒店,Agoda
2023-04-10,整體服務跟房間設施都很棒 但創意料理的部分，可能吃不太習慣🥲,,北投麗禧溫泉酒店,Agoda
2023-03-30,舒服整潔，早餐好食 但冷氣有點不足,,北投麗禧溫泉酒店,Agoda
