review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,Cozy and nice place with wonderful service! They serve good vegan food as well!,,南豐天玥泉會館,Agoda
2024-01-20,"位置超方便, 房間舒適, 職員親切.",,南豐天玥泉會館,Agoda
2024-01-17,在新北投捷運出來大概不到5分鐘就到，飯店維持著很新很整潔、早餐菜色不多，但符合口味,10.0,南豐天玥泉會館,Agoda
2024-01-02,"地理位置好, 酒店房內整潔, 很大, 有溫泉浸浴, steam, 桑拿.....滿分.",10.0,南豐天玥泉會館,Agoda
2023-12-25,客房工作人員態度誠懇友善；但無論客房和温泉區的儲物及整理室的潔淨程度及管理都有待改善,,南豐天玥泉會館,Agoda
2023-12-23,溫泉水質不錯，很適合和情人一起來這邊放鬆一下，房間環境乾淨，空間也蠻寬敞的,10.0,南豐天玥泉會館,Agoda
2023-12-13,服務人員親切，早餐選擇多元，設備豐富齊全，整體乾淨整潔，滿讚的,,南豐天玥泉會館,Agoda
2023-12-07,房間格局有點特別，淋浴間跟浴池分別在房間兩端，大體上很不錯，會再入住,10.0,南豐天玥泉會館,Agoda
2023-12-06,房間有溫泉浸👍其他設施一般,,南豐天玥泉會館,Agoda
2023-12-05,房間內有淋浴間結合蒸氣室、桑拿房、溫泉池，空間很大,,南豐天玥泉會館,Agoda
2023-11-23,入住該酒店305號房，非情侶，首先冰箱最外木門有壞開關不方便，洗手間門在最頂地方是透風，當去xx時十分有味道互聞味道，房間內明顯缺乏私隱度，房間直達沖洗間之間連門都沒有，中間一些間隔都到磨沙玻璃，對於非情侶旅遊人士十分不便,,南豐天玥泉會館,Agoda
2023-11-16,房间里 有蒸汽室 有些房型还有桑拿房 很赞 房间的枕头很舒服， 询问可否购买，竟然真的有在卖。 最后买了两个回来：） 更加感谢前台的热心帮助，下次还会再回来,10.0,南豐天玥泉會館,Agoda
2023-11-04,整體來說乾淨舒適，會是下次再訪北投的住宿選擇,,南豐天玥泉會館,Agoda
2023-11-02,飯店位置距離新北投捷運站5分鐘內的步行距離。用步行方式也可以走到地熱谷、北投露天溫泉、北投圖書館等等景點。 另外，飯店職員亦很貼心，晚上時間未見我們去登記，有留言提醒，怕我們忘記了。,10.0,南豐天玥泉會館,Agoda
2023-10-31,兩人國外旅遊，房間舒適，設備齊全，服務人員親切。值得推薦放鬆的旅館,10.0,南豐天玥泉會館,Agoda
2023-10-28,房间干净，汤池有一点小可是足够两个人一起泡。房间冷气不太冷，整体比我想象中的差了 30% 所以我下一趟我就不会考虑住回了， 体验一次就好。价钱有点不太值得。,,南豐天玥泉會館,Agoda
2023-10-25,虽然小贵但是值得一试。房间很舒服，温泉虽然在房间里但是没有一丝异味。,10.0,南豐天玥泉會館,Agoda
2023-10-15,温泉非常棒，卫生非常干净，早歺特别好吃，下次还会继续住这里，也会推荐给朋友。,,南豐天玥泉會館,Agoda
2023-09-29,離新北投捷運站走路5分鐘距離，附近機能相當方便，房間湯池空間蠻大，清潔度很好，提供的壽星蛋糕很好吃，大眾湯很棒,,南豐天玥泉會館,Agoda
2023-09-04,房間很舒適，原本很期待可以挑戰裸湯，到之前還做了很多功課，結果當天卻告知公共浴池因為臨時維護而禁止使用🥲太可惜了，不過飯店直接幫我們升等讓我們專心在房間泡湯也很棒了，早餐菜色豐富，燒賣很好吃，以及飯店的麵包很推，下次到新北投一樣會考慮住這邊，希望可以泡到公共浴池😇,,南豐天玥泉會館,Agoda
2023-09-02,Good,10.0,南豐天玥泉會館,Agoda
2023-09-01,"this hotel has no quality to honor its rating by no means. as a single traveler seeking a comfort and relax hygiene lodging is my priority criteria, i am not sure how this hotel has past excellent rating from, i did not get the room type i paid for, amenity was outrageously sad for i want to give this hotel a total negative rating ! first i did not get the room type for the high rate i paid for this was one of the highest pricing hotel in the town. 2nd I had to stay in a room which the AC is completely NOT functioning well the draining in shower is also clogging i had to shower in the shower soaking my foot at the same time morning cafeteria staffs appearing not happy with their work , no friendly smile greeting the guests except, hey you can not remove the newspaper with you at checking out like i am a stealer ? overall, there are management issues at this place, not only the booking, quality of lodging, most importantly- customer service manner. however, i must give credit to one of the maintenance lady she tried her very best to help out that i do appreciated. I also should be getting an offer to have credit back on my expense for such an un-livable unfunctional room, in which, this place offered a bag of cookies at my time of check out that i do not crave for. very disappointed for my overall stay experience. ! so folks, check out else where but this hotel",,南豐天玥泉會館,Agoda
2023-08-29,雖然房間比預期的小一點，但整潔度和舒適度都非常好，公眾浴池的整潔也維護的非常好，聞不到任何異味和水味，對於注重氣味的客人來說非常推薦，免費的點心吧很適合泡湯後放鬆休息，地點就在車站對面非常方便，會再回訪。,,南豐天玥泉會館,Agoda
2023-08-28,"可以私人浸溫泉, 正 但因為沒有門, 所以如果與朋友或長老一齊就不太適合",,南豐天玥泉會館,Agoda
2023-08-24,位置方便，房間溫泉很棒,10.0,南豐天玥泉會館,Agoda
2023-08-24,位置方便，房間溫泉很棒,,南豐天玥泉會館,Agoda
2023-08-18,"反應任何問題都會快速處理,很棒",,南豐天玥泉會館,Agoda
2023-08-16,整潔乾淨 早餐很好吃,10.0,南豐天玥泉會館,Agoda
2023-08-15,訂了三間房，其中兩間大床，連接有露台還可以走出外透氣，有室內溫泉、蒸汽室(也可以當沖澡間)，還有乾濕分離，設施很不錯 一間雙床房，雖然沒有露台，但多了間桑拿房；另外有包早餐、還可享用公眾溫泉，都算不錯 唯獨覺得可以改進的： 1. wifi質素有點差，常常斷線 2. 房內設施的使用方式有點不明確，建議加一張指引,10.0,南豐天玥泉會館,Agoda
2023-08-10,Hotel is brilliant ! Love it.,,南豐天玥泉會館,Agoda
2023-08-07,早餐的內容可以再有質感一點，跟房價有點相形失色，溫泉不是白色的，但是有冷水跟溫泉二池很優秀，空間也大，沒有吃點心用的桌椅較可惜，只能在化妝桌前吃東西，離捷運站不遠,,南豐天玥泉會館,Agoda
2023-07-25,位置有點偏僻，但有私湯還是好讚,,南豐天玥泉會館,Agoda
2023-07-18,整體而言房間內的設施很齊全，有任何需求都可以立刻向飯店方反應，餐點也相當不錯,10.0,南豐天玥泉會館,Agoda
2023-07-16,經agoda訂酒店後， 酒店主動email與我聯絡，詢問有冇要求！當知道我們是慶祝週年紀念後，便主動送上兩個四吋手做蛋糕！ 酒店員工有禮，客房清潔， 值得推薦！,,南豐天玥泉會館,Agoda
2023-07-14,第一次入住感受很舒服！我遇到的男性及女性工作人員都很熱情有禮；－次很好的住宿體驗。,,南豐天玥泉會館,Agoda
2023-07-11,很棒的飯店 房內有蒸氣室 早餐選擇不多但味道不錯所以還可以接受,10.0,南豐天玥泉會館,Agoda
2023-06-27,晚上有漏水的的聲音但找不到在哪裡，其他的設備都很不錯,,南豐天玥泉會館,Agoda
2023-06-27,酒店內及房間設施齊備，下雨天也有消閒方式，職員十分友善，酒店位置超好，對出就是一列北投景點。,,南豐天玥泉會館,Agoda
2023-06-27,位置尚便利，有電單車接送行理。 露天餐廳環境望海很美，早餐美味。 民宿職員十分友善，房間很大，有露台， 還有角仔可欣賞夜空。,,南豐天玥泉會館,Agoda
2023-06-25,房間很大，地點很方便，超近新北投捷運站。房間設計浴室距離私人湯池很遠，從浴室到私人湯池要經過睡床空間，有點不方便。房間內沒有蒸氣室。早餐不要有期望就ok。房間陽台的門本來沒鎖上，自己要小心鎖好才出去。剛check-in時房間電子門鎖沒電鎖不上，還好出門的時候有回頭確認才發現。大堂員工尚算有禮貌，不過入住到第二個晚上回來房卡就被切斷，要重新到大堂登記才能進房間。樓層的員工感覺工作時心情不太好。不過整體來說以此房價來說算是不錯了。,,南豐天玥泉會館,Agoda
2023-06-25,捷運站出來就是飯店真的很方便，附近機能也蠻好的推！有大眾溫泉可以使用 房間裡面也有浴缸,,南豐天玥泉會館,Agoda
