review_date,review_text,review_rate,review_hotel,review_source
2024-01-18,舒適👍,10.0,台北W飯店,Agoda
2024-01-11,求婚的好地方，空中酒吧很讚,10.0,台北W飯店,Agoda
2024-01-02,很棒,10.0,台北W飯店,Agoda
2024-01-02,很棒,10.0,台北W飯店,Agoda
2023-12-28,房間景觀絕佳服務態度非常好，但價格相對其他W系列酒店偏高，房間內一次性備品品質不齊,,台北W飯店,Agoda
2023-11-09,讚,,台北W飯店,Agoda
2023-10-26,各方面都很棒,,台北W飯店,Agoda
2023-10-16,the location is really good which near all the shopping mall and restaurant.,,台北W飯店,Agoda
2023-10-13,"地點方便,風景很棒",10.0,台北W飯店,Agoda
2023-10-11,剛好在我生日的前夕入住，前台的服務員幫我準備了蛋糕的驚喜．　當天的信用卡有點狀況，他也很有耐心地幫我處裡所有的事情．　床很舒服　房間的空間感也很棒　２４小時的健身房超級加分．,,台北W飯店,Agoda
2023-10-04,樣樣都完美！,10.0,台北W飯店,Agoda
2023-09-23,這次消費是第二次 房間內物品使用需要另外收費、表示不清。跟第一次一樣。第一次消費房間內都有餐具、這第二次消費房間都無餐具🍴、我自己從外面帶東西回來吃。很可惜沒有餐具可以使用。看不到101跟網路上訂房的圖片不符、失敗😩,,台北W飯店,Agoda
2023-09-17,"交通便利，附近都是百貨公司也很方便吃飯，房間整潔而且這次住的可以直接看到整支101的view,雖然價錢不是親民路線的，但值得！另外，要特別推薦W Spa，按完超級舒服，全身都放鬆了，再去三溫暖，療癒了身心靈，有機會一定會再跟閏蜜來Spa👍",10.0,台北W飯店,Agoda
2023-08-26,門口一堆人抽菸臭死人，隔音很差住宿遇到隔壁喝醉酒的整晚吵死人，打服務電話沒人接聽形同虛設，只能自己衝到櫃台要求換房，住宿體驗可以說爛到極點,,台北W飯店,Agoda
2023-08-23,因為真好,10.0,台北W飯店,Agoda
2023-08-17,值得入住,10.0,台北W飯店,Agoda
2023-08-10,w的櫃檯還有客房服務都超親切的,10.0,台北W飯店,Agoda
2023-07-16,很棒的房間，泳池和酒吧都很優質，服務人員也非常親切,10.0,台北W飯店,Agoda
2023-07-04,第一次住宿體驗真的是一言難盡 1、已經提早將近一個月，告知飯店當日需要給朋友驚喜，入住前也打了多次電話做確認，飯店也是各種忘記一直在我朋友面前露餡（明明事前至少4通電話都有說會備註、有備註） 2、裝潢的木板脫落，上面有多個釘子，還好有注意到，並沒有發生受傷的狀況，照片已傳給飯店當班經理。 3、房務人員在12：15左右，敲門很連續的敲了4聲想提醒我們退房時間，我朋友還在詢問我衣服換好了嗎，下一秒門就開了，是房務人員「擅自開門」，沒錯，就是這麼誇張！！！ 後續處理： 完成退房手續後，告知櫃檯有幾個部分想反應，當班櫃檯就請經理出來，當班經理蠻仔細也蠻有耐心的聽我說完發生每一件事的每一個細節，然後告知我會去了解詳情後再給予回覆。 當班經理完整轉達給上頭經理（Jeff？）後於當日下午接到回電，一件一件事仔細的講述他們的不足以及致歉，經理後續退了服務費的部分作為補償。 當然我有認真建議飯店應該要讓該房務人員離開此飯店！,,台北W飯店,Agoda
2023-06-09,地點絕佳、停車方便、,10.0,台北W飯店,Agoda
2023-06-07,感謝此次的相遇。 感謝是您,10.0,台北W飯店,Agoda
2023-05-02,第一次入住身為時尚指標的w hotel 說實話對於房間風格是有點失望的 像是夜店&平價商務旅店的混血 房內的螢光、壓克力元素 整個破壞原本房間格局該有的大氣感 沙發海綿已經疲軟凹陷 感受不到五星質感 一樣或較低的價格 說實話有太多其他更好的選擇,,台北W飯店,Agoda
2023-04-24,訂壯美房型，已經備註兩小床，到館內卻被通知這種房型只有一大床，若是要再加床要加2000多元，房間內咖啡包被打開過，客房人員也沒有檢查到，飯店內設施開放時間也沒有說明，要問了才知道原來天氣不好游泳池不開放，甚至早餐用餐時間也需要自己開口詢問才知道，以一個晚上要1萬多的，這樣的住房跟服務品質實在cp值很低…,,台北W飯店,Agoda
2023-04-21,房間乾淨漂亮，服務很棒，位置很好,,台北W飯店,Agoda
2023-04-20,房間不錯。但入住時間等待很久。可能客人太多。剛好暑假,,台北W飯店,Agoda
2023-04-19,早餐重複帶位 沒有任何解決 卻要單方面更換位置 為何不一開始就搞清楚 卻是讓先到的客人更換位置 來講解也沒什麼用 等於沒講 一下說有入場登記順序 一下說沒有 根本在耍人 感覺真差 根本不想再去,,台北W飯店,Agoda
2023-04-07,飯店舒適乾淨而且一出去就能逛街吃飯還有捷運能搭超讚的！,10.0,台北W飯店,Agoda
2023-04-05,是小孩游泳的好地方,10.0,台北W飯店,Agoda
2023-03-31,每次check in 都要排隊排超久 4人房也很小 傢具桌子也有損壞,,台北W飯店,Agoda
2023-03-29,推薦,10.0,台北W飯店,Agoda
