review_date,review_text,review_rate,review_hotel,review_source
2024-01-16,整體都很棒,8.4,台北君悅酒店,Agoda
2024-01-07,交通環境好、房間整潔，而且離101超近,10.0,台北君悅酒店,Agoda
2023-12-17,無可挑剔 唯一缺點馬桶不是免治馬桶,10.0,台北君悅酒店,Agoda
2023-12-12,雖然有碰到一些狀況，但無傷大雅，整體來說很棒的飯店，有機會的話會再入住！,10.0,台北君悅酒店,Agoda
2023-11-21,這次住的房間外面比較吵，有噪音,7.6,台北君悅酒店,Agoda
2023-11-11,地下室也太髒了吧 ，一樓接待櫃檯的地毯髒到我跟別人空氣過敏，什麼智障強制押金讓一堆外國人看笑話，然後房間玻璃髒的要命是都沒高空車可以洗？這樣五星級？ 三星級吧,6.0,台北君悅酒店,Agoda
2023-10-26,"早餐貴還要等很久, 還有用餐時限; 此方案沒有早餐, 但只能依飯店原價加早餐.",4.8,台北君悅酒店,Agoda
2023-08-23,房間舒適， 安靜， 飯店人員親切。,10.0,台北君悅酒店,Agoda
2023-08-14,地點交通方便 購物，美食選擇多樣 飯店內設施齊全 隔音效果與風景視野極佳,10.0,台北君悅酒店,Agoda
2023-07-22,在信義區內，方便商務人士。,10.0,台北君悅酒店,Agoda
2023-07-08,房間有撿到硬幣跟頭髮，整潔需再注意～但床很好睡！,8.8,台北君悅酒店,Agoda
2023-06-16,"整體地理位置很不錯，Check in 時間沒有等太久. 房間的景觀也可以看到101 一角，最重要的是 有給多的 BALMAIN Lotion, 未婚妻超愛這牌子，泰棒了啦！下次還要住君悅",10.0,台北君悅酒店,Agoda
2023-06-04,很棒的飯店,10.0,台北君悅酒店,Agoda
2023-05-20,是不錯的飯店 但設施方面都偏老舊了,7.2,台北君悅酒店,Agoda
2023-05-14,貼心的為我們準備兒童用沙發床+兒童備品，房間隔音也很不錯！,10.0,台北君悅酒店,Agoda
2023-04-05,服務人員很貼心,10.0,台北君悅酒店,Agoda
2023-03-26,整體設備 餐飲 服務 位置都非常滿意,10.0,台北君悅酒店,Agoda
2023-03-25,服務人員態度很僵化 建議直接請機器人比較快喔,6.8,台北君悅酒店,Agoda
2023-03-22,地理位置好，相對其他國家的君悅，價格偏高。,10.0,台北君悅酒店,Agoda
2023-03-14,離信義商圈近，捷運也近，住的舒適,10.0,台北君悅酒店,Agoda
2023-03-07,櫃臺人員安排面對101的窗景，整體住起來相當舒適。,9.2,台北君悅酒店,Agoda
2023-02-25,早餐好好吃 太棒了,10.0,台北君悅酒店,Agoda
2023-02-09,活動結束最佳休憩的飯店,9.6,台北君悅酒店,Agoda
2023-02-06,住房舒適，服務人員專業親切！,10.0,台北君悅酒店,Agoda
2023-02-02,非常滿意的一次住宿,10.0,台北君悅酒店,Agoda
2023-01-18,離市中心近！,8.0,台北君悅酒店,Agoda
2023-01-17,進去房間椅子都有頭髮沒清乾淨 房間清潔需加強 浴室沒掛架 乾濕分離設計不量 水容易洩到房間 又沒有免治馬桶 cp值不高,5.6,台北君悅酒店,Agoda
2023-01-13,嚮往神居,10.0,台北君悅酒店,Agoda
2023-01-11,非常乾淨，國際水準👍,10.0,台北君悅酒店,Agoda
2023-01-01,地理位置絕佳 隔壁就是101,10.0,台北君悅酒店,Agoda
2022-12-11,Check in真的很久,8.8,台北君悅酒店,Agoda
2022-12-07,地理位置很好，飯店服務人員態度都很優良，景觀也很美，能近看101,10.0,台北君悅酒店,Agoda
2022-11-21,早餐!整個就是讚 整體住宿體驗非常好,9.2,台北君悅酒店,Agoda
2022-11-14,入住CHECK IN等了半小時以上 人多那就算了 進到房間床單是髒的 更換之後發現熱水壺是上一個客人留下來的沒有洗過換過 裡面還有一半的水 值班經理後來是招待早餐券 但以五星級飯店來說這樣的整潔度滿讓人詫異的!,7.2,台北君悅酒店,Agoda
2022-11-14,位於市中心，性價比高,10.0,台北君悅酒店,Agoda
2022-11-14,地點方便,10.0,台北君悅酒店,Agoda
2022-11-08,以高星級飯店來說房型設計較為侷促，較像商務旅館，櫃檯人手較不足，但有充分服務到客人～,9.6,台北君悅酒店,Agoda
2022-11-03,人手不足,6.8,台北君悅酒店,Agoda
2022-11-03,旁邊就有家樂福超市很方便,8.4,台北君悅酒店,Agoda
2022-11-02,協助入住的櫃台人員非常親切。,9.6,台北君悅酒店,Agoda
2022-10-24,"整體都不錯，唯一不足的，當初在訂房有加註要""安靜客房""，但被安排在有寵物住宿的隔壁間，本人不排斥寵物，但剛好遇到寵物在房間一直叫，很可惜!",8.0,台北君悅酒店,Agoda
2022-10-22,交通方便，但是老飯店設施老舊，床跟枕頭棉被不太好睡，棉被還有衛生紙屑黏在上面，床頭板上有厚厚的灰塵，飯店當天滿房，所以就沒通知飯店了，不會推薦別人來住,5.2,台北君悅酒店,Agoda
2022-10-17,位置絕佳，房間大小在市區算不錯了！值得再訪,9.2,台北君悅酒店,Agoda
