review_date,review_text,review_rate,review_hotel,review_source
2024-01-15,All good,10.0,台北寒舍喜來登大飯店,Agoda
2023-11-22,花了一點小錢，但升等價值無限!,10.0,台北寒舍喜來登大飯店,Agoda
2023-10-18,Great experience in term of the hardware and software. Excellent services provided by all every staff. Yet the themed room for kid a bit pricey.,,台北寒舍喜來登大飯店,Agoda
2023-10-03,地點絕佳且又鬧中取靜，附近咖啡店與便利商店林立，房間舒適。,,台北寒舍喜來登大飯店,Agoda
2023-09-30,不友善小朋友及親子的住宿，行政貴賓廳無法讓小朋友進入，無小朋友時段，入住行政樓層也無法使用小朋友遊戲室，還需要額外付費，另外泳池三溫暖開放時間太短，泳池故意設定下午五點清潔，但是晚上8點又關門，根本無誠意讓住宿貴賓使用,,台北寒舍喜來登大飯店,Agoda
2023-09-14,地點方便、附近便利商店也多，游池救生員也很貼心，是個放鬆的好地方,,台北寒舍喜來登大飯店,Agoda
2023-09-10,第一次來 下次還會想來 服務非常好👍 房間乾淨😌,10.0,台北寒舍喜來登大飯店,Agoda
2023-08-28,行政套房的2張單人床很小，加一個小床還要一天1900，睡得不舒適。,,台北寒舍喜來登大飯店,Agoda
2023-08-28,房間舒服但大廳晚上有異味 服務很不錯,,台北寒舍喜來登大飯店,Agoda
2023-08-24,早上都有計程車在外面，整體對得起大飯店的招牌,,台北寒舍喜來登大飯店,Agoda
2023-08-10,覺得相對而論價位太高，設施提供似乎很多，但時間很短無法真的使用！,,台北寒舍喜來登大飯店,Agoda
2023-06-19,簽妥入住表格後，職員自動安排升等，但卻是遊說要求付費！之後更不用更新入住表格便可直接入住「升等」後的房間！(究竟付了費用，有沒有升等？) 退房時，用信用咭付款。職員竟不發現多按接近10倍的費用。當我簽帳時，發覺金額不乎，更沒有道歉！,,台北寒舍喜來登大飯店,Agoda
2023-05-25,服務人員回應態度親切專業,10.0,台北寒舍喜來登大飯店,Agoda
2023-05-16,相較同級的飯店，覺得人員服務有差別,,台北寒舍喜來登大飯店,Agoda
2023-04-30,地點好，房間大，服務佳,,台北寒舍喜來登大飯店,Agoda
2023-04-19,除了泳池小，位置，早餐都很好，床超級舒服，幼兒床，幼兒車，幼兒洗澡盆及清潔用品及消毒鍋，水免費飲，舒服超干淨！服務態度專業！,,台北寒舍喜來登大飯店,Agoda
2023-04-13,待嫁中,10.0,台北寒舍喜來登大飯店,Agoda
2023-02-08,地點好,,台北寒舍喜來登大飯店,Agoda
2022-12-09,地點很好,10.0,台北寒舍喜來登大飯店,Agoda
2022-11-24,飯店服務人員專業熱情,10.0,台北寒舍喜來登大飯店,Agoda
2022-11-13,婚宴喜房、會場菜色都相當不錯。,10.0,台北寒舍喜來登大飯店,Agoda
2022-10-18,豪華套房真的不錯 房間內贈送的東西真的cp值不錯（紅酒及啤酒） 三溫暖整體表現很優 還有運動飲料及檸檬水可以喝 吃的餐點嗨不錯吃,10.0,台北寒舍喜來登大飯店,Agoda
2022-10-18,房間有認真打掃， 清潔度佳。 床跟枕頭都不錯。 早餐Buffet以市區的星級HOTEL水準來說真的需要再加強， 實在是可惜了。 附近有客美多咖啡Komeda‘s Coffee、全聯購物中心、阜杭豆漿。,,台北寒舍喜來登大飯店,Agoda
2022-10-18,乾淨、舒適、地理位置非常好。附近有阜杭豆漿。有泳池，只可惜當天有雷雨，玩沒多久就關閉了。地下停車場的通風不是很好，非常悶熱。當天遇到有廠商活動，到停車場的電梯只有一部，等待廠商搬活動物品的時間約15分鐘。 整體服務很好。,,台北寒舍喜來登大飯店,Agoda
2022-10-05,喜歡床墊,10.0,台北寒舍喜來登大飯店,Agoda
