review_date,review_text,review_rate,review_hotel,review_source
2021-05-07,樓下有自助吧，早餐消夜沒煩惱,10.0,台北寒舍艾美酒店,Agoda
2018-10-30,為客戶下訂了三間行政套房，有一位客戶提前回國，因決定匆促而未通知飯店退房 因為後來臨時旅程安排而自己入住，哪知飯店早已將原本房間直接排給別的客戶，且櫃檯態度不佳，開始時還表示不能給我們房卡，雖強調訂房人身份後有安排升等的房間，這種服務態度確實讓人不開心。,8.4,台北寒舍艾美酒店,Agoda
2018-07-16,乾淨安靜,8.0,台北寒舍艾美酒店,Agoda
2017-07-24,飯店除了地點方便外，整個給別人的質感真的很棒，服務人員也都親切 值得大家去住,10.0,台北寒舍艾美酒店,Agoda
2017-02-04,房間備品 乾淨整潔度 滿意,5.2,台北寒舍艾美酒店,Agoda
2017-01-07,房間小而美，床很舒服。沒有免費停車太可惜了,8.8,台北寒舍艾美酒店,Agoda
2017-01-04,地點方便，樓下就是新光三越。附近也是百貨公司,8.4,台北寒舍艾美酒店,Agoda
2016-11-26,房間太小，和價格不成正比,8.4,台北寒舍艾美酒店,Agoda
2016-11-06,不錯，位置很棒,8.8,台北寒舍艾美酒店,Agoda
2016-11-04,欣賞挑選的藝術品和綠色植物陳設方式,10.0,台北寒舍艾美酒店,Agoda
2016-10-13,如提,8.4,台北寒舍艾美酒店,Agoda
2016-09-17,環境很舒適 客服人員很親切 床很好睡 值得再來的酒店,9.2,台北寒舍艾美酒店,Agoda
2016-08-23,設施好 早餐讚,8.4,台北寒舍艾美酒店,Agoda
2016-05-09,附近都可以逛街！餐廳也多！,8.0,台北寒舍艾美酒店,Agoda
2016-05-03,非常棒,10.0,台北寒舍艾美酒店,Agoda
2016-02-03,房大寬敞,10.0,台北寒舍艾美酒店,Agoda
2015-12-23,櫃檯服務員很有禮貌及願意協助我們的需求,9.0,台北寒舍艾美酒店,Agoda
2015-12-08,空間寬敞 服務貼心 餐點美味,10.0,台北寒舍艾美酒店,Agoda
2015-11-25,房間大且舒適,9.3,台北寒舍艾美酒店,Agoda
2015-11-17,房間好，餐飲不錯，乾淨,9.0,台北寒舍艾美酒店,Agoda
2015-11-11,櫃台櫃台服務人員態度親切有禮，房間的擺設十分雅緻有品味,9.7,台北寒舍艾美酒店,Agoda
2015-11-03,地點好,7.7,台北寒舍艾美酒店,Agoda
2015-10-14,地點佳 客房舒適,7.7,台北寒舍艾美酒店,Agoda
2015-10-09,舒適,9.3,台北寒舍艾美酒店,Agoda
2015-10-06,乾淨 舒適 方便,10.0,台北寒舍艾美酒店,Agoda
2015-09-17,房間舒適，飯店設施還不錯,9.0,台北寒舍艾美酒店,Agoda
2015-08-26,早餐超豐盛，行政lounge禮遇很讚,9.3,台北寒舍艾美酒店,Agoda
2015-08-18,床超舒服、房間很大窗邊可看見101、早餐豐盛好吃,9.7,台北寒舍艾美酒店,Agoda
2015-08-11,"早餐的buffet相當棒, 泳池相當乾淨游起來很舒服, 飯店地點很好非常適合帶小朋友來走走",9.3,台北寒舍艾美酒店,Agoda
2015-08-11,價格很高，但房間跟早餐也很棒,9.7,台北寒舍艾美酒店,Agoda
2015-08-08,位置、服務,7.3,台北寒舍艾美酒店,Agoda
2015-06-12,房間異音多，冷房速度慢,8.3,台北寒舍艾美酒店,Agoda
2015-06-04,床很舒服 喜歡的風格,7.7,台北寒舍艾美酒店,Agoda
2015-05-30,套房空間舒適且寬敞,10.0,台北寒舍艾美酒店,Agoda
2015-05-24,服務態度極佳,10.0,台北寒舍艾美酒店,Agoda
2015-04-26,1.吃的東西很棒，早餐很豐富，口味不錯。2.床墊非常好，睡超過8小時不會腰痠背痛。3.服務態度不錯。,7.0,台北寒舍艾美酒店,Agoda
2015-03-04,在101商圈 地點方便 酒店地理位址佳,9.7,台北寒舍艾美酒店,Agoda
2015-03-04,101商圈 購物方便 酒店地理位子佳,9.3,台北寒舍艾美酒店,Agoda
2015-02-28,好睡的床,9.7,台北寒舍艾美酒店,Agoda
2015-02-22,服務好,9.3,台北寒舍艾美酒店,Agoda
2015-02-12,房間乾淨明亮/服務到位/地點佳,9.7,台北寒舍艾美酒店,Agoda
2015-02-12,鬧中取靜 床很舒服 床被乾淨 房間隔音很好,9.3,台北寒舍艾美酒店,Agoda
2015-01-14,服務優良、環境舒服、交通方便,10.0,台北寒舍艾美酒店,Agoda
2014-12-01,"廁所馬桶很棒,房間每天補上水果, 地點很方便",7.7,台北寒舍艾美酒店,Agoda
2014-11-29,"地點,交通,購物方便",8.7,台北寒舍艾美酒店,Agoda
