review_date,review_text,review_rate,review_hotel,review_source
2024-01-17,這間飯店的位置市中心算方便，距離機場近且提供免費停車位。Wi-Fi連線穩定且速度快。房間整潔度還可以，但面積較小。員工表現普通，沒有特別的服務。飯店設施一般，沒有太多特色。睡眠品質不錯，床很舒適。 然而，整體過於老舊，性價比不高，價格偏高。,,台北福華大飯店,Agoda
2024-01-15,符合真四星以上的洒店,,台北福華大飯店,Agoda
2024-01-15,VERY GOOD HOTEL,10.0,台北福華大飯店,Agoda
2024-01-13,服務好。,10.0,台北福華大飯店,Agoda
2024-01-12,Hotel location is very good. Easily accessed by metro. Room is spacious and tidy.,,台北福華大飯店,Agoda
2024-01-07,ㄧ、地下停車塲均有火車或暫停車輛在轉角處，另外退房時，出口部分停有大量火車，造成離開車輛動線的不方便，也造成整體觀感不佳。 二、一早地下室都是車輛排氣油煙味、霉味。,,台北福華大飯店,Agoda
2024-01-04,早餐豐盛多樣，家庭房很可愛，小孩們超喜歡,10.0,台北福華大飯店,Agoda
2024-01-03,很讚,10.0,台北福華大飯店,Agoda
2024-01-02,good,,台北福華大飯店,Agoda
2024-01-02,飯店有年紀了，但不會臭臭的，下次還是會選擇。,10.0,台北福華大飯店,Agoda
2023-12-31,經典的五星級飯店,10.0,台北福華大飯店,Agoda
2023-12-31,"This is an unbelievably beautiful and amazing hotel, there is a lady her name is Angelina Wu at the front desk. She helped us a lot in times of need, I reckon this is the best hotel we’ve ever been to, next trip to Taiwan we will definitely come back here .",10.0,台北福華大飯店,Agoda
2023-12-28,地點不錯,,台北福華大飯店,Agoda
2023-12-27,老飯店很有味道，維護的很乾淨整齊👍地點非常便利！很喜歡！,,台北福華大飯店,Agoda
2023-12-27,房間裝潢雖舊，但是乾淨，稍有不足是隔音不好，但服務人員很親切。,,台北福華大飯店,Agoda
2023-12-27,第一間房間又小燈又是壞的 說有浴缸進去只看到一張殘障座椅 後面說換一間後面那間比較正常但浴室地漏沒換沒清 洗個澡水還會淹出來,,台北福華大飯店,Agoda
2023-12-27,早餐豐富，房間舒服，有年代感但乾淨又溫馨的飯店,,台北福華大飯店,Agoda
2023-12-25,非常舒適，服務很好，早餐選擇很多，房間環境很乾淨，備品已經不是歐舒丹了但現在使用這款也很好洗。很喜歡Happy hour！ 不過因為老飯店了，床頭缺乏插座使用，上下樓層的隔音也稍差，冷氣是中央空調出風口聲音稍微大聲一些。,10.0,台北福華大飯店,Agoda
2023-12-23,"The hotel is out dated. The price and the stay experience couldn't match. Our room had heating system problem, and no one could help us. In the end, we decided to turn off the ventilation system. Most of staff were friendly, but my concern was why no one could help us to solve our request.",,台北福華大飯店,Agoda
2023-12-23,交通方便，附近有超商，一進去就有服務人員幫忙解說拿行李上樓 房間舒適明亮乾淨，有迎賓飲料跟啤酒 臨時安排晚餐自助餐廳也都有位子，食材新鮮好吃👍,10.0,台北福華大飯店,Agoda
2023-12-20,離捷運站很近，附近也有全家和seven，地理位置優越！ 辦理入住時有一些小情況，但前台人員很用心幫我解決。 飯店人氣很旺，每天都看到很多團體包場用餐，很熱鬧。 房間設施正常，不算老舊，是隔音有點差，床很大很舒服。 總的來說推薦,10.0,台北福華大飯店,Agoda
2023-12-19,非常棒的體驗,10.0,台北福華大飯店,Agoda
2023-12-18,餐飲可以再加強質感與服務。,,台北福華大飯店,Agoda
2023-12-17,性價比普通，早餐食材內容有點粗～,,台北福華大飯店,Agoda
2023-12-17,找人打掃等了一小時 其他挺好的,,台北福華大飯店,Agoda
2023-12-09,浴室非常乾淨,,台北福華大飯店,Agoda
2023-12-05,什麼都好，但床的附近沒插座，只有電視旁有兩個不同規格的插座，電子用品要充電不方便,,台北福華大飯店,Agoda
2023-11-27,地點好，交通方便,,台北福華大飯店,Agoda
2023-11-19,捷運很近，去哪都是絕佳方便,,台北福華大飯店,Agoda
2023-11-15,"很好, 住家庭房很棒",10.0,台北福華大飯店,Agoda
2023-11-12,有些污垢雖不影響衛生但是外觀上還是有些在意，後續可以再加強，辛苦了～～,,台北福華大飯店,Agoda
2023-11-12,Good place for stay ，everything is convince,10.0,台北福華大飯店,Agoda
2023-11-08,交通方便 雙捷運,10.0,台北福華大飯店,Agoda
2023-11-06,地點好 價格合理,10.0,台北福華大飯店,Agoda
2023-11-05,親子房3歲小朋友很買單，整體乾淨舒適,,台北福華大飯店,Agoda
2023-11-05,鄰近的捷運站有藍線-忠孝復興， 紅線-大安，棕線-忠孝復興，周遭還有SOGO復興店及忠孝店，飲食採買也相當便捷！開車銜接國一國三都相當便利，加上飯店有免費便利的停車空間，適合中南部自駕北上的族群,,台北福華大飯店,Agoda
2023-11-03,雖是有年代的飯店，但服務品質及環境整潔不馬虎，為兒童預定了有溜滑梯的房型，玩的很開心，餐點也很美味，有機會再次入住。,10.0,台北福華大飯店,Agoda
2023-11-03,主要停車方便 其餘的都有一定水準,,台北福華大飯店,Agoda
2023-11-01,離最近的捷運站要走6分鐘 雖然附近走路可以到的店不是非常多 但是有吃到好吃的麵店跟豆漿店，很開心,,台北福華大飯店,Agoda
2023-10-31,🈶️質感的老飯店,,台北福華大飯店,Agoda
2023-10-27,三溫暖設備太簡陋,,台北福華大飯店,Agoda
2023-10-22,以五星飯店來說福華算是比較親民的價格了，停車場在後面戶外平面，也另有地下停車場，但看評論說地下停車場沒有電梯只有樓梯能上去，建議有大型行李或嬰兒車的遊客要注意一下。這次有帶嬰兒出遊，飯店有提供嬰兒床、消毒鍋、澡盆。 飯店外觀看起來雖然老舊但裡面維持的還不錯，另有一番懷舊感，房間內家具幾乎都是木製的很古色古香，衛浴有浴缸及乾濕分離的蓮蓬頭沖洗區，早餐種類不算多但尚可。,10.0,台北福華大飯店,Agoda
2023-10-19,主要是有平面停車場因車子底盤較低而入住、飯店畢竟有年紀了設施方面中規中矩的不是很新穎的感覺、不過有一點購買有早餐的方面感覺有點浪費台北的早餐真的比台中福華的早餐差、讓人感到意外。,,台北福華大飯店,Agoda
2023-10-18,泳池不乾淨 家人使用後皮膚嚴重發癢過敏 餐點有些貴並無給住房者優惠很可惜沒享用到,,台北福華大飯店,Agoda
2023-10-17,床不知道是幾十年前的產物，尺寸非常小，房間內的霉味很重，且廁所陳舊，僅有乾淨值得嘉許。,,台北福華大飯店,Agoda
2023-10-17,一間有人味、美味的飯店，好久沒住到真正的飯店了，乾淨典雅的裝潢一點都不落伍，卻總覺得有8、90年代的氛圍，帶給我的已不是房間多豪華、設備多新穎的感官了，而是有一種莫名奇妙的代入感，彷彿穿梭時空隧道，一種年代記憶。真的好喜歡。,10.0,台北福華大飯店,Agoda
2023-10-15,捷運站附近，購物方便,,台北福華大飯店,Agoda
2023-10-15,適合帶小孩 各方面都不錯 地理位置佳,10.0,台北福華大飯店,Agoda
2023-10-11,乾淨！整齊！員工素質良好,,台北福華大飯店,Agoda
2023-10-10,家庭房佈置溫馨，空間很大，房間乾淨舒適。,,台北福華大飯店,Agoda
2023-10-10,櫃檯人員有點少，辦理入住跟退房時都排隊等了好一下子。房間很舒適，也算大，缺點是像加床的客廳不能拉上窗簾，能清楚看到對面房間裡面，自己這邊也被看光，還有可能是在電梯旁邊的關係，隔音不太好，一直聽到像電梯纜繩滑動的聲音,,台北福華大飯店,Agoda
2023-10-03,離捷運站很近，早餐也有2個位置能分流，只是單人床有一張床墊塌陷⋯整體很不錯👍,,台北福華大飯店,Agoda
2023-10-01,訂的升級行政客房，結果房間內的迎賓水果還沒熟⋯,,台北福華大飯店,Agoda
2023-09-27,員工都非常親切熱心，設施簡單但還算齊全，餐廳餐點好吃,10.0,台北福華大飯店,Agoda
2023-09-13,服務態度優良，提出意見都會安排處理,,台北福華大飯店,Agoda
2023-09-12,"房間非常整潔,服務員殷勤態度好！Executive Lounge 及自助早餐質素不錯。",,台北福華大飯店,Agoda
2023-09-11,飯店交通地點非常方便，附近美食多，對於旅客極大的方便。,10.0,台北福華大飯店,Agoda
2023-09-03,One star for the quality of food in Shanghai restaurant.,,台北福華大飯店,Agoda
2023-09-03,一切舒服，很有味道的老飯店,10.0,台北福華大飯店,Agoda
2023-09-01,雖然是老飯店，但老派的服務有種專業感，蠻讓人喜歡。加上優秀的位置，方便的停車服務，都是讓人之後會想回來住宿的好地方。,,台北福華大飯店,Agoda
2023-08-30,很棒的體驗。服務生服務非常好。不厭其煩 很值得,10.0,台北福華大飯店,Agoda
2023-08-28,品質維持良好,10.0,台北福華大飯店,Agoda
2023-08-28,真的太舊了,,台北福華大飯店,Agoda
2023-08-27,服務、設施、整體氛圍都很好，早餐就略顯遜色。,,台北福華大飯店,Agoda
2023-08-27,飯店提供的早餐好吃！,,台北福華大飯店,Agoda
2023-08-27,"considering a very pleasant stay although the hotel has been around quite a while, the last time my stay was 20 plus years ago. all staffs are well trained and courteous, perfect for traveler, feel like coming back home. the only draw back would be the room outlet or plugs are pretty outdated. still a 5 stars !!",10.0,台北福華大飯店,Agoda
2023-08-25,計程車接送客沒有秩序，接待人員沒有指揮，光站在那是能幹嘛 ！,,台北福華大飯店,Agoda
2023-08-21,地點方便， 房間好大舒適,,台北福華大飯店,Agoda
2023-08-21,交通:位在忠孝復興跟大安捷運站中間，算是便利的位置 房間環境:房間內浴室跟床都很乾淨整潔，不過電視可能因為設備比較老舊所以畫質不是很好 餐點:早餐品項多也很好吃,,台北福華大飯店,Agoda
2023-08-19,進房晚了50分鐘才能進，有給幾杯飲料折抵券。游泳池的充氣兒童池壞了，但都還不添購。造成孩童沒地方可以戲水。吸菸區跟兒童遊樂都在四樓，煙味超重的很不舒服,,台北福華大飯店,Agoda
2023-08-18,停好車從地下停車場以爲可以直接接行李搭電梯上樓但不行，地下停車場有設置電話服務搬行李，打電話10幾分鍾都沒人接應，要自己上樓求救，原來要卸在大廳門口。房間該有的有，冷氣也很可以，洗澡水特大我喜歡。早餐有現煮的麵食，蛋及歐姆蛋，粥，港點，就沒有更多樣化的選擇。連續住2晚，菜色都沒變。兒童遊戲室，就積木，手足球，配了桌遊桌但沒有桌遊用品，小孩說很悶無趣。家庭房比較大，配了1大2單，但是單人床有點偏小，180公分的，不太適合睡單人床。,,台北福華大飯店,Agoda
2023-08-15,一切普普通通。 設施留在廿年前的程度，連插頭也不足夠。 服務也不及其他同等級的酒店。 不值5星，4星合理， 酒店大堂很美，老式那種，去吃自助餐拍照還好。,,台北福華大飯店,Agoda
2023-08-14,好,,台北福華大飯店,Agoda
2023-08-14,福華雖然是老飯店，維護得非常好 服務非常有溫度 一房一廳的套房物超所值,10.0,台北福華大飯店,Agoda
2023-08-13,設施老舊 床鋪枕頭太軟,,台北福華大飯店,Agoda
2023-08-13,帶小朋友旅遊，服務貼心、整體都讓人很舒服,10.0,台北福華大飯店,Agoda
2023-08-11,熱水不熱,,台北福華大飯店,Agoda
2023-08-11,房間濕氣重 除濕機很弱,,台北福華大飯店,Agoda
2023-08-11,住了兩間不同的親子房，兩間也讓小朋友十分開心。 員工的態度很好，回覆電郵也很快速，亦提前準備了嬰兒床。 飯店整體比較舊，房門開起來會吱吱作聲那種，冷氣也不夠冷，尤其是餐廳，吃早餐時一直覺得很熱。 比較不滿的是有一天孩子在房間內午睡，突然傳出鑽牆聲，才知道飯店正在局部裝修，而前台亦說不能暫停一下，孩子也被嘈音吵醒。,,台北福華大飯店,Agoda
2023-08-06,沒聽到裝修聲音，但空調的聲音真的讓人難以入睡。三樓的港點只適合點小點，其它菜普通，炒飯500 莧菜銀魚也500左右。三個人吃三千，還好住客有九折。有標價 沒看清楚 就點了。港點是一定不會再去吃。自助早餐普通。,,台北福華大飯店,Agoda
2023-08-06,CP值高 物超所值,10.0,台北福華大飯店,Agoda
2023-08-05,歡迎到福華飯店度假,,台北福華大飯店,Agoda
2023-07-21,比圓山飯店還要舒適,10.0,台北福華大飯店,Agoda
2023-07-17,房間水量大、熱水快、床好睡、枕頭偏軟，隔音稍微差一點，樓上走路的聲音聽得到。 整體上位置地點算方便！,10.0,台北福華大飯店,Agoda
2023-07-10,家庭房是一房一廳的格局，等於是二房，二台電視，父母和小孩的空間可以隔開，一間浴室。 往泳池的通道比較奇怪，可能是早期規畫不夠周到~ 泳池是常溫，夏天去不會冷很舒服。夏天在週末還會有池畔BBQ，很有渡假氛圍。 早餐也不錯。 建議房內床頭.柜子和電視後方要加強擦拭，避免累積灰塵~,,台北福華大飯店,Agoda
2023-07-04,仁愛路上的老飯店，坐擁一個超級好的地點，不管去到哪裡都很方便，除了忠孝、仁愛、信義、永康商圈，還可以往北坐捷運到大直內湖商圈，另外早餐是六點到十點的，四星級飯店早餐，飯店中庭吃飯，感覺還蠻像是歐洲的大飯店，有自然光從上方灑落，餐點應有盡有，可以吃飽一點，連中餐時間都可以省下來。,10.0,台北福華大飯店,Agoda
2023-07-03,一切都很讚，地點好、環境乾淨、人員親切,10.0,台北福華大飯店,Agoda
2023-07-02,飯店雖有點年紀，但服務親切，交通便利。,10.0,台北福華大飯店,Agoda
2023-07-01,Ok,10.0,台北福華大飯店,Agoda
2023-06-27,整潔有待加強 床單枕頭有污漬 但房間很大，價格漂亮 位置非常市中心,,台北福華大飯店,Agoda
2023-06-26,整體的住宿體驗很棒，從電話確認訂房就感覺到服務人員專業盡責，也提供了必要的資訊。房間設備與備品都很完整，早餐提供了一樓與四樓可以分散用餐的住客，餐點種類選擇多，是很愉快的用餐體驗。,,台北福華大飯店,Agoda
2023-06-22,交通位置佳、房間乾淨、飯店空間寬闊,10.0,台北福華大飯店,Agoda
2023-05-31,市區平價住宿選擇，但設施相對老舊，有免費充電車位,,台北福華大飯店,Agoda
2023-05-30,國外定居返台連續住八天 接待以及服務都讓人非常舒服 讓人佩服果然是台北福華 下次會願意再入住,10.0,台北福華大飯店,Agoda
2023-05-29,地理位置好，停車方便,10.0,台北福華大飯店,Agoda
2023-05-29,房間設備尚可，畢竟是這麼多年的老飯店了，入住當晚原想吃飯店的自助餐，但被櫃檯的服務人員態度氣到不想消費，到了館內其他餐廳，服務人員明明有看到我們在候位處等候，但我們站了五分鐘卻沒有人願意出來招呼，這飯店真的不值得號稱五星級。,,台北福華大飯店,Agoda
2023-05-29,第一天晚上十一點多房間牆壁突然發出類似馬達啟動的噪音，聯絡大廳經理後即派員過來了解，但服務人員到場後態度稀鬆平常表示因為隔壁在洗澡，所以會有此噪音，我很驚訝表示:那如果對方半夜再洗澡怎麼辦?服務人員竟然回我:那小姐想怎樣呢? 我很震驚是收到這種回覆並表示希望換房，馬上對方被拒絕因為當天已客滿。後續我再打電話跟大廳經理反應後有協助換房，但整個過程實在讓我大開眼界，我很難想像這竟然是一間五星級飯店......,,台北福華大飯店,Agoda
2023-05-27,附近有許多餐廳、百貨公司美食，飯店本身也有多間不同料理類型的餐廳。另外，飯店自助早餐也提供豐富的菜色。,10.0,台北福華大飯店,Agoda
2023-05-26,老飯店，設備較舊，床頭沒有插座。但除此之外，一切都非常好。員工親切有禮，飯店位置佳，房間乾淨整潔。飯店內的餐廳口味佳。,,台北福華大飯店,Agoda
2023-05-25,老飯店，但不愧是五星，服務食物都很好，設施稍微老舊一點,,台北福華大飯店,Agoda
2023-05-25,設備稍嫌老舊之外，其他的都很棒,10.0,台北福華大飯店,Agoda
2023-05-21,乾淨整潔、服務人員主動詢問且幫忙 不愧是老字號飯店！麵包好吃～～～～,10.0,台北福華大飯店,Agoda
2023-05-21,住宿舒適、早餐很好吃,,台北福華大飯店,Agoda
2023-05-20,飯店雖然已經有點歷史，但不顯老舊，客房相當寬敞舒適，離捷運站及百貨公司近。另外，自行開車前往也沒問題，飯店設有戶外平面及室內地下停車場。,,台北福華大飯店,Agoda
2023-05-19,整體服務很好,10.0,台北福華大飯店,Agoda
2023-05-18,人員服務親切， 就連路過的清潔人員都很親切的打招呼，溫馨的感覺. 房間清潔乾淨沒話說,10.0,台北福華大飯店,Agoda
2023-05-08,地理位置不錯 早餐不錯吃，重點可以停車坐捷運到處玩 可惜飯店有點年代了 設施還好,,台北福華大飯店,Agoda
2023-05-02,設備可能太老舊了，水管爆裂！我的鞋子居然飄起來！地上都是水，雖然後來幫我換房間了，但是我的東西都濕了！後來我有要求重新給我再住一次，因為費用高，但品質不佳，影響我的睡眠,,台北福華大飯店,Agoda
2023-05-02,台北市中心難得可以停車免費的住宿,10.0,台北福華大飯店,Agoda
2023-05-01,離捷運站不遠 附近熱鬧 這次住的是連同房 房間很寬敞 早餐也十分豐富 是一次很棒的住宿體驗,10.0,台北福華大飯店,Agoda
2023-05-01,雖說是老飯店，但該有的服務都有，也都在水準之中，便宜又交通方便，沒得挑!!!,,台北福華大飯店,Agoda
2023-04-30,一進去全部燈一直閃，我看了都頭暈。,,台北福華大飯店,Agoda
2023-04-26,員工服務態度很好,10.0,台北福華大飯店,Agoda
2023-04-26,飯店雖然舊了點，但是服務、人員都不再話下，有品質，交通也便利,10.0,台北福華大飯店,Agoda
2023-04-25,希望設備能夠更新 五星級的其他台北酒店整體都比這間好 雖然已經是老飯店 但應該是時候翻新 或是有更多吸引新旅客的點才對,,台北福華大飯店,Agoda
2023-04-24,離各個人潮聚集地進。cp值高的飯店！,10.0,台北福華大飯店,Agoda
2023-04-22,還算不錯的選擇，整潔衛生環境都很不錯，只是彈簧床的部份對淺眠的敏感者很扣分，還有房內的空調無法調降，對怕熱的先生來說有點不適應⋯ 但小孩住得非常開心，因為房間夠大可以跑跑跳跳玩躲貓貓：）,,台北福華大飯店,Agoda
2023-04-18,"豪華但是有歷史感的飯店.雖然已經40年了可是用的東西都不馬虎,早餐是讓我最驚艷的地方,種類多又好吃. 住宿地點市區又有停車位,省去很多停車的費用!下次還會來住.",,台北福華大飯店,Agoda
2023-04-14,早餐很寬敞 上菜快 視野遼闊 計程車速度快 謝謝福華👍👍,10.0,台北福華大飯店,Agoda
2023-04-10,小孩住得很開心，雖然價格不斐但是設備齊全，且有兩室很適合一家四口旅行住宿，小孩在此房型就可以玩上整天不需要額外安排甚麼行程了。,,台北福華大飯店,Agoda
2023-04-08,服務態度好 房間舒適,,台北福華大飯店,Agoda
2023-04-07,整潔度不錯,10.0,台北福華大飯店,Agoda
2023-04-06,入住辦理登記服務人員不專業，到店付款硬是早在我預訂前就扣我信用卡款項，還說在現場搜尋不到我的訂房紀錄甚至還說沒有付款記錄..害我老公在現場又刷了一次卡..事後退房詢問為何我的信用卡被扣款，還說什麼訂金..說事後退房後會結清退還..至今都沒有動作！真夠爛,,台北福華大飯店,Agoda
2023-04-04,讚喔喔,,台北福華大飯店,Agoda
2023-04-04,原先訂單雙人床不知原因被改成兩張單人床，寫信反應卻沒任何回應…導致帶小小孩睡覺超不方便！ 等check-in時因為人潮眾多，有些人把行李放在椅子上，我抱著一歲半小孩等超久…受不了只能去問有沒有椅子可以讓我們稍微坐著休息，服務生抬頭告知椅子都在那邊（就一堆人放行李，根本沒位置坐），完全沒有想幫忙處理,,台北福華大飯店,Agoda
2023-04-04,酒店太過老舊，停車場無電梯到達大廳，客房外走道燈光昏黃，有尿騷味，浴室乾溼分離的門無法緊閉，洗完澡浴室已積滿水。早餐品質很差，無咖啡，紅茶喝起來像水一樣，德國香腸有一股藥味，炒米粉吃起來粉粉的，一點也沒有五星級飯店的水準，軟硬體設施都不行，CP質超低，不會再住。,,台北福華大飯店,Agoda
2023-04-03,清明連假唯一還有家庭房，飯店偏老舊！,,台北福華大飯店,Agoda
2023-04-03,停車場無電梯可上下樓,,台北福華大飯店,Agoda
