review_date,review_text,review_rate,review_hotel,review_source
2023-12-30,入住心得很棒 只可惜 房內的飲料 食物要錢 覺得有點可惜 花昂貴的錢 卻無法享用 還要另外花錢買,10.0,台北遠東香格里拉,Agoda
2023-12-24,根本是1🌟，會5🌟級 用錢砸出來的,,台北遠東香格里拉,Agoda
2023-12-13,服務人員熱心親切待人，房間寬大乾淨舒適，浴室乾濕分離，泡澡還備有浴鹽可使用，早餐多樣量足，是個休閒旅遊、放鬆心情的好去處喔，謝謝飯店所有服務人員的款待喔！,10.0,台北遠東香格里拉,Agoda
2023-10-23,提供的小瓶備品並不是新的，看起來是有人用過的；房間地上還是有一些頭髮沒打掃乾淨。,,台北遠東香格里拉,Agoda
2023-10-21,唯一可惜的是入住的地平線套房原本可以有機會到4pm退房，但check-in時住房小組說因為每日都訂房額滿，所以只能到1pm就要退房，因此沒有享受到原先計畫的要去的6F三溫暖設施，期待下次旅程囉！,,台北遠東香格里拉,Agoda
2023-10-03,中秋節夜景不錯，頂樓游泳池乾淨，水溫舒適，管理人員服務佳,,台北遠東香格里拉,Agoda
2023-09-24,硬體設施都太舊了 只有幾台能看 電視如果能看Netflix或YouTube會更好吧 2023年了😅 飯店幾乎都是接待外國客 可能沒在在乎這些吧 但感覺蠻差的 而且房間也蠻老舊 整棟改裝會很好吧 櫃檯很多新人不是很好耶 有點笨也不專業 國際飯店不該用新人吧 會造成我們客人的困擾,,台北遠東香格里拉,Agoda
2023-09-18,喜歡這兒的設施,10.0,台北遠東香格里拉,Agoda
2023-08-22,入住時膠囊咖啡機上面一層灰塵，咖啡膠囊沒有補充滿只有2顆（4人房）茶包也沒放好，空空的，床頭上的牆壁掛畫都是灰塵，朋友對灰塵過敏，一進房間開始咳嗽打噴嚏 浴室洗手台擦手紙也沒補充，抽幾張就沒了 清潔人員的專業度要非常加強,,台北遠東香格里拉,Agoda
2023-08-13,四人房的空間非常寬敞 很乾淨也非常舒服 唯一美中不足的部分就是棉被掀起來時發現床單有污漬，當下心情有被影響到，有通知房務人員過來更換，對方來的速度也非常快也有道歉，危機處理還算可以,,台北遠東香格里拉,Agoda
2021-10-03,唯一小小的缺點就是電梯感覺要等很久才會來。,10.0,台北遠東香格里拉,Agoda
2021-08-09,"中規中矩的五星飯店，只是比較老舊了。進住101景觀豪華房，非常寬敞，但沒有藍芽喇叭，也沒有Netflix,稍微失望。",,台北遠東香格里拉,Agoda
2021-04-30,服務、餐點、設施，一切都好的沒話說,10.0,台北遠東香格里拉,Agoda
2021-04-21,房客眾多所以check in時要排隊，當日壽星得到一個好吃的蛋糕很開心，冰箱有點壅擠差點冰不下。玄關處有小衣帽間覺得厲害，洗手台有小電視雖然沒有使用到，不是免治馬桶有點可惜。面向101的高樓景觀很棒，服務人員整體還不錯，早餐大部分在水準之上。,,台北遠東香格里拉,Agoda
2021-01-02,只能說本飯店在節日給於服務的品質 說法前後不一 、我連另外在升等豪華閣設施品質 更是在耶誕夜當日擁擠 完全不是我期待的 服務人員的引導也是都理所當然。表示我們就是客滿了沒有辦法使用就只能選擇三樓的宴會廳、 我特地想要給男朋友的耶誕渡假驚喜期待的完全不同、雖然說位於三樓的宴會廳 有提供happy hour 酒水種類很多 但還是缺少了過節日的氛圍 後來我們自己到38酒廊消費 也發生了一些不愉快的事情 只能說在耶誕節的住宿經驗 非常不開心！,,台北遠東香格里拉,Agoda
2020-02-26,酒店位置不錯，晚上旁邊有音樂吧可以去喝杯小酒休閒一下。酒店本身的設施也不錯，檔次可以!,,台北遠東香格里拉,Agoda
2019-10-29,飯店設施明顯老舊，雖然整潔度仍維持得很好，但相較起其他相同等級飯店確實價格太高。,,台北遠東香格里拉,Agoda
2017-12-26,由於本人生日日子，享受飯店過節氣氛！特別日子很開心！,,台北遠東香格里拉,Agoda
2017-12-12,不愧為五星酒店，工作人員都很細心体貼，房景对住101，早上還可看日出，下次都希望再住,10.0,台北遠東香格里拉,Agoda
2017-08-27,可惜偏間了一點看不太到市景,10.0,台北遠東香格里拉,Agoda
2017-05-30,旅館設施已經過於老舊 有待更新,,台北遠東香格里拉,Agoda
2017-05-30,設備老舊 應該翻新,,台北遠東香格里拉,Agoda
2017-03-13,Room Service很好，尤其服務員都非常有禮，也會跟我們聊聊天，很熱情。前檯的人員也非常好，有禮拜，尤其笑容很棒！！,10.0,台北遠東香格里拉,Agoda
2017-01-29,每位服務人員都很親切，房間的清潔也很好，頂樓的泳池下次一定要去使用！,,台北遠東香格里拉,Agoda
2016-10-25,願再次選用,,台北遠東香格里拉,Agoda
2016-07-17,週邊用餐方便地點絕佳,,台北遠東香格里拉,Agoda
2016-03-11,馬可波羅餐廳很棒、房間浴室乾淨整齊漂亮有質感、電梯很多很方便。,,台北遠東香格里拉,Agoda
2015-05-05,服務人員工作態度佳,10.0,台北遠東香格里拉,Agoda
2015-04-27,窗外景色好 交通方便,,台北遠東香格里拉,Agoda
