review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,很棒！！！,9.2,圓山大飯店,Agoda
2024-01-15,古色古香 不失現代設備,8.0,圓山大飯店,Agoda
2024-01-14,"原本預訂的是二張單人床,入住後發現是雙人床,打電話去立刻幫我們換,且派人來帶,在裡面遇到的每個員工都會親切點頭打招呼,裡面古色古香,外面夜景超美",10.0,圓山大飯店,Agoda
2024-01-07,服務人員很好辛苦了,8.0,圓山大飯店,Agoda
2024-01-07,因為婚禮辦在圓山，就直接訂房，房型裡大客廳和房間分開，親友可以一起在房間準備也不會影響梳畫，非常推薦！,10.0,圓山大飯店,Agoda
2024-01-06,雖然房間沒有窗戶，但整體來說都很不錯，廁所浴室很乾淨，還有浴缸，唯一缺點就是隔音稍稍不好。,8.4,圓山大飯店,Agoda
2024-01-06,通風非常差 不建議選擇此類房型,7.2,圓山大飯店,Agoda
2024-01-05,飯店雖然硬體設備老舊，但維持的很好，服務人員表現優良，停車方便，早餐好吃，值得推薦的圓山大飯店！,8.8,圓山大飯店,Agoda
2024-01-04,房間乾淨 服務人員很專業,10.0,圓山大飯店,Agoda
2024-01-03,愉快的旅程,10.0,圓山大飯店,Agoda
2024-01-02,位置佳，東西好吃，床大，view好，好停車，服務好,10.0,圓山大飯店,Agoda
2024-01-01,設施老舊，住宿房間非常窄小,3.6,圓山大飯店,Agoda
2024-01-01,媽媽沒住過，帶她體驗 她覺得還不錯,9.2,圓山大飯店,Agoda
2023-12-31,原本給的房間在樓層的電梯旁，升降機起落發出吵雜聲，在房間內即受影響。經反應後移至另外樓層較中間房間，但隔壁的隔壁是清潔人員的休息室，常有在聊天的情況，隔日早上9點多就被吵雜的清潔人員聊天聲音吵醒，蠻差的住宿經驗。難怪外國旅客入住的少了，圓山飯店竟是這樣的品質水準。,4.4,圓山大飯店,Agoda
2023-12-28,"Make sure you book the rooms with window. Also there are free shuttle bus running from Yuanshan MRT station to the hotel, make sure to take advantage of that.",9.2,圓山大飯店,Agoda
2023-12-25,景色跟地點好！但希望這個價錢可以含早餐！,9.2,圓山大飯店,Agoda
2023-12-24,缺點：室內燈有鋒鳴聲很吵，電視位置不是很理想，某個全家店員的服務態度很厭世 優點: 環境整潔度高；守衛人員、房務人員親切熱情；浴室水溫適中、水量大，接駁車很方便,9.2,圓山大飯店,Agoda
2023-12-23,佔地大，有聯誼會設施可用。 餐廳多選擇多非常棒。 很喜歡中國味的建築 也是一家有歷史故事的飯店 缺點 1.前台check in 妹妹搖頭說沒有身障車位，但其實是在後方停車場有一整排。 2.房間內衣櫥鏤空設計的縫卡很多灰塵，浴室內的乾濕分離膠條有多處明顯黑點。,8.8,圓山大飯店,Agoda
2023-12-21,行李員大哥很棒，很熱心告知如何前往捷運站，少走很多冤枉路，飯店整潔印象深刻，有種穿越時空的感覺，5星好評,10.0,圓山大飯店,Agoda
2023-12-20,晚上10:30辦理入住，服務人員態度很好，還直接帶我們到房門口。,10.0,圓山大飯店,Agoda
2023-12-19,具有獨特魅力，景觀非常寬闊宏偉,8.8,圓山大飯店,Agoda
2023-12-18,雖然有些小地方看不出年代感，但整體真的是非常富麗堂皇的豪華空間。很開心能有機會來住兩晚。以後有機會還想再來～,10.0,圓山大飯店,Agoda
2023-12-18,員工素質優良 服務水準優秀 不愧是代表國家門面的大飯店,10.0,圓山大飯店,Agoda
2023-12-17,人員服務好貼心 密道導覽解說專業 房間整潔度佳 接駁車方便 會想再次住宿,10.0,圓山大飯店,Agoda
2023-12-16,睡到全身發癢 床頭一層灰塵,6.4,圓山大飯店,Agoda
2023-12-15,當天抵達後覺得很懶 位子如果要去夜市有接駁車 但逛太晚就要自己想辦法回飯店 走路也可以到 服務非常好 每一位都很親切,10.0,圓山大飯店,Agoda
2023-12-14,值得推薦!,8.0,圓山大飯店,Agoda
2023-12-11,已經第二次入住，雖然是最基本的房型但隔音、整潔都有維持水準。飯店內的酒吧「覓道」非常推薦去光顧，但建議要先預約喔！,9.6,圓山大飯店,Agoda
2023-12-08,員工都很親切人很好，下次會想再來,9.6,圓山大飯店,Agoda
2023-12-08,很好,9.2,圓山大飯店,Agoda
2023-12-08,設備或服務普通 只有收費是五星級,6.8,圓山大飯店,Agoda
2023-12-08,"Looks beautiful from outside but you can see aged from hallway carpet and room equipments. The hotel is on a hill where is far away from public transportation, the shuttle bus provided by hotel also used by restaurents' customers/visitors so not easy to get up. We used taxi instead. There are many special tours in this hotel and many people only came for their restaurants so you see lots of people on the lobby. No additional security on elevators, looks like everyone can access to residents area. Staffs are friendly and very helpful, but we will not stay here again!",6.8,圓山大飯店,Agoda
2023-12-06,房間小，位置不便利,6.0,圓山大飯店,Agoda
2023-12-06,房間有點小，地理位置不方便,6.4,圓山大飯店,Agoda
2023-12-04,行政套房，房間很大。 服務佳,9.2,圓山大飯店,Agoda
2023-12-03,西餐廳、客房，強力推薦…,10.0,圓山大飯店,Agoda
2023-12-02,圓山大飯店提供接駁巴士服務，很讚的附加服務,7.6,圓山大飯店,Agoda
2023-12-01,完美住宿,10.0,圓山大飯店,Agoda
2023-11-28,Really comfortably,10.0,圓山大飯店,Agoda
2023-11-27,走道大 房間大 陽台大 風景好 就在市中心 出入非常方便 開車來也方便 內部很乾淨 很新 應該有整理過 參觀密道 周老師詳盡講說 很棒,10.0,圓山大飯店,Agoda
2023-11-22,20分鐘一般接駁車到捷運站很方便,8.0,圓山大飯店,Agoda
2023-11-20,佳,8.4,圓山大飯店,Agoda
2023-11-19,套房內的家具為中式風格，傢俱古色古香，但整體的風格也不完全走古風而是有著現代的元素。假格以五星飯店而言十分超值。,10.0,圓山大飯店,Agoda
2023-11-18,"Awesome historical hotel. Great location, rooms are clean, staffs are great!",10.0,圓山大飯店,Agoda
2023-11-12,超超超级赞👍👍👍,8.8,圓山大飯店,Agoda
2023-11-12,很舒服,9.2,圓山大飯店,Agoda
2023-11-09,古色古香，夜景很美,10.0,圓山大飯店,Agoda
2023-11-07,很棒,10.0,圓山大飯店,Agoda
2023-11-07,非常乾淨！！而且隔音挺不錯。 不主動提供一次性備品但是有明確指示如何索取，而且很快送到。 床的支撐度很夠，還可以選不同種類的枕頭。 光線明亮舒服，在裡面還急速趕出一篇短文投稿。,10.0,圓山大飯店,Agoda
2023-11-06,飯店內部裝潢氣派 世界級的旅店 非常推薦給外國朋友住宿,9.6,圓山大飯店,Agoda
2023-11-04,雖說是台北市老字號的五星級飯店，但是內部整體設施以及保養都沒話說，值得再去入住。,10.0,圓山大飯店,Agoda
2023-10-30,房間有點潮濕味,7.2,圓山大飯店,Agoda
2023-10-28,舒適、整潔、安靜，非常謝謝！,9.6,圓山大飯店,Agoda
2023-10-28,環境古色古香！餐廳好吃！搭配密道行程超完美！,9.6,圓山大飯店,Agoda
2023-10-26,很乾淨 遊戲室也很棒 小孩玩的很愉快,10.0,圓山大飯店,Agoda
2023-10-26,建物古色古香，室內室外寬廣，景色優美特別是夜景，ㄧ切都完美。,10.0,圓山大飯店,Agoda
2023-10-23,住宿應要提供早餐,7.6,圓山大飯店,Agoda
