review_date,review_text,review_rate,review_hotel,review_source
2024-01-19,整體感覺很不錯,,美麗信花園酒店,Agoda
2024-01-06,服務不錯 我會推薦給朋友,10.0,美麗信花園酒店,Agoda
2024-01-01,價格是平常的1倍 CP超低，除了停車位好停外，沒了,,美麗信花園酒店,Agoda
2023-12-29,飯店人員服務態度很親切 我們反應冷氣太冷 會馬上拿暖氣上來給我們使用 房間空間也很大 但房內設施比較老舊 離捷運站需要走比較長的距離 一入住時桌上有上一位客人留下的不明油漬 浴缸裡面的防滑條黑黑 電視也沒有第四台或是Netflix可以看 以這個價位對我來說不是最佳選擇,,美麗信花園酒店,Agoda
2023-12-21,Cp值高的住宿，房間舒適，早餐服務人員素質需加強。,,美麗信花園酒店,Agoda
2023-12-17,停車可以多停一天，健身器材真的很多很棒，三溫暖的設施也很舒服——冷泉熱泉以及烤箱都很舒服。整體飯店走向很環保方式：水需要從房內的冷水瓶去裝取， 14樓有氣泡水可以取用很棒。一次性盥洗用品需要到1樓取用：那也是一種環保的方式。,,美麗信花園酒店,Agoda
2023-12-16,1.吹風機壞掉了 2.體重計也怪怪的 整體還太大缺點， 小細節還是注意一下。,10.0,美麗信花園酒店,Agoda
2023-12-12,房間非常乾淨,,美麗信花園酒店,Agoda
2023-12-12,浴室水壓足夠，熱水很快就有，淋浴泡澡都很舒服。房間裝潢雅緻且乾淨。櫃檯人員思慮周到且態度溫暖。,,美麗信花園酒店,Agoda
2023-11-28,還有不浪費的一次性盥洗用具需要再拿,10.0,美麗信花園酒店,Agoda
2023-11-20,酒店員工服務態度友善，英語能力高。酒店設施完善，房間非常整齊,,美麗信花園酒店,Agoda
2023-11-07,設施完善，人員親切，飯店位置好,10.0,美麗信花園酒店,Agoda
2023-11-02,房間很大，提供交誼廳免費飲料咖啡是優點，但整體服務令人失望。表達有遺失物卻消極回應，就算找不到不是應該也要回應嗎？卻音訊全無。,,美麗信花園酒店,Agoda
2023-10-26,第一次入住美麗信，因為帶著11歲的孩子，入住兩張單人床的房型，有點小，但房間很乾淨，泳池也很乾淨，服務人員很友善，早餐種類不多，但看得出來很用心準備，食物的盛裝和口味都在水準之上，值得推薦的環保旅店,,美麗信花園酒店,Agoda
2023-10-25,住宿環境好，地點方便,,美麗信花園酒店,Agoda
2023-10-19,雖然是老飯店，但設備維持的很好，在市中心能有自己的停車場，位置還很大的飯店可遇不可求，即使假日入住，都有足夠的車位。房內空間也是舒適不擁擠,,美麗信花園酒店,Agoda
2023-10-16,服務態度很好 泳池 三溫暖等設施都維持得很好 值得推薦,10.0,美麗信花園酒店,Agoda
2023-10-15,完美的服務和住宿！,,美麗信花園酒店,Agoda
2023-10-14,A bit old and breakfast not so good.,,美麗信花園酒店,Agoda
2023-10-13,整體以房價而言，蠻好，唯獨前台服務可以更好（對應態度/溫度，有好有弱）,,美麗信花園酒店,Agoda
2023-10-11,房間寬敞，服務人員親切,,美麗信花園酒店,Agoda
2023-10-11,可以再次入住,,美麗信花園酒店,Agoda
2023-10-08,貴的誇張,,美麗信花園酒店,Agoda
2023-10-08,開放國外觀光客來台旅遊後，一晚價格直接漲2000元，ㄎㄨㄚㄓㄉ,,美麗信花園酒店,Agoda
2023-10-06,整體的服務態度和飯店的整潔度 我覺得很不錯 這三天我的小孩也很喜歡睡得非常好 房間床鋪真的很乾淨，飯店講求環保 房間沒有垃圾袋 是有一點不方便，畢竟會買東西回房吃 非常怕垃圾用髒了地毯。小孩子大號尿布也很怕弄髒，所以還特地去7-11買了袋子回房丟好垃圾。 早餐餐點蠻豐富 外國客居多 酒吧的漢堡非常好吃 擁有自己停車場也很方便。 外觀雖然沒有很新 但裡面環境 很喜歡 CP值很好了,10.0,美麗信花園酒店,Agoda
2023-10-03,三溫暖不錯 床睡起來很舒服 有機會會在造訪,,美麗信花園酒店,Agoda
2023-10-02,飯店早餐 還有泳池設施都不錯 人員服務也很好,,美麗信花園酒店,Agoda
2023-09-29,感受得到飯店對於環保意識的重視，對我來說是蠻加分的。 另外，我是一個會對塵蟎或髒污過敏的人，在環境清潔打掃這部分，我也感到很滿意👍,10.0,美麗信花園酒店,Agoda
2023-09-20,最讓我讚賞的是第一次遇到飯店備品是客人要另外自取，以及房間垃圾桶並沒有用垃圾袋，這樣的環保意識我覺得值得讚賞。,,美麗信花園酒店,Agoda
2023-09-15,除了房間很大，但是隔音不好，地點也不太方便。但是因為喜歡房間大，下次還是會回住。,,美麗信花園酒店,Agoda
2023-09-12,在台北住飯店唯一有花園景觀的飯店，值得推薦朋友們入住,10.0,美麗信花園酒店,Agoda
2023-09-11,閨蜜旅遊，有充分享受三溫暖設施，烤箱不大，但是有泡澡池跟烤箱，跟迷你的健身房，以這個價位來說，還不錯。,,美麗信花園酒店,Agoda
2023-09-10,冷氣很強，反映問題也能及時解決。美中不足是大廳香水味可以改善，還有一樓大廳供参似乎看起來不是那麼吸引人用餐。,,美麗信花園酒店,Agoda
2023-09-09,離地鐵很遠走路15分，服務人員態度，環境舒適,,美麗信花園酒店,Agoda
2023-08-26,酒店卫生间的淋浴需要改进，仅此一点点的缺陷已达不到五星级的酒店标准遗憾！,,美麗信花園酒店,Agoda
2023-08-26,很棒,10.0,美麗信花園酒店,Agoda
2023-08-25,很親切 體貼 有耐心協助我們問題,10.0,美麗信花園酒店,Agoda
2023-08-18,服務人員服務很好、房間如果有小張桌椅就更好了,,美麗信花園酒店,Agoda
2023-08-14,這間住宿真的蠻不錯的！ 價格來講不算太貴！ 還會想來住宿👍,10.0,美麗信花園酒店,Agoda
2023-08-12,Everything is excellent except traffic a bit far away from MRT.,,美麗信花園酒店,Agoda
2023-08-11,服務一般，早餐貴又難吃,,美麗信花園酒店,Agoda
2023-08-08,Facilities are good but no self service washing machines,,美麗信花園酒店,Agoda
2023-08-02,除車牌辨識反應太慢，害我過去被柵欄打到 車身車頂被刮傷 不過整體硬體與軟性服務性價比高， 處理得宜,,美麗信花園酒店,Agoda
2023-07-28,Only good thing is the car park facility. Bad things are surrounding area got no shops n bistros and not near to subway station. Have to take taxi for going outside. only one 711 store nearby. Staffs are not too helpful.,,美麗信花園酒店,Agoda
2023-07-26,House keeping很棒👍親切又體貼,,美麗信花園酒店,Agoda
2023-07-23,房間超大超舒適,,美麗信花園酒店,Agoda
2023-07-23,"價格合理，但鄰近大馬路,隔音稍嫌差了點，隔壁房間用水，管線聲音房間聽得到！",,美麗信花園酒店,Agoda
2023-07-23,房間很大 乾淨 服務親切,,美麗信花園酒店,Agoda
2023-07-22,下次會再來,10.0,美麗信花園酒店,Agoda
2023-07-19,乾淨整潔，都日本客所以整潔度沒話說，沒買早餐所以沒吃早餐，服務人員親切,,美麗信花園酒店,Agoda
2023-07-13,整潔，高尚，寬敞，服務優質。這次住了14天，很滿意，同意也會推薦給朋友來。,,美麗信花園酒店,Agoda
2023-07-05,"因離捷運站還需一大段路,算遠,不過附近鄰近台北科大,共享機車多且方便!另外早餐選擇性多又好吃!",,美麗信花園酒店,Agoda
2023-07-02,床不太好睡，服務人員很親切，隔音設備沒有很好，行政酒廊沒什麼東西吃，不能稱為行政酒廊。,,美麗信花園酒店,Agoda
2023-06-27,Clean room and cozy bed. I will definitely choose this hotel again for my next trip to Taipei.,,美麗信花園酒店,Agoda
2023-06-27,很舒適,,美麗信花園酒店,Agoda
2023-06-27,很舒適,,美麗信花園酒店,Agoda
2023-06-25,約4月期間訂端午假期，房間CP高；隨行親友都挺滿意的。,,美麗信花園酒店,Agoda
2023-06-24,乾淨整潔舒適,10.0,美麗信花園酒店,Agoda
2023-06-23,櫃檯人員對於叫車服務非常糟糕，明明有排隊等候，但居然好幾天都被插隊，櫃檯人員的素質需要訓練,,美麗信花園酒店,Agoda
2023-06-19,因為環保不主動提供備品及瓶裝礦泉水 雖然可能有人因此不開心 但是電梯間前的飲水機提供氣泡水超棒的 都想買一台回家了😅 運氣好被升等到行政樓層 員工親切有禮 停車進出是車牌辨識 check in時登記車號即可 很滿意的一次住宿👍,,美麗信花園酒店,Agoda
2023-06-16,生日入住，有送小塊蛋糕🍰，晚1h退房很貼心。,,美麗信花園酒店,Agoda
