review_date,review_text,review_rate,review_hotel,review_source
2024-01-10,旁邊就有很多百貨，很方便,9.6,老爺大酒店,Agoda
2024-01-10,當天性價比很高,10.0,老爺大酒店,Agoda
2024-01-10,GOOD,8.0,老爺大酒店,Agoda
2024-01-08,已經入住多次，交通方便，早餐很多元(刈包，肉燥麵 牛肉麵 芋頭粥)很多台灣特色料理，床超級舒服，一覺到天亮,8.0,老爺大酒店,Agoda
2023-12-26,台北就只有老爺跟晶華👍👍👍,10.0,老爺大酒店,Agoda
2023-12-25,讚,10.0,老爺大酒店,Agoda
2023-12-13,有重新裝修過，住起來非常舒適，服務人員都很有禮貌會主動幫忙，推薦！,10.0,老爺大酒店,Agoda
2023-10-16,服務超棒！,9.6,老爺大酒店,Agoda
2023-09-25,房間乾淨整潔，整體設計感也不錯。 唯獨 Netflix 不好操作有點可惜。,10.0,老爺大酒店,Agoda
2023-07-13,早餐名過其實,9.6,老爺大酒店,Agoda
2023-06-27,房間乾淨 地理位置也很棒 是一間值得推薦的飯店,10.0,老爺大酒店,Agoda
2023-06-25,地理位置方便 環境整潔,9.2,老爺大酒店,Agoda
2023-06-25,乾淨、淋浴間、廁所、更衣室獨立分開很棒,9.2,老爺大酒店,Agoda
2023-06-23,入住家人生日，飯店主動提供蛋糕祝福生日快樂，感覺很貼心。 全家台北小旅行愉快的住宿記憶。,10.0,老爺大酒店,Agoda
2023-06-10,房價稍微舊了但是仍然很乾淨很有質感,8.8,老爺大酒店,Agoda
2023-05-27,市中心，近捷運，百貨商場，逛街購物方便,8.8,老爺大酒店,Agoda
2023-05-23,很棒的酒店服務、清潔都到位,10.0,老爺大酒店,Agoda
2023-04-25,帶一個1Y的小孩最怕的是飯店能提供的東西不夠，但老爺可以把我所需要的東西全部準備好，甚至在出發前發信息通知備品已準備好，讓帶小孩的父母安心入住。 房型不大，但床的部分可能是我住過台北的飯店來說數一數二大且舒適的，房間給我們的感覺很溫馨，吹風機、浴室備品也是有名牌子。 住宿期間還去享受館內的按摩（只需要checkin時跟櫃檯確認時間，當天會有服務人員去按電鈴帶領去spa室） 最令我印象深刻的是，當在老爺的各個樓層走來走去的時候，只要遇到接待人員或是房務等等的員工，無一不跟你打招呼，非常親切。 整體來說，親切舒適、交通方便，下次若有機會絕對會再入住👍 Ps忘記跟員工反應，當天提供的消毒鍋底下的擋風板不見了，雖然堪用但怕容易壞🤣,10.0,老爺大酒店,Agoda
2023-04-07,人員的服務熱忱補足設備上的老舊,9.6,老爺大酒店,Agoda
2023-04-04,很舒服的一個旅館，地點也很方便，附近有很多餐廳及便利商店，外地過來旅遊都不擔心。,9.6,老爺大酒店,Agoda
2023-03-23,床很好睡,10.0,老爺大酒店,Agoda
2023-03-22,離中山捷運站很近，附近有百貨貨公司可逛、假日有市集，晚上可以搭計程車去寧夏夜市！,10.0,老爺大酒店,Agoda
2023-03-20,床很不好睡，馬桶區是隔板的。環境很不乾淨。地毯都發霉。餐點種類很多但很吵雜。,2.8,老爺大酒店,Agoda
2023-03-19,地點、逛街、捷運都方便！ 服務也超好！ 沒有一點可以嫌棄的！,9.6,老爺大酒店,Agoda
2023-03-14,房間乾淨整體度不錯,6.0,老爺大酒店,Agoda
2023-03-13,位於台北中山區，不愧是老牌飯店，服務水準一流、也會協助停車，整體感受非常舒適！房間乾淨漂亮，住起來很舒服，下次去台北一定也會再來住,10.0,老爺大酒店,Agoda
2023-03-01,飯店人員服務非常貼心很有禮貌很有耐心,10.0,老爺大酒店,Agoda
2023-02-08,交通方便,8.4,老爺大酒店,Agoda
2023-02-05,乾淨舒適，早餐不錯,10.0,老爺大酒店,Agoda
2023-02-04,退房時被一隻竄出的蟑螂嚇到，我才住一晚，這是怎麼清潔的？退房時櫃檯也只是口頭道歉，可能覺得我沒要凹就什麼都沒給。那也沒關係，就下次別住就是,6.8,老爺大酒店,Agoda
2023-01-30,地點佳，但房間小，早餐普通 感覺不出五星 待客泊車，彌補停車位不足,8.8,老爺大酒店,Agoda
2023-01-29,五星級的大氣感 親切的服務 舒適的環境！,9.2,老爺大酒店,Agoda
2023-01-28,服務很好,10.0,老爺大酒店,Agoda
2023-01-25,彈簧床的支撐度不足，無法好好休息！,4.0,老爺大酒店,Agoda
2023-01-23,老牌子的五星級的飯店，設備還是維護的很好。,9.2,老爺大酒店,Agoda
2023-01-07,超讚，三溫暖是小確幸,10.0,老爺大酒店,Agoda
2023-01-04,在這邊安排慶生，服務人員很熱心幫忙，很有溫度❤️,9.2,老爺大酒店,Agoda
2022-12-30,入住時門口服務人員親切快速的態度及笑容，房間色調及擺設的溫馨感，整潔的浴室，週邊飲食逛街按摩非常便利，很值得再次入住，早餐的內容物可以加強一點。,9.2,老爺大酒店,Agoda
2022-12-28,住台幣11000邊間套房，房間可以！但設備上能說無設備泳池不能用，三溫暖很簡陋，健身房也是簡陋。早餐食物除了廚師現煎的蛋與麵 其他都偏涼連稀飯也是溫的！8點多去食用並不是收餐前去用餐。報到櫃檯 櫃檯人員也是偏冷漠，反而是餐廳人員很熱情。,6.8,老爺大酒店,Agoda
2022-12-23,交通方便，房間乾淨舒服隔音很好，服務很棒。,10.0,老爺大酒店,Agoda
2022-12-13,第一次入住，服務很好，清潔度很好,10.0,老爺大酒店,Agoda
2022-12-13,老舊,7.2,老爺大酒店,Agoda
2022-12-02,房間簡單舒適 適合兩人,9.2,老爺大酒店,Agoda
2022-11-29,房間非常舒適 連麵包店員工都細心服務 記得住客的需求 會非常期待再次入住的飯店,10.0,老爺大酒店,Agoda
2022-11-27,房間很小,9.2,老爺大酒店,Agoda
2022-11-23,房間很小,7.6,老爺大酒店,Agoda
2022-11-22,舒服,10.0,老爺大酒店,Agoda
2022-11-21,2022年10/26住進台北市老爺大酒店， 住宿到11/21，合計26個晚上。 日本女性櫃檯人員對住宿的客人，假報本身的姓名。 對於住宿26個晚上的客人稱呼錯誤。 房間的清掃不徹底， 第一天就在桌上發現兩根頭髮，還有床鋪上也發現過有頭髮。 抽屜裡面出現一隻小蟲。 房間內打死了一隻小蒼蠅。 睡衣有奇怪的味道，掉釦子，有破洞，衣擺破損…… 11/12開始整修12樓，有很大的噪音， 住的是11樓的房間， 11/16反應後才接到通知單。 曾經對台北市老爺大酒店有過加強清潔等等的反應， 櫃檯人員居然有四次不接電話的紀錄。 有一通甚至於長達20幾分鐘也是沒有接…… 在那之後接電話的櫃檯人員在接電話時，不報出自己的姓氏。 房間內地毯很髒，穿了一天的一次性拖鞋，鞋底就會變成黑的。 有了上面的種種情況，反映後的結果， 居然被五星級老爺大酒店要住宿的客人退房… 本身是由日本到台北市老爺大酒店住宿，房間的費用全部在是在日本一次性刷卡付清的,2.4,老爺大酒店,Agoda
2022-11-19,房間乾淨整潔又明亮，床也非常好睡 感謝服務人員們的貼心服務 我在這裡過了一個開心的生日：）,10.0,老爺大酒店,Agoda
2022-11-11,很適合來這裡舒壓，典雅的游泳池與美食自助餐。,8.0,老爺大酒店,Agoda
2022-11-07,霉味重 廁所內還留有殘留衛生紙,6.8,老爺大酒店,Agoda
2022-10-30,停車場很難開，路很窄要特別小心，而且沒有交管,8.0,老爺大酒店,Agoda
2022-10-24,距離中山捷運站非常近，交通便利的感覺非常良好。飯店的人員服務態度也很好，親切且讓人有尊榮的感覺，雖然我很年輕，卻被頂級照顧，感謝這些人員的用心態度。 另外我非常讚賞房務人員，都記住我講過我要換什麼用品，因為我住三天，東西幾乎沒搬，但他們都幫我換新的一套用品。有些我多要的清潔用品，還有礦泉水，給我超多，很感謝！ 唯一小小不滿意的地方就是 1. 泳池太冷，沒人要游。2. 健身房環境太陽春。 3. 三溫暖很簡便 此處讓人感覺到沒有要用心經營的設施。我自己本身是運動產業從事人員，很重視健身。此美中不足，建議可以再與時俱進，現代商務客應有更多人重視身心平衡。,8.8,老爺大酒店,Agoda
2022-10-16,很棒,10.0,老爺大酒店,Agoda
2022-10-13,早餐選擇多樣化，且口味好吃,8.8,老爺大酒店,Agoda
2022-10-10,整潔度待改進 整潔度待改進 整潔度待改進 必須說三次,5.2,老爺大酒店,Agoda
2022-09-29,房間整體空間很大， 可惜椅子沙發比較少,9.6,老爺大酒店,Agoda
2022-09-27,來台北一定要找老爺！,10.0,老爺大酒店,Agoda
2022-09-25,地理位置很好很方便，床很大很舒適，水壓很夠也很熱，空調也很好，只是車位較少但可以泊車，早餐內容的選擇性稍嫌少了一點，退房時間電梯要等比較久。,8.0,老爺大酒店,Agoda
2022-09-25,地點好、服務好,9.6,老爺大酒店,Agoda
2022-09-24,要求安静房間確實，給5顆星給櫃台員工，早晨起床冰箱不冷食品壞掉，服務經理說要搬移食品，要的是造成我的困擾表達歉意。,2.0,老爺大酒店,Agoda
2022-09-18,兩張單人床的房型，靠近廁所的床明顯聞到異味，整晚睡的不好。,8.0,老爺大酒店,Agoda
2022-09-12,環境很棒,10.0,老爺大酒店,Agoda
2022-09-11,交通方便,10.0,老爺大酒店,Agoda
2022-09-11,電話聯絡櫃台，一位女性員工，不願提供協助，一直鬼打牆重覆一樣的話，又不耐煩的態度。,2.0,老爺大酒店,Agoda
2022-09-11,整體的住宿感覺還不錯，服務與清潔都有到位，是值得入住的飯店,9.6,老爺大酒店,Agoda
2022-09-10,房間明亮，很棒的客房服務,8.8,老爺大酒店,Agoda
2022-09-09,浴室設備乾淨，但有一點舊，還是用浴簾。,7.6,老爺大酒店,Agoda
2022-09-06,浴室的乾濕分離，但有滲漏水，地板溼一片 但飯店人員的服務非常好,8.4,老爺大酒店,Agoda
2022-09-05,"若CHECK IN + 領房卡入住時間無法正常於下午時段，需要留意房型，我住過很多次老爺酒店，印象和體驗都很滿意，服務員也很親切，因此這次依舊毫無疑問的選擇入住老爺酒店，但也是經過這次的體驗讓我接下來選擇酒店不會再毅然決然地選擇老爺酒店了。 我的CHECK IN時間是上午8:50左右，因當天一整天我在外有安排，所以只能晚上21:30後才至櫃檯拿房卡入住。 以下是此次對於702號房的體驗: 1.它是的角邊房，整體房間的感覺就像是員工入住的格局，非常不明亮，窗景是大樓之間對面房子的窗戶 2. 部分設施也是老舊的，桌子角落處有灰塵，熱水壺的蓋子不知是否太久沒客人入住此房型所以有點壞了 不知是否因為入住客太多房間數很滿，所以雖然我很早就CHECK IN但是領房卡入住的時間太晚，導致我很不幸的沒有""正常"" ""舒適"" ""像一家酒店該有的房型"" 體驗。 兩個字總結此次入住體驗: 失望",5.2,老爺大酒店,Agoda
2022-08-30,沒有停車位!! 飯店應積極協助住客locate 附近可停位置 而不是只說一句沒位置 就把問題留給客人,6.8,老爺大酒店,Agoda
2022-08-29,整體相當完美、完善，唯一美中不足就是早餐選擇較少。,10.0,老爺大酒店,Agoda
2022-08-29,服務好，地點佳！,10.0,老爺大酒店,Agoda
2022-08-29,房間大且整潔，廁所和浴室是分開的這點很棒！員工服務很棒！,9.2,老爺大酒店,Agoda
2022-08-28,環境整潔！服務態度良好！房內設備齊全，很舒適！,10.0,老爺大酒店,Agoda
2022-08-28,設施完善，員工親切專業，房間整潔,9.6,老爺大酒店,Agoda
2022-08-25,服務和諧，設施整潔度都算上等，如果只是單純商務很適合。,8.0,老爺大酒店,Agoda
2022-08-24,老爺大酒店有日系的服務精神，入住這幾天都感到很貼心的服務，房間一塵不染，房間有除濕機與空氣清淨機，每天回到房間都很舒適。酒店的位置非常棒，附近很多熱鬧的地方，適合逛街，離捷運站也很近，去哪裡都很方便,9.6,老爺大酒店,Agoda
2022-08-22,送來的酒杯充滿水垢與指紋，浴室木質百葉窗滿布灰塵,7.2,老爺大酒店,Agoda
2022-08-21,櫃檯話術說升等，並不是實際的升等，房間明明差不多大，也沒有更豪華的地方，升等房內的優惠贈品通通沒有。不要覺得客人很好騙，感覺被話術敷衍，但也不想過多無謂的爭執。 代客泊車令人覺得奇妙，這裡又不是林森北路，收小費。,5.6,老爺大酒店,Agoda
2022-08-21,雙人床不是獨立筒，旁人翻身會影響睡眠，建議更換獨立筒床墊，整體住宿會大大加分,8.8,老爺大酒店,Agoda
2022-08-17,櫃檯人員非常細心，看到同住人員為壽星，還免費幫忙升等房型及贈送生日小蛋糕！度過很美好的一天～非常感謝！,10.0,老爺大酒店,Agoda
2022-08-15,老牌日式酒店，服務很友善、專業，飯店雖有點年紀、但地理位置很方便，床鋪也舒服CP值很高的五星級飯店,9.2,老爺大酒店,Agoda
2022-07-30,地點非常便利,10.0,老爺大酒店,Agoda
2022-07-26,一進大門就有親切的服務人員迎接，這次入住雙人房，房內有很多日式酒店會注意的小細節，住起來非常舒適！另外停車位滿了可以給小費泊車服務！非常便利！,10.0,老爺大酒店,Agoda
2022-07-25,超棒五顆星,10.0,老爺大酒店,Agoda
2022-07-24,帶一歲的寶寶入住，房間內該有的設施都有（嬰兒床、澡盆、椅凳、消毒鍋、空氣清淨、體重機、鞋子烘乾機等），且房間內有一個平台，可以擺放消毒鍋 奶粉及奶瓶等，空間規劃舒適，飯店地點也很方便，走路就有很多餐廳及百貨公司，飯店人員服務態度友善，值得推薦！ 訂的是不含早餐的價格2699，覺得很划算！,10.0,老爺大酒店,Agoda
2022-07-21,房間安靜 床舒適 健身房人少可獨享 早餐是buffet用心雖然口味稍不符個人偏好 商務住宿體驗依然不錯,8.8,老爺大酒店,Agoda
2022-07-20,環境乾淨、員工素質良好,10.0,老爺大酒店,Agoda
2022-07-14,五星級的服務!非常棒的服務!,9.6,老爺大酒店,Agoda
2022-07-11,入住時發現房內辦公桌沒擦乾淨，淋浴間備品架上有毛髮,8.0,老爺大酒店,Agoda
2022-07-10,房務清潔沒很好,4.0,老爺大酒店,Agoda
2022-07-02,衣櫥有衣物消臭噴霧，很貼心,8.4,老爺大酒店,Agoda
2022-07-02,很優的住宿環境！！,10.0,老爺大酒店,Agoda
2022-06-29,老飯店常遇到空調太大聲、手把鬆動、水量太小等等問題。老爺酒店的管理果然不負一向的嚴謹，讓我安排這次的商務行程有個舒適、安心的休息空間。真心值得推薦。,9.6,老爺大酒店,Agoda
2022-06-27,飯店設施不足 但早餐好吃 服務好 位子優,8.0,老爺大酒店,Agoda
2022-06-27,位子優服務好,8.0,老爺大酒店,Agoda
2022-06-26,住宿是很好但早餐粥是冷的熱菜也是冷的,8.8,老爺大酒店,Agoda
2022-06-26,以交通來說，算是很方便的 也比隔壁精華便宜許多，但游泳池偏小，早餐也是偏普通,9.2,老爺大酒店,Agoda
2022-06-23,早餐好吃 客房住的舒服 尤其是從房間看中山北路街景 很美,8.8,老爺大酒店,Agoda
