review_date,review_text,review_rate,review_hotel,review_source
2024-01-20,住宿的環境機能性很高，服務人員親切，很舒服，會想再一次住宿。,,豪景大酒店,Agoda
2024-01-01,嘻皮值蠻高的住宿,,豪景大酒店,Agoda
2023-12-17,地點離捷運站走10分內可到，附近也有美食火鍋店，飯店設施感覺一般。唯一一點是樓層內沒有飲水機可使用這部份比較可惜。,,豪景大酒店,Agoda
2023-12-16,性價比高,,豪景大酒店,Agoda
2023-12-11,這次住 新館 整潔乾淨、很舒適。 原本只有訂到兩小床 感謝飯店幫忙升級一大床 謝謝您！,10.0,豪景大酒店,Agoda
2023-12-07,離捷運站有一段距離，或許是最辛苦的，除此之外，其他都挺不錯的。,,豪景大酒店,Agoda
2023-12-03,有方便的停車位、周邊也有許多美食， 入住新館的體驗、非常舒適， 除了可能隔音稍微不理想、 整體的性價比非常之高。,10.0,豪景大酒店,Agoda
2023-11-26,事先問過生日月入住會招待紅酒，報到時再次詢問，櫃檯表示已經放置招待的紅酒及水果於房間，結果入住房間後卻沒有看到，致電櫃檯30分鐘後才補給；電視唯獨台視沒有聲音，金馬獎轉播剛好是台視，經反應20分鐘後，才經由遠端重設，但聲音非常小聲，要調至90多才同等於他台的聲音15左右，問題都不大但瑕疵不斷，整體感覺很扣分。,,豪景大酒店,Agoda
2023-11-08,房間乾淨,10.0,豪景大酒店,Agoda
2023-11-06,CP值高,,豪景大酒店,Agoda
2023-11-06,有點舊，沒牙刷，洗髮精和沐浴乳只有ㄧ罐小小的。view 也是小小的。,,豪景大酒店,Agoda
2023-10-20,乾淨 舒服 床好睡 枕頭也好躺 值得下次來再次回購…….👍,10.0,豪景大酒店,Agoda
2023-10-16,本次入住冷氣一直有水聲無法排除，除此之外都很好,,豪景大酒店,Agoda
2023-10-16,整體來說很棒 只是隔間稍微比較差 隔壁在敲浴缸都聽得很清楚 服務人員很親切 最重要的是有停車位😍,10.0,豪景大酒店,Agoda
