review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,環境很不錯，乾淨明亮。飯店人員都很友善。入住草山四人房，房內空間舒適，還提供迎賓點心。 房內的插座有些少，且都不在床頭。使用起來多少有些不適應。 床墊軟硬適中，兩個人睡在上面不會太緊迫。枕頭抱起來很舒服，但是躺下去就有點扁。,8.8,陽明山天籟渡假酒店,Agoda
2024-01-19,棒棒,8.8,陽明山天籟渡假酒店,Agoda
2024-01-11,良好服務，露天溫泉環境大， 優美,10.0,陽明山天籟渡假酒店,Agoda
2024-01-09,但房間還好 可能因為山上關係濕氣很重,7.2,陽明山天籟渡假酒店,Agoda
2024-01-07,溫泉很讚，餐廳吃到飽超讚，東西好吃選項多，服務好棒👌室內溫泉池也超級棒！房間我好喜歡🥰,10.0,陽明山天籟渡假酒店,Agoda
2024-01-05,溫泉很讚 有很多種池 服務人員也很優秀,9.6,陽明山天籟渡假酒店,Agoda
2024-01-04,老飯店，但房間內乾淨、舒適 熱湯、泳池維護的還不錯 只是附近沒有商店，吃飯不易,8.0,陽明山天籟渡假酒店,Agoda
2024-01-04,戶外風呂沖淋水柱池水柱不強，池裡落葉太多,8.8,陽明山天籟渡假酒店,Agoda
2024-01-03,溫泉特妤,8.4,陽明山天籟渡假酒店,Agoda
2024-01-03,住和風四人房，房間很大 早餐尚可 重點溫泉可以泡到爽,8.8,陽明山天籟渡假酒店,Agoda
2024-01-02,OK,8.8,陽明山天籟渡假酒店,Agoda
2024-01-01,第二次入住了 第一次住高級雙人房、很滿意～雖然我們沒有使用任何設施。但能在房間裡泡溫泉覺得很不錯 這次沒注意到房型的不同選到一般雙人房、帶小孩沒辦法很難在戶外泡溫泉、不過這我們都覺得還好～只是房間的霉味很重、嬰兒床那面牆有好幾處發霉⋯餐廳的餐點真的不太好吃、飯店的親子遊樂區也讓人很失望、扶手都濕濕黏黏的、整間瀰漫著一股霉味⋯ 最讓我們失望的是明明跨年夜真的蠻冷的、空調怎麼調都是冷風，電話問客服才知道不夠冷中央不開暖氣，還說只有我們這一家這樣反應⋯但房間真的很冷、小朋友一邊睡一邊咳嗽（發熱衣跟毛衣都穿上了）我們只好先借暖氣、結果都打不開試了幾次突然就爆火花、開關的地方直接燒掉、真的很危險⋯ 我們打電話抗議、櫃檯也沒什麼反應，只好請飯店再提供測試過ok的暖氣過來、但大姐送過來叫我們自己試試 暖氣打開後一直發出切換的卡卡聲、我們後來也放棄了⋯ 早上的餐點也是讓人滿失望的 一晚七八千的住宿、讓我覺得相當不值得 寧願回家過還比較溫暖,2.0,陽明山天籟渡假酒店,Agoda
2023-12-31,不錯,9.2,陽明山天籟渡假酒店,Agoda
2023-12-28,風景優美，晚餐美味，很放鬆,10.0,陽明山天籟渡假酒店,Agoda
2023-12-28,設施非常多樣化，是一個可以玩一整天好好放鬆的地方,9.6,陽明山天籟渡假酒店,Agoda
2023-12-24,飯店裡設施很多，很享受在房間內泡戶外溫泉，也可以去泡三溫暖，夏天非常適合帶小孩來這邊玩水，整天待在飯店裡，一點都不會無聊，而且藍鵲閣的燉飯和義大利麵也很好吃呢~~,10.0,陽明山天籟渡假酒店,Agoda
2023-12-23,床且溫泉設施舒服，同團同事均覺得睡得很好。,8.0,陽明山天籟渡假酒店,Agoda
2023-12-20,整體不錯,7.2,陽明山天籟渡假酒店,Agoda
2023-12-20,國內老字號的高級溫泉飯店 房間乾淨寬大舒適 員工態度很好 但覺得應該要更用心在溫泉設施上 早上7點半氣溫12度正適合泡湯 室內泡湯沒問題 環境非常好 水溫都有42度 想去戶外泡湯 員工提醒戶外很低溫 覺得低溫很正常 反正溫泉是熱的 結果戶外湯旅的溫泉 真的是「溫」泉 比夏天正常洗澡的水溫還低 仔細看發現 出水孔根本沒有持續有水流出來 只是靜止的溫泉水而已 所以根本沒辦法泡超過2分鐘就離開 不知道是否因為早上一開始覺得戶外不可能有人就不想讓溫泉水持續放出來 這是我唯一覺得很差的部分,8.4,陽明山天籟渡假酒店,Agoda
2023-12-09,大眾湯很豐富很舒服！放鬆的好地方,9.2,陽明山天籟渡假酒店,Agoda
2023-12-05,客服人員很親切，沒有注意到要自備牙刷，外面下著大雨，櫃檯親切的提供牙刷，房間很整潔，泡湯的環境也不錯,10.0,陽明山天籟渡假酒店,Agoda
2023-12-04,設施有點舊，室內裸湯區有重新裝潢好很多，整體還不錯，希望戶外裸湯盡速更新,6.8,陽明山天籟渡假酒店,Agoda
2023-12-03,第一次來到這邊， 適合喜歡泡溫泉的夥伴們， 住宿乾淨整潔、服務人員親切， 唯獨要吃東西沒有外送只能下金山市區吃東西或在飯店內享用。 整體來說滿推薦的！,9.2,陽明山天籟渡假酒店,Agoda
2023-12-02,環境維護和很好 員工素質也很好,10.0,陽明山天籟渡假酒店,Agoda
2023-11-30,我一家三口和祖父母來玩，三人房很好，但原來雙人房很細，玩了喼已經沒有太多位置，而且雙人房在另一個館，不能直達溫泉。洗手間沒有門，洗澡時水會流去馬桶那邊，非常不好。房間有私人風呂，但戶外風呂太好也沒有用私人風呂。,8.8,陽明山天籟渡假酒店,Agoda
2023-11-30,我們一家三口住4人房，房間很大有2張雙人床，窗邊還有梳化，開了2個大喼還有很多空間，洗手間很大，有企缸。溫泉很大，有很多不同池，非常喜歡！早餐一般，酒店位置比較偏遠。,9.2,陽明山天籟渡假酒店,Agoda
2023-11-29,可以找一天是專程來體驗！飯店裡有很多設施基本上不用怕無聊 且飯店美景一覽無遺！放鬆跟與自己對話都是不錯的選擇,9.2,陽明山天籟渡假酒店,Agoda
2023-11-27,"CP高, 約2000元就能享受房內和室外溫泉和早晚自助餐, 只是交通不方便, 叫車前往會比較好。",7.0,陽明山天籟渡假酒店,Agoda
2023-11-19,玩水設施都很不錯,9.6,陽明山天籟渡假酒店,Agoda
2023-11-18,溫泉品質很好，在房間就可以泡得很開心，唯一美中不足，打電話到房務中心，卻一直沒人接電話,8.8,陽明山天籟渡假酒店,Agoda
2023-11-16,潔淨、舒適、寧靜、放心⋯⋯CP值高的住宿選擇,10.0,陽明山天籟渡假酒店,Agoda
2023-11-14,入住和風館，付的價錢沒有相對的價值。 一.冬日使用館內大眾泡湯，最好要先確認「温泉是熱的」、洗澡有「熱水」 二.訂房時被同意的延長退房時間，時間未到也未退房，房卡被鎖卡。 三. 現場反應狀況，會得到他們都沒問題，所有的問題都是旅客或設備的問題。 三、入住時在房間要注意安全，房間內是地磚，提供的室內托鞋無止滑，若沒自備防滑鞋很容易滑倒，由其是長輩。 四.現場都不是他們的問題，都是設備的問題。 事發經過如下： 1.傍晚5點多去露天風呂，熱温泉的水是冷的，和櫃臺反應，應該不會吧，你們是不是去到冷池。 2.進了女湯都已光溜溜，冲澡沒熱水，只好泡完再把泳衣穿回，至更衣室洗澡。遇到服務人員反應，回答你們是開到冷水 3.訂房時有勾特殊需求晚退房，收到飯店回覆可以11:30退房（有e-mail），入住時確認，櫃台說查不到，說明之前與飯店往來郵件，櫃台說會幫忙註記。 4.退房前11:20時第一趟將長輩及大部分的東西安置在一樓，上去拿大行李箱時，門卡己刷不進去，櫃台說我們超過11:00，我反應一是飯店同意我們11:30退房，二是未辦理退房，為何我們東西還在房間就鎖卡 5.未退房被鎖卡，飯店主管回覆：知道我們可以11:30退房，但這是電子鎖的問題🙄️,4.8,陽明山天籟渡假酒店,Agoda
2023-11-14,"入住房型: 2人溫泉池套房 隔音能力: 差, 可聽到其他客房放水的聲音 客人敲錯房門, 入住的會館的房門是相鄰且沒有照明燈, 經常有人誤刷房卡與敲門 西式餐廳的餐不好吃, 牛肉麵很大碗很氣派但味道不道地, 湯嚐起來是甜的,不合胃口, 義大利麵的松阪豬硬地咬不下去, 麵炒得太油膩~ 房內的泡湯池沒有清理乾淨, 放了溫泉下去泡, 一直撈到頭髮",8.0,陽明山天籟渡假酒店,Agoda
2023-11-13,棒.清幽.整潔.服務人員熱情有禮.設施讚. 已住過3次.期待下次再會.,8.7,陽明山天籟渡假酒店,Agoda
2023-11-13,清幽.整潔.服務人員熱情有禮.已住過3次.設施多元,9.2,陽明山天籟渡假酒店,Agoda
2023-11-09,進來就不用再出門了，值得整天待在飯店裡泡湯玩水，特別是日式和風房型具備半露天溫泉更值得一住。,8.0,陽明山天籟渡假酒店,Agoda
2023-11-08,酒店環境、員工、食物也很好，唯獨戶外温泉雜質較多．．見議選私人温泉客房較佳。,8.8,陽明山天籟渡假酒店,Agoda
2023-10-30,服務5 整潔5 住宿5 早餐5,10.0,陽明山天籟渡假酒店,Agoda
2023-10-29,"女性裸湯的化粧室提供的東西太 少,以天籟的收費不應該如此陽春. 以環保訴求不提供灌洗用具也是以天籟的收費有一點要遊客乾脆將家裡的東西都帶上好了.",7.6,陽明山天籟渡假酒店,Agoda
2023-10-27,感覺飯店較不注重裸湯環境、裸湯水溫過高無法泡、牆壁還有蜘蛛網、只有一隻頭髮吹不乾的吹風機、也沒有乳液、梳子、電風扇、但裸湯的水質是比戶外湯池來的好。戶外水柱不夠強、形同虛設,8.0,陽明山天籟渡假酒店,Agoda
2023-10-24,這次是慶祝我太太的生日，第一次來天籟，感受很好，尤其接待人員_玉雲，幫我準備生日蛋糕，非常感動，全家大小玩得很開心，整體感覺很棒，有機會會再來度假！,10.0,陽明山天籟渡假酒店,Agoda
2023-10-22,疫情期間價格優惠特別來入住一晚，大眾池真的很棒!裸湯也很棒，5千多的CP值很高!,9.2,陽明山天籟渡假酒店,Agoda
2023-10-15,整體感受超讚，即便來泡湯加用餐也是大推,9.6,陽明山天籟渡假酒店,Agoda
2023-10-13,有點距離,6.4,陽明山天籟渡假酒店,Agoda
2023-10-13,"我們訂了兩間房間, 使用了飯店的泡湯等親水設施, 期間我們還有慶祝家人生日, 謝謝服務人員所有協助, 我們非常滿意也非常開心!",10.0,陽明山天籟渡假酒店,Agoda
2023-10-12,餐點有點雷，溫泉很容易踩到葉子或是不明物體，清潔度可以再加強。,6.0,陽明山天籟渡假酒店,Agoda
