review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,適合商務交流 鄰近捷運🚇,5,JR東日本大飯店台北,Google
2024-01-22,,5,JR東日本大飯店台北,Google
2024-01-19,11月底來訪的，房間寬敞明亮乾淨，早上準備退房時遇到房務人員還會很有朝氣的跟我們打招呼並致謝，能夠感受到滿滿的活力，非常值得嘉獎！ 晚餐跟早餐都在鉑麗銨享用，當時去有非常多螃蟹，三點蟹的肉非常飽滿！羊排與牛舌非常讓人驚艷！ 早餐的口味不會過於重口味與油膩，當成一天的第一餐非常適合！ 整體來說非常喜歡！會願意再二訪甚至三訪！,5,JR東日本大飯店台北,Google
2024-01-18,鄰近捷運交通地點方便，附近又有好吃的夜市，飯店服務很好，房間乾淨床和枕頭很舒服，館內有獨立吸菸室很加分，地下一樓自助餐好吃，是一次美好的住宿體驗。,5,JR東日本大飯店台北,Google
2024-01-18,地點超級好，就在南京復興捷運站旁，出來走路就看到了!! 行政酒廊一整天都有提供簡單輕食，17:00~19:00更有HAPPY HOUR，除了紅白氣泡酒外，竟然還有兩款清酒無限暢飲!! 搭配他們提供的日式煙燻蘿蔔，真是絕配~~還有哈根達斯吃到飽!!根本是天堂~~房間很寬敞床跟枕頭睡起來非常舒服(完全不想起床)，飯店B1的早餐也超豐富，一早就有牛排可以吃，還有班尼迪克蛋，好多道菜都好好吃。飯店人員服務很好，這趟旅程真是吃好喝好睡好，期待下次再來入住~~~超級推的台北住宿去處!!,5,JR東日本大飯店台北,Google
2024-01-17,餐點好，服務佳，氣氛棒。,5,JR東日本大飯店台北,Google
2024-01-17,自助餐廳食物優，服務OK,5,JR東日本大飯店台北,Google
2024-01-16,第一次入住。選擇行政尊榮客房，飯店自動升等行政景隅客房。景氣真的很棒，可看到台北101，客廳大，有兩台壁掛電視，所以，跟先生可各看各的。行政酒廊10:00-22:00，入住當天，14:00後才能享用。17:00-19:00 Happy Hour，有酒精飲品，可自己調酒，很特別的體驗。9樓，三溫暖，冷熱水池，各ㄧ。也有烤箱與蒸氣室。美中不足，客房內的電視迎賓，把我的名字Key錯了。|結論，整體90分。推薦！,5,JR東日本大飯店台北,Google
2024-01-16,一進門就有感覺到日式風格，一間讓人想再次光臨的飯店,4,JR東日本大飯店台北,Google
2024-01-16,包廂服務很好，禮貌漂亮！,4,JR東日本大飯店台北,Google
2024-01-16,,5,JR東日本大飯店台北,Google
2024-01-16,,5,JR東日本大飯店台北,Google
2024-01-16,下午茶的小點心，鹹甜點心色彩繽紛，口感各異。餐廳氣氛優雅寧靜，落地玻璃窗外，一塘小水池噴灑著水注，顯現出歲月靜好。,5,JR東日本大飯店台北,Google
2024-01-16,房間適中，餐廳，咖啡廳均有，,5,JR東日本大飯店台北,Google
2024-01-16,,5,JR東日本大飯店台北,Google
2024-01-16,,4,JR東日本大飯店台北,Google
2024-01-16,,5,JR東日本大飯店台北,Google
2024-01-16,原是（六福皇宮）飯店，雖有一定的年代總體上還是相當精緻， 有泳池三溫暖但泳池使用要先預約,4,JR東日本大飯店台北,Google
2024-01-16,雖然只是來參加廠商的試聽會，但飯店整體看起來不錯。,5,JR東日本大飯店台北,Google
2024-01-16,,5,JR東日本大飯店台北,Google
2024-01-16,,5,JR東日本大飯店台北,Google
2024-01-16,非常好的體驗 日本料理鐵板燒 食材新鮮 擺盤精緻 傳統日式服務令人安心自在 宛如置身日本,5,JR東日本大飯店台北,Google
2024-01-09,,1,JR東日本大飯店台北,Google
2024-01-09,硬體設備不錯，飯店人員服務也非常親切，床鋪很舒服，房間空間也很寬敞，這次是一人入住，但如果是二人的話，空間也是非常足夠的。||另外，飯店有提供住客餐飲優惠券，和朋友一起吃下午茶剛好可以用，算是個驚喜。||但清潔的部分需要加強，原本是想泡澡的，但發現浴缸有頭髮沒清乾淨，這感覺很不好，也因此打消泡澡的念頭，很可惜，同時也會擔心其他物品的清潔狀況。||浴缸是比較美中不足的地方，但這次住宿部分，房間整體來說是不錯的。|,3,JR東日本大飯店台北,Google
2024-01-09,,5,JR東日本大飯店台北,Google
2024-01-09,,5,JR東日本大飯店台北,Google
2024-01-09,日本人的經營管理，當然是會！比較注意細節！要改善的空間也是還有在此就不說了吧！浴室很大很舒服，早餐跟晚餐也很優秀！,5,JR東日本大飯店台北,Google
2024-01-09,交通便捷，地方寬躺，服務一流,4,JR東日本大飯店台北,Google
2024-01-09,,3,JR東日本大飯店台北,Google
2024-01-09,房間整潔寬敞，職員態度佳，但無暖氣，酒店會提供移動或暖氣，但依然好凍。,4,JR東日本大飯店台北,Google
2024-01-02,來 鉑麗安午餐，從大門進來，左轉看見 麵包，蛋糕店，蛋糕很吸睛 價格不斐？生斗小民無法消費😝😝😝😝 因沒要住宿？只匆匆路過？無法窺視全貌？？,4,JR東日本大飯店台北,Google
2024-01-02,,1,JR東日本大飯店台北,Google
2024-01-02,剛剛入住這洒店，廁所大房間大和舒服，打車方便而且就在復興站3分鐘到好方便。行過對面馬路還有一個小小夜市，酒店早餐好豐富，一定要食酒店自助餐早餐，下次一定會再入住。,4,JR東日本大飯店台北,Google
2024-01-02,,5,JR東日本大飯店台北,Google
2024-01-02,市區很棒的飯店、房間很大乾淨、浴室也令人放鬆。有大眾池可泡裸湯。,4,JR東日本大飯店台北,Google
2024-01-02,房間跟浴室都很大，景觀也很好，但去停車場要換乘另外的電梯不太方便，櫃檯跟接待人員態度也友善，酒店外等待的計程車司機感覺有點只想做長途客人，但這酒店也無法控制吧。 附近也有一些餐廳跟早餐店，捷運站走3分鐘就可以到達了,5,JR東日本大飯店台北,Google
2023-12-26,超級讚的啦 (由 Google 提供翻譯) 超讚的啦,5,JR東日本大飯店台北,Google
2023-12-26,美食滿分，偏貴，但是還很值得,4,JR東日本大飯店台北,Google
2023-12-26,用餐享受火雞肉羊肉及 海鮮類。,5,JR東日本大飯店台北,Google
2023-12-26,地理位置優越，交通便利，購物方便。,5,JR東日本大飯店台北,Google
2023-12-26,,5,JR東日本大飯店台北,Google
2023-12-24,,5,JR東日本大飯店台北,Google
