review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,,1,三德大飯店,Google
2024-01-16,,4,三德大飯店,Google
2024-01-15,,3,三德大飯店,Google
2024-01-15,,4,三德大飯店,Google
2024-01-15,,3,三德大飯店,Google
2024-01-15,入住房間房型非常破舊，床和衛浴地毯都不堪使用，冷氣溫度無法調整 即使關閉也一直有風吹入，整晚睡到一直冷醒，燈罩破了，天花板超級髒 櫃檯完全沒有事不關己，完全不會想再踏入這樣的旅館,1,三德大飯店,Google
2024-01-08,1/5-1/7因為我訂到了不能退款的房間， 我取消訂單，今天還收到被扣款 ，話說我也沒接到電話告知，這是不能退款的房間。 因為這次北上臨時換住宿的地方沒注意到是不能退款的， 這筆交易我就認了， 我覺得應該可以跟我問一下為何取消吧， 也該提醒我那是不能退款 ，我就不會換親戚家住。😭 何況我每次都訂你們家的，還推薦朋友北上訂三德。這個經驗非常不舒服,1,三德大飯店,Google
2024-01-08,,5,三德大飯店,Google
2024-01-08,,3,三德大飯店,Google
2024-01-01,很爛、食材不新鮮、收費不實、服務過頭，狂收盤子，正在吃的食物能在我轉眼聊天間一直被收（因爲只要有空盤就收，導至我的骨頭、螃蟹殼只能丟在正在吃的盤上，但還沒吃完就又被收！,1,三德大飯店,Google
2024-01-01,"我們是去用餐，同行人吃到酸掉的火鍋料，反應後也沒將食材撤掉、官網及門口都張貼12歲以下兒童價，但用餐完要結帳卻又告知130cm以上就要以大人價收費、我的小孩去醫院及在家量身高都未滿100cm,去到那量身高卻說我小孩已滿110cm需收清潔費，當下質疑問他們身高表是否準確，他們馬上回報「我們是標準的！」，回家後，我又拿了卷尺確認我兒子身高，不誇張，要說他有100cm都很牽強！我不是在意錢….而是在意這樣不確實的強制收費，結完帳還聽到服務生因我的反應而在議論，大家應該要ㄧ起抵制這樣不實收費的飯店！",1,三德大飯店,Google
2024-01-01,,4,三德大飯店,Google
2024-01-01,,5,三德大飯店,Google
2024-01-01,,1,三德大飯店,Google
2024-01-01,,3,三德大飯店,Google
2024-01-01,尿尿都沖不下去⋯⋯,1,三德大飯店,Google
2023-12-25,最近和老公和兒子去向陽庭消費2次，對生蠔又大又新鮮很滿意，火鍋料扇貝.肉類和牡蠣肥美新鮮，熟食也很豐盛，這星期日也約了另3個朋友去，希望永遠維持好品質。2023/12/24更新：向陽庭重新開放後，因為一直有負面的消息傳出，生蠔不新鮮，放夾子出菜慢，熟食不優.....等等，我就一直不想再去消費，今天健身房朋友二十幾個約在那裏聚餐，發現和以前差不多，並沒有傳說的那樣差，大夥吃喝（紅白酒）很愉快，cp值高。,5,三德大飯店,Google
2023-12-25,一家人用餐，無停車，需要自己在外面找停車場再走至飯店用餐,4,三德大飯店,Google
2023-12-23,,2,三德大飯店,Google
2023-12-23,,1,三德大飯店,Google
2023-12-23,,1,三德大飯店,Google
2023-12-23,隔音極差,2,三德大飯店,Google
2023-12-23,,1,三德大飯店,Google
2023-12-23,特色就是火鍋 生蠔真的很慢 變相控制吃貴的,4,三德大飯店,Google
2023-12-23,算是很不錯了，可惜空氣混濁，玻璃窗都固定，無法交換空氣。,4,三德大飯店,Google
2023-12-23,雖然老舊了點，但是整體不錯很安靜 睡的舒服,4,三德大飯店,Google
2023-12-23,,2,三德大飯店,Google
2023-12-23,雖是老酒店，設施不舊。環境也很好，靠近地鐵站。附近有去機場和景點的巴士站，很方便。前台也很友善，行李可免費寄存,5,三德大飯店,Google
2023-12-23,平日一晚雙人房2000元，沒有停車場，沒有早餐,2,三德大飯店,Google
2023-12-23,超噁 一進房間廁所就有頭髮沒打掃乾淨 絕對不是我的頭髮我有染髮 隔音也不好 確定是四星級飯店？？？,2,三德大飯店,Google
2023-12-23,交通位置在民權西路捷運附近；1號出口有電梯出來向在十字路口協對面承德路或5號出口走約8分鐘就到門口！很便利！附近也有公車站!所以要轉其他地點都很方便！房間床＆設備＆舒適度很棒！,4,三德大飯店,Google
