review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,糟糕的用餐感受，從porter停車就有問題，不會引導車輛，致使車輛塞在車道入口，最後竟然把我帶到馬路上下車;回程取車，可能是porter停車的位置積水，將駕駛座下的踩腳墊弄的濕答答的。用餐時竟然是外籍服務生，一個台灣人在自己國家境內還得用英文跟他溝通，令人無法理解。叫的氣泡水幾乎沒氣泡。不知為何是否成本考量，和以前用的不同廠牌，塑膠瓶裝，氣泡保存不易，又不環保。四人用餐上菜時，竟然會上錯位置，還未完全用完餐，卻急著收餐盤。原物料上漲，餐費漲了，可以理解，可是服務品質卻下降，過去以服務著稱的亞都麗緻，也忽略了管理，令人覺得惋惜。,1,亞都麗緻大飯店,Google
2024-01-19,餐廳服務人員非常貼心，本想只是問問有沒有香菜能加在卦包，服務人員真的送上香菜，哇！太感動！謝謝服務人員滿足我的香菜需求，謝謝您們的感動服務！,5,亞都麗緻大飯店,Google
2024-01-17,住到一半 直接跳電 打電話去櫃檯講的不清不楚,1,亞都麗緻大飯店,Google
2024-01-15,你們房間的牆壁也太髒了吧？牆面到處都是黑色的碰撞痕跡，這是可以擦掉的，卻都不花點心思做？？一晚5千多，不算貴但也不是便宜，地點好不代表你們清潔、門面維持可以不盡責，後來換了一間房還是這樣，代表這不是個案，大失所望….. （服務人員很好，這點要讚揚）,2,亞都麗緻大飯店,Google
2024-01-15,服務細緻 典雅氣派,5,亞都麗緻大飯店,Google
2024-01-15,,5,亞都麗緻大飯店,Google
2024-01-15,很好的飯店,5,亞都麗緻大飯店,Google
2024-01-08,,2,亞都麗緻大飯店,Google
2024-01-08,,5,亞都麗緻大飯店,Google
2024-01-08,,5,亞都麗緻大飯店,Google
2024-01-08,,5,亞都麗緻大飯店,Google
2024-01-01,,1,亞都麗緻大飯店,Google
2024-01-01,地點很好 房間明亮整潔 早餐非常豐盛 服務態度優 下次還會再來入住,5,亞都麗緻大飯店,Google
2024-01-01,,5,亞都麗緻大飯店,Google
