review_date,review_text,review_rate,review_hotel,review_source
2024-01-23,外客泡湯 保養品 這邊都有 天冷想泡湯直衝即可！♨️,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-22,帶家人去用餐加泡湯 環境跟食物都非常好 服務人員佐枝子小姐非常客氣有禮貌也很專業 期待下次再去,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-22,,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-22,住宿環境很舒適 服務人員都很親切 唯一挑剔的就是早餐太普通了😌,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-19,午餐加泡湯cp值不高,3,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-18,,3,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-17,單純來泡湯， 整體感覺很不錯， 有總古色古香,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-17,,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-17,價格太貴，這樣等級的飯店在日本不用那麼貴，如果這樣的價格，我另可存錢去日本，也不要花這樣的錢去這裡泡溫泉，而且溫泉感覺也沒日本的感覺舒服，就連日本廉價溫泉都比他們舒服乾淨，這樣的價格泡溫泉一次都覺得太不值得了,1,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-16,小朋友抓周宴辦在這裡，真的非常值得～ 整體環境非常舒適，人員用心專業，引導流程順暢且節奏非常恰到好處，食物美味，還有浴衣體驗增加活動樂趣！當天主持人佑樹非常棒，超級親切又專業，並且很貼心～ 雖一開始覺得跟其他抓周場地比起來費用稍高，但結束後覺得非常值得，回憶是無價的，整個過程都很舒服～ 不愧是日本的知名飯店 大推,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-16,,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-16,,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-16,裝潢好、服務好。,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-09,一家三口在這度過了美好的結婚三週年夜晚❤️,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-09,只泡湯也有代客泊車，服務也超好👍,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-09,,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-09,此次於跨年夜入住，有送一個小御守，覺得蠻可愛的！,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-09,,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-09,,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-09,"浸溫泉舒服,食物都可以",4,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-02,,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-02,,1,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-02,純泡湯 非常不建議選擇加賀屋 非假日90分鐘 就要2000多元 也沒點心也沒飲料 只有一個非常沒味道的麥茶 如其他網友說的一點都沒有物超所值 定價還要再加10%喔,1,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-02,,5,北投日勝生加賀屋國際溫泉飯店,Google
2024-01-02,,4,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-26,環境舒服又放鬆！是個泡湯的好地點,5,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-26,整體體驗感覺值得，唯獨早餐我自己個人感覺沒那麼到位,4.6,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-24,服務熱誠，清潔衛生，交通方便。￼ (由 Google 提供翻譯) 服務熱誠，清潔衛生，交通方便。 ￼,4.6,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-24,90分鐘湯屋，乾淨舒適，4坪空間小，但是使用沒有不便，6坪比較剛好,5,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-24,"飯店整體設計很一緻, 可以感受到日系的細節",5,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-24,商務用餐還不錯，缺點廁所小,4,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-24,,2,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-24,,5,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-24,,5,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-24,享受下午茶套餐，服務人員非常親切，質感裝潢，現烤鬆餅入口香酥鬆脆，配上香濃咖啡，愜意舒適。,5,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-24,,1,北投日勝生加賀屋國際溫泉飯店,Google
2023-12-24,,4,北投日勝生加賀屋國際溫泉飯店,Google
