review_date,review_text,review_rate,review_hotel,review_source
2024-01-23,到飯店可以從新北投走路大約20分鐘，但還是建議坐公車或向飯店預約接駁。房間舒適，泡湯也很舒服。,5,北投春天溫泉酒店,Google
2024-01-22,,4,北投春天溫泉酒店,Google
2024-01-21,,1,北投春天溫泉酒店,Google
2024-01-20,,5,北投春天溫泉酒店,Google
2024-01-18,我要搭接駁車去新北投捷運站的時候我問露天風呂的管理員的時候她就直接幫我預約接駁車這家酒店很不錯,5,北投春天溫泉酒店,Google
2024-01-17,櫃檯人員上班麻煩不用帶著情緒，沒有欠你們錢，我是來享受假期，不是來受氣的,1,北投春天溫泉酒店,Google
2024-01-16,,4,北投春天溫泉酒店,Google
2024-01-09,,5,北投春天溫泉酒店,Google
2024-01-09,,4,北投春天溫泉酒店,Google
2024-01-09,,5,北投春天溫泉酒店,Google
2024-01-09,我是來泡戶外大眾湯，假日絕對不要來，以後不會回訪了。 完全沒有控制人潮吧？池子很小，進來後根本沒什麼地方泡，人跟人距離很近。 而且設施超老舊的，飯店的浴室門怎麼是塑膠的？搞得跟皇池等級差不多 同樣價格以後會去別間，質感很差,1,北投春天溫泉酒店,Google
2024-01-09,位於半山腰上面的傳統溫泉酒店，有單人跟雙人湯屋可以選擇，雖然稍微有點舊式，不過還是非常乾淨舒適，結束後也有接駁車可以搭乘。,5,北投春天溫泉酒店,Google
2024-01-09,溫泉好細 但人超多,3,北投春天溫泉酒店,Google
2024-01-09,,3,北投春天溫泉酒店,Google
2024-01-09,,5,北投春天溫泉酒店,Google
2024-01-09,,5,北投春天溫泉酒店,Google
2024-01-09,,5,北投春天溫泉酒店,Google
2024-01-09,12/29入住一晚加價2600搭配住宿券3600 整體來說設備偏舊…房間隔音沒有很好，可以聽到隔壁說話的聲音. 房間內有溫泉很棒。早餐菜色算多元，餐廳服務人員服務周到,5,北投春天溫泉酒店,Google
2024-01-09,📍露天大眾湯：合作信用卡卡友有折扣價488 園區不大，撇除spa跟一般湯池，覺得最有特色的是石板區，非常的放鬆，而且入內門票有包拖鞋、毛巾、浴帽等物品，浴室也有沐浴乳/洗髮精，不用自己帶太多東西，很讚 不過夜景平台個人覺得還好，沒看到什麼東西都被樹擋住了,5,北投春天溫泉酒店,Google
2024-01-02,大眾湯溫度不足，設備老舊好像也沒在維護 且外國遊客變多，應該要有人數管制 餐點就不說了，火鍋甚至都輸外面百元小火鍋,2,北投春天溫泉酒店,Google
2024-01-02,,1,北投春天溫泉酒店,Google
2024-01-02,用餐越來越差……以後不買泡湯劵了……,2,北投春天溫泉酒店,Google
2024-01-02,,4,北投春天溫泉酒店,Google
2024-01-02,,2,北投春天溫泉酒店,Google
2023-12-26,,2,北投春天溫泉酒店,Google
2023-12-26,溫泉設備有點舊了，水質可以。,5,北投春天溫泉酒店,Google
2023-12-26,,4,北投春天溫泉酒店,Google
2023-12-24,北投老牌高檔溫泉飯店，住宿、餐食、湯泉、服務都有一定的品質。,4,北投春天溫泉酒店,Google
2023-12-24,享受了起來,5,北投春天溫泉酒店,Google
2023-12-24,,3,北投春天溫泉酒店,Google
2023-12-24,,4,北投春天溫泉酒店,Google
2023-12-24,,5,北投春天溫泉酒店,Google
2023-12-24,,2,北投春天溫泉酒店,Google
2023-12-24,,1,北投春天溫泉酒店,Google
2023-12-24,環境很乾淨，櫃檯服務人員也很細心～,5,北投春天溫泉酒店,Google
2023-12-24,,5,北投春天溫泉酒店,Google
