review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,食物與服務都很好。,5,北投水美溫泉會館,Google
2024-01-22,中規中矩，但地理位置方便。我預約的是私人泡湯包廂，不是大眾池。衛生一般般，設施有點老舊。,3,北投水美溫泉會館,Google
2024-01-22,今天來水美泡個裸湯，環境乾淨非常的乾淨，水溫非常合適，身心靈放鬆泡湯的好去處，服務人員服務良好，氣氛不錯,5,北投水美溫泉會館,Google
2024-01-22,優點 1.熱水量大溫泉水一直流不會停有點浪費資源 2.排水做的很不好泡個湯整個淹水到沒地方站腳 3.泡湯窗戶不能開通風也不順暢泡到整個頭暈讓我無法待滿90分就離開了,5,北投水美溫泉會館,Google
2024-01-21,房間很舒適很享受😎,5,北投水美溫泉會館,Google
2024-01-20,,4,北投水美溫泉會館,Google
2024-01-20,一樓用餐包廂寬敞、服務好 手路菜好吃又超值、值得來,4,北投水美溫泉會館,Google
2024-01-19,有小禮物🎁,5,北投水美溫泉會館,Google
2024-01-19,,4,北投水美溫泉會館,Google
2024-01-18,,3,北投水美溫泉會館,Google
2024-01-18,,5,北投水美溫泉會館,Google
2024-01-17,房型跟網路上看到的基本一致很漂亮 我們最喜歡泡湯池和衛浴設備 泡起來很舒服 服務人員都蠻客氣貼心 還有提供免費飲品 吃的部分以這個價格跟用料來說cp蠻高 整體來說很不錯,5,北投水美溫泉會館,Google
2024-01-16,,2,北投水美溫泉會館,Google
2024-01-16,爛透了,1,北投水美溫泉會館,Google
2024-01-16,Really nice service and good manners of their employees! We booked it wrongly and need to cancel on the website but they are still very patient and helpful. I appreciate it. Thank you! I’ll come back if I get any chance! 超好的服務！前台人員有一位大哥非常有禮貌有耐性，即便我們是因為訂錯需要取消，他們還是很盡力幫忙，有機會的話會回來體驗你們的房間！台灣最美的風景是人～感謝推廣台灣最美風景🥰,5,北投水美溫泉會館,Google
2024-01-16,推推,5,北投水美溫泉會館,Google
2024-01-16,湯屋漏水~XD,2,北投水美溫泉會館,Google
2024-01-16,地點離捷運站很近泡湯超方便 購買$1788的套裝行程，餐點很棒而且日式的湯屋很乾淨 員工的素養也很好👍,5,北投水美溫泉會館,Google
2024-01-16,宴會廳餐點好吃,5,北投水美溫泉會館,Google
2024-01-16,湯屋髒到不行 噁 濃濃的煙味 飯店服務人員也很兩光，花了錢完全不敢泡，要來的三思,1,北投水美溫泉會館,Google
2024-01-16,櫃檯人員服務尚需加強。危機處理跟應對方式不行，第一次遇到先排隊的客人比後面不用排隊的客人還晚進去的。重點我們已經從5點等到7點，當時已留電話，也沒打電話告知我們有位置可以先過去，是我們自己過去問櫃檯後才知道已經有空的可以使用,1,北投水美溫泉會館,Google
2024-01-16,,1,北投水美溫泉會館,Google
2024-01-09,日月湯整體感覺很舒適，沒有什麼不好的地方，爽。,5,北投水美溫泉會館,Google
2024-01-09,不錯👍,5,北投水美溫泉會館,Google
