review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,很豪華憂徑,5,北投麗禧溫泉酒店,Google
2024-01-21,,5,北投麗禧溫泉酒店,Google
2024-01-21,,5,北投麗禧溫泉酒店,Google
2024-01-21,湯屋首選半露天湯屋，陽光灑下顯得相當溫暖，室內空間大小適中，酒店服務很好，在水岸茶屋搭配精緻下午茶，可以度過一個氣氛絕佳、放鬆的下午。,5,北投麗禧溫泉酒店,Google
2024-01-19,,5,北投麗禧溫泉酒店,Google
2024-01-18,,5,北投麗禧溫泉酒店,Google
2024-01-16,,4,北投麗禧溫泉酒店,Google
2024-01-16,之前住宿過一次，昨天去體驗下午茶+湯屋，感受都非常好❤️昨天離開湯屋時我的手鏈掉在湯屋大廳了，謝謝湯屋服務人員幫我收起來，因為是算貴重物品處理方式也很嚴謹還簽了切結書，讓人很放心🙏回去拿的時候是一個小帥哥服務非常好🥰,5,北投麗禧溫泉酒店,Google
2024-01-16,,5,北投麗禧溫泉酒店,Google
2024-01-16,安靜舒適明亮的環境,5,北投麗禧溫泉酒店,Google
2024-01-09,,5,北投麗禧溫泉酒店,Google
2024-01-09,,5,北投麗禧溫泉酒店,Google
2024-01-09,"湯屋很值得體驗,接待及服務人員都很客氣,服務品質很棒!",5,北投麗禧溫泉酒店,Google
2024-01-09,,1,北投麗禧溫泉酒店,Google
2024-01-02,,5,北投麗禧溫泉酒店,Google
2024-01-02,,5,北投麗禧溫泉酒店,Google
2024-01-02,,2,北投麗禧溫泉酒店,Google
2024-01-02,,4,北投麗禧溫泉酒店,Google
2024-01-02,空間很大很舒服,5,北投麗禧溫泉酒店,Google
2024-01-02,,5,北投麗禧溫泉酒店,Google
2024-01-02,好棒的溫泉飯店，服務人員親切，房間湯屋也非常舒服,5,北投麗禧溫泉酒店,Google
2024-01-02,非常清幽，很棒的休息環境。,5,北投麗禧溫泉酒店,Google
2023-12-24,,4,北投麗禧溫泉酒店,Google
2023-12-24,,5,北投麗禧溫泉酒店,Google
2023-12-24,雖然很貴，品質服務有比較好。,5,北投麗禧溫泉酒店,Google
2023-12-24,,4,北投麗禧溫泉酒店,Google
2023-12-24,,5,北投麗禧溫泉酒店,Google
