review_date,review_text,review_rate,review_hotel,review_source
2024-01-23,三人房間很大，有蒸氣室，房內可以浸溫泉,5,南豐天玥泉會館,Google
2024-01-22,,4,南豐天玥泉會館,Google
2024-01-22,湯屋溫泉水流大，可以很快放滿。 可憑泡湯單據兌換茶點。,5,南豐天玥泉會館,Google
2024-01-22,位子離捷運站近 包廂空間隔音跟空間都蠻大蠻好的,5,南豐天玥泉會館,Google
2024-01-22,,5,南豐天玥泉會館,Google
2024-01-22,2024.01.20入住，櫃檯告知退房時間為隔天中午12:00，但1/21上午十點多尚未到退房時間，就有房務人員按門鈴並直接打開房門，還好我們有使用門擋的習慣，因此並未成功被打開，雖櫃檯後續有解釋是房務人員開錯房間，以後仍不會再入住,1,南豐天玥泉會館,Google
2024-01-21,喜歡泡大眾裸湯及享用二樓餐廳餐點，大眾湯池乾淨，每人有大的帶鎖櫃及置鞋櫃、拖鞋，大小毛巾、浴帽、棉花棒包，泡湯完咖啡廳休息區有烤麵包、飲料及餅乾甜點吧供休息，可櫃台詢問電子泡湯卷。 二樓用餐區的三杯鳳腿、炒牛肉套餐好吃，有前菜，湯、小菜，甜點，免費飲料暢飲，也有單點的菜色、火鍋、海鮮稀飯等，服務人員佳。,5,南豐天玥泉會館,Google
2024-01-20,泡溫泉的好地方,5,南豐天玥泉會館,Google
2024-01-20,,1,南豐天玥泉會館,Google
2024-01-18,有質感 價位合理的飯店！,5,南豐天玥泉會館,Google
2024-01-16,,1,南豐天玥泉會館,Google
2024-01-16,讚喔！,5,南豐天玥泉會館,Google
2024-01-16,,4,南豐天玥泉會館,Google
2024-01-16,大眾池超級喜歡 沒有什麼人 又可以享受三泉 房間內隱私做得不太好 二樓晚餐超級難吃的,4,南豐天玥泉會館,Google
2024-01-09,,3,南豐天玥泉會館,Google
2024-01-09,不錯的白磺泉，提供停車 很方便，大衆池 提供點心飲料，非常的貼心,5,南豐天玥泉會館,Google
2024-01-09,,5,南豐天玥泉會館,Google
2024-01-09,咖啡厅麵包好吃 (由 Google 提供翻譯) 咖啡廳麵包好吃,4,南豐天玥泉會館,Google
2024-01-09,,3,南豐天玥泉會館,Google
2024-01-09,,3,南豐天玥泉會館,Google
2024-01-09,,5,南豐天玥泉會館,Google
2024-01-09,,1,南豐天玥泉會館,Google
2024-01-02,,3,南豐天玥泉會館,Google
2024-01-02,爽,5,南豐天玥泉會館,Google
2024-01-02,還沒吃完餐廳人員就把盤子收走，吃完隔天拉肚子,1,南豐天玥泉會館,Google
2024-01-02,溫泉會館。舒適。,4,南豐天玥泉會館,Google
2024-01-02,,4,南豐天玥泉會館,Google
2024-01-02,,5,南豐天玥泉會館,Google
2024-01-02,,4,南豐天玥泉會館,Google
2023-12-24,服務人員親切～需要冰塊也馬上提供，環境乾淨舒適，早餐好吃😋很值得再來,5,南豐天玥泉會館,Google
2023-12-24,很近捷運站，非常方便。房內有乾濕桑拿，設施很好，只是溫泉缸小了點點 (由 Google 提供翻譯) 很近捷運站，非常方便。房內有乾濕桑拿，設施很好，只是溫泉缸小了點,4.6,南豐天玥泉會館,Google
2023-12-24,早餐時間，櫃檯電話鈴聲很大聲響個不停！ 希望這樣的價位能有更好的用餐環境... 房間乾淨、舒適 但淋浴間有點小,4,南豐天玥泉會館,Google
2023-12-24,服務態度零分 問到一半掛客人電話是怎麼回事？？？,1,南豐天玥泉會館,Google
2023-12-24,住宿體驗感很好但工作人員服務態度欠佳（早餐時段的櫃檯人員）,3,南豐天玥泉會館,Google
2023-12-24,不入流的食物跟硬體設備,2,南豐天玥泉會館,Google
