review_date,review_text,review_rate,review_hotel,review_source
2024-01-21,,5,台北君悅酒店,Google
2024-01-20,,4,台北君悅酒店,Google
2024-01-19,,5,台北君悅酒店,Google
2024-01-19,,5,台北君悅酒店,Google
2024-01-19,早餐的蛋好好吃，套房很大間，度過了奢侈的一夜☺️,5,台北君悅酒店,Google
2024-01-19,很棒的入住體驗：大廳走動式的服務人員隨時注意客人的需要，主動給予協助，而且語調開朗，溫暖的問候親切熱忱，讓人心情愉悅。房務人員也很仔細盡責，居住空間乾淨舒適。電梯數量夠多，上下樓無需花太多時間等待。唯一美中不足的是，櫃檯服務人員笑容少了點，不知是否太累了😆,5,台北君悅酒店,Google
2024-01-19,,5,台北君悅酒店,Google
2024-01-17,下午茶時段，菜色蠻讚啦。,4,台北君悅酒店,Google
2024-01-16,環境、位置、用餐品質什麼都不錯！ 唯獨停車場感覺很差，明明是五星酒店，停車場卻殘破不勘，比大賣場還不如,2,台北君悅酒店,Google
2024-01-16,地點優，餐飲可增加酒類或調酒選擇。客房整齊溫馨但空間感略小，入口走道偏小，mini bar選擇單調，無法免費使用，感受較不貼心,4,台北君悅酒店,Google
2024-01-15,,5,台北君悅酒店,Google
2024-01-15,,5,台北君悅酒店,Google
2024-01-15,,5,台北君悅酒店,Google
2024-01-15,,5,台北君悅酒店,Google
2024-01-15,讚讚,5,台北君悅酒店,Google
2024-01-15,,5,台北君悅酒店,Google
2024-01-15,櫃檯服務周到，飯店外景色優美，入住房間設施非常完善且非常舒適，鄰近101及各大商圈，交通也都相當方便，未來有機會會在入住體驗,5,台北君悅酒店,Google
2024-01-15,,1,台北君悅酒店,Google
2024-01-15,,5,台北君悅酒店,Google
2024-01-15,在這裡辦畫展，交通方便，展場舒適，可以吸引大批賞畫者前來。,5,台北君悅酒店,Google
2024-01-15,交通很方便，服務人員有禮貌會主動協助客戶。房間雖然有些歷史感了，但清潔度都維護的很好。,5,台北君悅酒店,Google
2024-01-15,位於精華地段的知名連鎖住宿選擇，但早餐時段十分擁擠，需要花費很長的等候時間；此外需留意客房內的鬧鐘，它們偶爾會因上一個房客錯誤的設定或房務人員的疏失而導致意外做動，這將使睡眠中斷,4,台北君悅酒店,Google
2024-01-15,,3,台北君悅酒店,Google
2024-01-15,在君悅不論是住宿還是朋友聚餐都是令人愉快的經驗，同時許多國內外企業會使用這裏的會議場地，專業及大器，無形之中提昇了國際視野,5,台北君悅酒店,Google
2024-01-08,好漂亮,5,台北君悅酒店,Google
2024-01-08,行政套房 很舒服的住宿體驗,5,台北君悅酒店,Google
2024-01-08,很好,5,台北君悅酒店,Google
2024-01-08,五星級飯店，服務人員都很專業，雖然有歲月留下的痕跡，但是瑕不掩瑜，在這裡度過愉快的週末時光。,5,台北君悅酒店,Google
2024-01-08,,5,台北君悅酒店,Google
2024-01-08,,5,台北君悅酒店,Google
2024-01-08,“彩”日本料理，食材高級美味😋,4,台北君悅酒店,Google
2024-01-08,精緻,5,台北君悅酒店,Google
2024-01-08,我覺得 凱菲屋 只有甜點好吃,4,台北君悅酒店,Google
2024-01-08,在101跨年，近距離觀賞美麗的煙火，最好的搭配就是入住君悅飯店。不用與人群去搶捷運的位置，唯一需要的就只要搭乘飯店電梯回房間就可以休息了。整個過程不到5分鐘。,5,台北君悅酒店,Google
2024-01-08,,5,台北君悅酒店,Google
2024-01-08,· 24樓總裁套房~內裝超舊、燈光昏暗、玻璃超髒||16樓101景觀房，灰塵超級多，燈光處厚厚的灰塵，棉絮一直飄||額外要求冰桶要200，一個紅酒杯要50,1,台北君悅酒店,Google
2024-01-08,自助晚餐 還不錯！氣氛不錯 ！該有都有😉,5,台北君悅酒店,Google
2024-01-08,,5,台北君悅酒店,Google
2024-01-08,環境優雅 房間舒適優雅 服務人員服務佳 地點佳,5,台北君悅酒店,Google
2024-01-08,我們Riway 38創始人林金瑩大領袖邀請 參加來23樓跨年聚餐看101煙火🎉太棒了👏💃,5,台北君悅酒店,Google
2024-01-08,#RIWAY38菁英團隊 #跨年煙火 #2024 #新年快樂 #君悅酒店 #心想好事成 #天龍首席,5,台北君悅酒店,Google
2024-01-08,,5,台北君悅酒店,Google
2024-01-01,,1,台北君悅酒店,Google
2024-01-01,"12月31日晚上11點幾分今天跟親人家屬君月的凱菲屋用餐,因為在拍照,想觀看市政府活動是否熱絡.走出離大門三公尺左右,望一下想回頭進去說管制,不讓我進去,我說只聖誕樹就在那拍照,堅持不讓我進入只能打電話,打了兩三通,打不通,有八人左右在大門,連幫忙代替叫人多不行,這叫五星級飯店.後來急了想叫人,在外面離門兩公尺,吹水口哨叫人,好像被罵沒國際禮儀,我是路過的旅遊者,不是高級人物,但內心中非常憤怒,這就是五星級待客之道,要有黃卡或金卡才能進去,消費的平民,跟親人分開就是濺民.對君悅酒店對客之道給零分, 因為沒零分打一星取代.這是平凡人內心的憤怒.",1,台北君悅酒店,Google
2024-01-01,,5,台北君悅酒店,Google
2024-01-01,,5,台北君悅酒店,Google
2024-01-01,服務、餐點、景緻都很優美，無愧它五星等級,5,台北君悅酒店,Google
2024-01-01,,5,台北君悅酒店,Google
2024-01-01,,2,台北君悅酒店,Google
2024-01-01,超棒！雖然是舊五星飯店，但是還是超棒！泳池小了一點！,5,台北君悅酒店,Google
2024-01-01,,1,台北君悅酒店,Google
2024-01-01,適合來聚餐的場所。,5,台北君悅酒店,Google
2024-01-01,凱菲屋的下午茶 普普,3,台北君悅酒店,Google
2024-01-01,裝潢氣派優雅，停車場車格大!,5,台北君悅酒店,Google
2024-01-01,,5,台北君悅酒店,Google
