review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,,5,台北寒舍喜來登大飯店,Google
2024-01-21,,5,台北寒舍喜來登大飯店,Google
2024-01-21,好吃^^,5,台北寒舍喜來登大飯店,Google
2024-01-21,,5,台北寒舍喜來登大飯店,Google
2024-01-21,高級的尾牙宴場所。,5,台北寒舍喜來登大飯店,Google
2024-01-21,整理得很乾淨,5,台北寒舍喜來登大飯店,Google
2024-01-21,五星級美式飯店有一定的服務水準，疫情末期飯店爆滿。2024.1月再訪，西廂行政貴賓廳Happy hour 提供給住行政套房以上免費自助簡餐與酒水，每天都有菜色變化，週末住客多會有分流措施。,5,台北寒舍喜來登大飯店,Google
2024-01-21,蔬食還OK.,5,台北寒舍喜來登大飯店,Google
2024-01-19,極為享受的美食料理及居住品味。,5,台北寒舍喜來登大飯店,Google
2024-01-19,,3,台北寒舍喜來登大飯店,Google
2024-01-18,,5,台北寒舍喜來登大飯店,Google
2024-01-18,東西好吃,5,台北寒舍喜來登大飯店,Google
2024-01-17,不错的酒店🏨，重要是离开台北车站很近，走路就到 (由 Google 提供翻譯) 不錯的飯店🏨，重要是離開台北車站很近，走路就到,4,台北寒舍喜來登大飯店,Google
2024-01-17,菜色都不錯，但不愛它的雞腿排,4,台北寒舍喜來登大飯店,Google
2024-01-16,,1,台北寒舍喜來登大飯店,Google
2024-01-15,"環境優雅,安靜舒適,商,住極佳。",5,台北寒舍喜來登大飯店,Google
2024-01-15,,3,台北寒舍喜來登大飯店,Google
2024-01-15,繁華有氣派,5,台北寒舍喜來登大飯店,Google
2024-01-15,自助餐不錯,4,台北寒舍喜來登大飯店,Google
2024-01-15,就～來上課,5,台北寒舍喜來登大飯店,Google
2024-01-15,辰園包廂舒適 服務到位,5,台北寒舍喜來登大飯店,Google
2024-01-15,位置很棒，住12樓風景不錯，也算安靜，鄰近阜杭，但飯店早餐水準不錯，完全不想吃阜杭,5,台北寒舍喜來登大飯店,Google
2024-01-15,寬敞、豪華、氣派,5,台北寒舍喜來登大飯店,Google
2024-01-15,,5,台北寒舍喜來登大飯店,Google
2024-01-15,昨天參加公司尾牙，酒杯跟水果杯沒洗乾淨，都有口紅印，超噁🤮,2,台北寒舍喜來登大飯店,Google
2024-01-15,,5,台北寒舍喜來登大飯店,Google
2024-01-15,我們來這裡吃午餐..,5,台北寒舍喜來登大飯店,Google
2024-01-15,一流的服務，喜來登本來就是個不錯的品牌，台北喜來登是當中水準更高的飯店。,5,台北寒舍喜來登大飯店,Google
2024-01-15,這次僅來參加婚宴，料理和服務都非常不錯，場地也非常舒適，感覺挺不賴。,5,台北寒舍喜來登大飯店,Google
2024-01-08,,5,台北寒舍喜來登大飯店,Google
2024-01-08,房間乾淨，早餐好吃。房間裡鏡子非常多～,5,台北寒舍喜來登大飯店,Google
2024-01-08,,5,台北寒舍喜來登大飯店,Google
2024-01-08,用餐,5,台北寒舍喜來登大飯店,Google
2024-01-08,住宿早餐與樓下的自助餐不同，第一不會吵雜，住客可能早上有約客恰商，很清靜，餐點較蔬食，感覺真的很好！,4,台北寒舍喜來登大飯店,Google
2024-01-08,,4,台北寒舍喜來登大飯店,Google
2024-01-08,,5,台北寒舍喜來登大飯店,Google
2024-01-08,,5,台北寒舍喜來登大飯店,Google
2024-01-08,,5,台北寒舍喜來登大飯店,Google
2024-01-08,,5,台北寒舍喜來登大飯店,Google
2024-01-08,,5,台北寒舍喜來登大飯店,Google
2024-01-01,門口2個門房，沒有事卻都沒有人要幫忙協助行李，帶著小孩推著行李、感覺冷漠並忽略，冷眼旁觀，看不出5星酒店的等級在那裡，感受很不好。,1,台北寒舍喜來登大飯店,Google
2024-01-01,,2,台北寒舍喜來登大飯店,Google
2024-01-01,,5,台北寒舍喜來登大飯店,Google
2024-01-01,,5,台北寒舍喜來登大飯店,Google
2024-01-01,,5,台北寒舍喜來登大飯店,Google
2024-01-01,舒適，餐點好吃,5,台北寒舍喜來登大飯店,Google
2024-01-01,服務食材皆優秀 適合帶長輩和與友人聚餐,5,台北寒舍喜來登大飯店,Google
2024-01-01,美麗的台北夜景 乾淨整潔的房間 櫃檯服務人員很親切 可口的十二廚 唯一的缺點⋯旅客太多了,5,台北寒舍喜來登大飯店,Google
2024-01-01,樂團演出,5,台北寒舍喜來登大飯店,Google
2024-01-01,,3,台北寒舍喜來登大飯店,Google
2024-01-01,,5,台北寒舍喜來登大飯店,Google
2024-01-01,早餐不錯,4,台北寒舍喜來登大飯店,Google
2024-01-01,去善導寺只需要2-3分鐘路程 還有便利店 很好 (由 Google 提供翻譯) 去善導寺只需要2-3分鐘路程 還有便利商店 很好,5,台北寒舍喜來登大飯店,Google
2023-12-25,交通方便，台北車站或善導寺站走路就能到，這次不是來住宿是來參加尾牙但也順便逛了一下飯店，內部很有質感、裝潢華麗，公共廁所很寬闊很乾淨，飯店餐點味道也很棒。 唯一美中不足的是 B2 的行動網路訊號非常差，飯店提供的 WiFi 在尾牙活動近千人同時連線時也負荷不了，造成活動進行過程不太順利，有人連不上、有人一直斷掉、有人連上卻速度卻非常慢，相當可惜。,5,台北寒舍喜來登大飯店,Google
2023-12-25,地點佳，服務好，房間小了點，冷氣老舊，聲音大，影響睡眠，直接關掉了。,4,台北寒舍喜來登大飯店,Google
2023-12-25,好吃,5,台北寒舍喜來登大飯店,Google
2023-12-25,鄰近熱鬧商區，附近交通便利，景區也蠻多，就飯店的餐飲，有待加強，沒有特別的！,4,台北寒舍喜來登大飯店,Google
2023-12-25,,5,台北寒舍喜來登大飯店,Google
2023-12-25,老牌子大酒店 大堂及大門口氣派足夠 但營業規矩多多 當發生問題時做成不便及損失的多數是房客 因本人是經網站訂房 到辦入住手續時發生小問題要補錢 後經與網站交涉才能追回損失 這種老牌子的酒店經常與網站之間有技術性問題發生 導至酒店前台服務員只能公事公辦 對客人的不滿意極其難做 亦考驗其處理夫功的能力 至於其他工種的員工也很彬彬有禮值得一讚 這是大酒店應有的專業提供和保證 房間裝修較老但整潔及應該具備的尚算一應俱全 值得一提的是酒店的西餐廳 無論氣氛及出品的質素很不錯,3,台北寒舍喜來登大飯店,Google
2023-12-25,地理位置方便，臨近捷運站善導寺，台北車站，各種交通都很便利，早餐不錯，房間整潔，酒店大堂休息等候區很大，回頭住了好幾次了，價格相對實惠，值得去推薦。,4.5,台北寒舍喜來登大飯店,Google
2023-12-25,ㄧ開始分到五樓的房間，打開衣櫃掛外套時，突然ㄧ隻死蟑螂掉在地上，跟飯店反應後，換房間到7樓，但是換到連通房，隔音超級差，隔壁房間聊到晚上快12點，都聽得ㄧ清二楚，根本無法睡覺，體驗實在太差了🙃🙃,2,台北寒舍喜來登大飯店,Google
2023-12-23,,3,台北寒舍喜來登大飯店,Google
2023-12-23,一切都好，只房租太貴了。,3,台北寒舍喜來登大飯店,Google
2023-12-23,老牌子酒店 氣派足夠但規矩多多 發生問題時損失的多數是房客 前枱服務員只能公事公辦面對客人的不滿意也很難做亦考工夫 其他工種員工也很有禮 房間裝修一般但應有的設備也齊全 酒店賣點主要是近台北車站 交通方便,3,台北寒舍喜來登大飯店,Google
2023-12-23,健身房設備好， 三溫暖 好好玩 ，服務好 地點也棒 房間 沒有老舊 很大👍,5,台北寒舍喜來登大飯店,Google
2023-12-23,各方面都好，差在樓上住客腳步超大聲，還會震，是在地震逆，整晚的，沒辦法好好睡！,4,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,隔音不錯,5,台北寒舍喜來登大飯店,Google
2023-12-23,,2,台北寒舍喜來登大飯店,Google
2023-12-23,客服電話態度極差,1,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,服務很好,5,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,房間地點好，就在善導寺捷運車站傍邊，交通方便，雖然在大碼路邊，我房間對正碼路，但一點不吵，值得讚是有提供免費熱咖啡及紙杯，價錢是稍為高了點，請要自行決定了。,4,台北寒舍喜來登大飯店,Google
2023-12-23,床超大超舒服 早餐也很讚,5,台北寒舍喜來登大飯店,Google
2023-12-23,,4,台北寒舍喜來登大飯店,Google
2023-12-23,到十二廚用餐，餐點好吃，很有特色,5,台北寒舍喜來登大飯店,Google
2023-12-23,床很大很舒服,4,台北寒舍喜來登大飯店,Google
2023-12-23,,2,台北寒舍喜來登大飯店,Google
2023-12-23,房間太老舊，隔音差，冷氣不冷聲音大，床有點味道，設備一直故障，住宿體驗極差！,3,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,,1,台北寒舍喜來登大飯店,Google
2023-12-23,"10.08.2023-喜來登十二廚10月泰國美食節~有人氣第一的松葉蟹吃到飽, 各式泰式道地美食尤其是拉差達火山排骨非常特別~另還有藏在冷菜區的小龍蝦也是一般在地吃不太到~太多無法一一列舉, 要多注意每月不同各國美食節~",5,台北寒舍喜來登大飯店,Google
2023-12-23,雖然是老飯店，環境維持的還不錯，很多活動也會辦在這裡，剛好最近有機會再來參加廠商的活動,4,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,"洗手台的熱水龍頭水流小，涓滴如流，本以為是為了節省水資源，最後一晚晚上12點多洗完澡，淋浴間的熱水龍頭竟然漏水，關了一個多小時仍然漏水，浴室變得濕滑，走路都要很小心,因為已經深夜，只好隔天早上跟櫃枱人員講，五星級的價格，卻沒有五星級的品質。",2,台北寒舍喜來登大飯店,Google
2023-12-23,來這邊用餐，感覺上非常舒適。尤其是在下午茶吃到飽方案。非常適合年輕人和情侶在台北市約會。,5,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,參加喜宴 場地很棒 菜餚很優,5,台北寒舍喜來登大飯店,Google
2023-12-23,房間不潔 美國運通會員自己注意這飯店的服務非常糟糕，客訴也只會得到對不起這種非常隨意的道歉,1,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,地點好方便。,5,台北寒舍喜來登大飯店,Google
2023-12-23,,4,台北寒舍喜來登大飯店,Google
2023-12-23,參加喜宴，場地不錯，餐也不錯吃，但喜宴時很明顯看出服務人員訓練不足，對於餐序、餐具收拾與擺放都不到位,5,台北寒舍喜來登大飯店,Google
2023-12-23,它就在車站前面。台北車站也位於飯店隔壁，方便您遊覽這座城市。,5,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,集團旺年會的外燴餐廳，一直以為是找某某台菜主廚，今年特地看了一下菜單，居然是喜來登，整體來說，菜色中規中矩，不過不愧是大飯店，用料大器，那個像佛跳牆的啥元貝螺頭盈香一品盅，裡頭材料都大塊大塊，不會撈半天沒啥料，菜色感覺有創新，例如那個瓜仁烏魚子米糕，個人覺得比櫻花蝦或紅蟳米糕好多了。對了，開胃菜的陳醋花生超好吃。,4,台北寒舍喜來登大飯店,Google
2023-12-23,推薦牛肉是先切下來再煎的 比較合我的口味 有涼拌青木瓜 和一些異國料理 實際上種類不多 海鮮也不太多,3,台北寒舍喜來登大飯店,Google
2023-12-23,,4,台北寒舍喜來登大飯店,Google
2023-12-23,以往跟家人常常來 覺得食物CP值值得推薦 但近日一次去食物種類變少價格變高 設立名目訂一個 韓國美食節 讓食物變得冷食多於熱食 已經不是我們所喜歡的食物類型,2,台北寒舍喜來登大飯店,Google
2023-12-23,吃桌菜時服務人員不斷上前詢問飲料要不要幫你倒杯子要不要幫你收煩都煩死了，客人正在聊天還要中途被你們打斷，途中有一位服務人員問過就好了有必要每個不同的服務人員走過來就問一次嗎？吃到一半每個來上菜及收菜的人員臉都跟好像我們這攤欠他幾百萬一樣臭，稍微想一下服務會要你命嗎！吃的感覺有夠差,2,台北寒舍喜來登大飯店,Google
2023-12-23,,4,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,,3,台北寒舍喜來登大飯店,Google
2023-12-23,大飯店,3,台北寒舍喜來登大飯店,Google
2023-12-23,這是我第一次住在這裡，我沒有任何抱怨🎵,5,台北寒舍喜來登大飯店,Google
2023-12-23,優雅，方便。,5,台北寒舍喜來登大飯店,Google
2023-12-23,好吃，服務好，環境氣氛佳，不會吵雜,4,台北寒舍喜來登大飯店,Google
2023-12-23,停車場在飯店正後方，過飯店就要右轉排隊。早點到是對的。,3,台北寒舍喜來登大飯店,Google
2023-12-23,,1,台北寒舍喜來登大飯店,Google
2023-12-23,,3,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,地點好，交通方便。,5,台北寒舍喜來登大飯店,Google
2023-12-23,停車非常不方便…,3,台北寒舍喜來登大飯店,Google
2023-12-23,好的,4,台北寒舍喜來登大飯店,Google
2023-12-23,還不錯，就是乾乾淨淨的！毛巾厚厚的我喜歡！,5,台北寒舍喜來登大飯店,Google
2023-12-23,,5,台北寒舍喜來登大飯店,Google
2023-12-23,十二廚餐點種類繁多，但普遍偏鹹，甜點，日式生魚片好吃，服務親切，交通方便，有機會還會再去品嚐,5,台北寒舍喜來登大飯店,Google
2023-11-23,辰園食物美味與份量一如既往的非常好，黃金烤鵝全鵝料理絕對是台灣第一，愛笑小白經理服務熱忱，了解客戶菜色菜量總能給上最好的建議，避免浪費或菜色重覆，飲食環境也非常好，喜歡粵菜料理，千萬别錯過,5,台北寒舍喜來登大飯店,Google
2023-11-23,地理位置一流！捷運出口步行兩公鐘直達！,5,台北寒舍喜來登大飯店,Google
2023-11-23,,4,台北寒舍喜來登大飯店,Google
