review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,吹風機還是非常古早低階的型號，非常對不起這個價錢⋯,3,台北寒舍艾美酒店,Google
2024-01-22,,5,台北寒舍艾美酒店,Google
2024-01-22,,3,台北寒舍艾美酒店,Google
2024-01-20,餐點尚可，上餐時間可再加快,4,台北寒舍艾美酒店,Google
2024-01-17,入住5樓𠕇陽台房間，內部不夠乾淨！,4,台北寒舍艾美酒店,Google
2024-01-17,酷酷的地方,5,台北寒舍艾美酒店,Google
2024-01-16,市區中心，AI房間超新奇 周邊很多可以逛的百貨跟餐廳 早餐只能說有東西吃。,3,台北寒舍艾美酒店,Google
2024-01-16,很好的酒店，女兒回來都住這裡。,5,台北寒舍艾美酒店,Google
2024-01-16,不好吃，CP值不高,1,台北寒舍艾美酒店,Google
2024-01-16,超讚！,5,台北寒舍艾美酒店,Google
2024-01-09,台北寒舍艾美酒店Le Méridien Taipei坐落於熱鬧的信義商圈，緊鄰各大百貨公司、捷運站、公車站、轉運站等，四通八達的交通十分便利。 客房擁有明亮的大片玻璃窗，能欣賞臺北101景觀，空間寬敞，並配備膠囊咖啡機、mini bar、書桌、皮椅、沙發椅，衛浴採乾濕分離，備品的品項都很齊全，房客可以免費使用三溫暖、游泳池、健身房、停車場等設施，但也許是開業已久的飯店，整個房間散發著一股淡淡的陳舊感。,4,台北寒舍艾美酒店,Google
2024-01-09,來吃探索廚房，格式海鮮都有。 就是沒看到生蠔,5,台北寒舍艾美酒店,Google
2024-01-09,很棒 廁所很乾淨 交通方便 一樓等待區椅子很有造型設計。,4,台北寒舍艾美酒店,Google
2024-01-02,,1,台北寒舍艾美酒店,Google
2024-01-02,太過隨性的舞台，一塊布解決 重點是兩側玻璃極髒，用到不會擦的清潔工與不會檢查的主管,2,台北寒舍艾美酒店,Google
2024-01-02,整體服務非常好 地點就在新光百貨旁 位置非常不錯 房間乾淨舒適,5,台北寒舍艾美酒店,Google
2023-12-24,餐廳用餐,3,台北寒舍艾美酒店,Google
2023-12-24,地點優，服務態度不錯,5,台北寒舍艾美酒店,Google
2023-12-24,,4,台北寒舍艾美酒店,Google
2023-12-24,體驗，部分餐點很好,5,台北寒舍艾美酒店,Google
2023-12-24,12/16 訂房，在訂房櫃檯等辦理入住，櫃檯只有2個人，從3點55等辦理入住，等1個小時，非常不推,1,台北寒舍艾美酒店,Google
2023-12-24,"那天是來這裡參加婚宴的,下了車大廳看起來不是很豪華但有品味,服務人員也立即過來招呼並告知應去的樓層及因只到三樓也建議搭扶梯較方便也快,上到三樓也是有人員在幫助確認方向不浪費時間,中式的婚宴摻入了西式的元素,讓早到的賓客能在場外喝些飲料及點心聊聊天,菜單安排有特色,甜點蠻不錯的而水果最後才來感覺冰太久此拿出來沒什麼味道有些可惜了。另外因場地關係並沒有排班的計程車,須有人員忙碌的擧發光指輝棒讓路過的計程車能看到並有意載客才會拐進來,所以蠻花時間的,希望能有所改善方式",4,台北寒舍艾美酒店,Google
2023-12-24,Buffet有點退步了..,4,台北寒舍艾美酒店,Google
2023-12-24,很棒的一個地方,5,台北寒舍艾美酒店,Google
2023-12-24,讚！,5,台北寒舍艾美酒店,Google
2023-12-24,早餐選擇不算多但食物都在水準之上 還有屏東飯湯蠻特別的 可頌超級好吃！,5,台北寒舍艾美酒店,Google
2023-12-24,,1,台北寒舍艾美酒店,Google
2023-12-24,乾淨,5,台北寒舍艾美酒店,Google
2023-12-24,有點灰塵，服務人員態度也不是很好，飯店門口接待人員謾罵司機。價格與服務品質不匹配。,2,台北寒舍艾美酒店,Google
2023-12-24,很棒的用餐環境,5,台北寒舍艾美酒店,Google
2023-12-24,來參加說明會，艾美酒店準備的下午茶很豐盛,4,台北寒舍艾美酒店,Google
2023-12-24,來聽演講，但一樓沒有引導看板,4,台北寒舍艾美酒店,Google
2023-12-24,晚餐客人不會擁擠，東西都可以很快拿到，蟹腳好吃,5,台北寒舍艾美酒店,Google
2023-12-24,地點佳，員工素質好,5,台北寒舍艾美酒店,Google
2023-11-24,這家飯店的旅展住宿卷即使在期限內也只是參考面額，會按照原價位折扣面額再加價，奉勸網友不須預先購入此飯店住宿卷，此外這家飯店櫃台人員非常強勢，不尊重客戶的感受，也請其他入住者不要有受傷的感受，不要有花錢買罪受的感覺！,1,台北寒舍艾美酒店,Google
2023-11-24,,4,台北寒舍艾美酒店,Google
2023-11-24,方便但很安靜,5,台北寒舍艾美酒店,Google
2023-11-24,服務非常好！環境整潔尤其是床旁邊的AI系統特別方便😂😂還可以連手機當喇叭放音樂對愛聽音樂的人來說很友善,5,台北寒舍艾美酒店,Google
2023-11-24,不會再去,4,台北寒舍艾美酒店,Google
2023-11-24,喜宴超級難吃耶 沒吃過這麼厲害的 好幾道菜整桌沒人動就直接收走 賣相很差 味道也不好 服務也是不怎麼樣 雖然之前自助bar就覺得蠻普通的了 但沒想到一山還有一山高,1,台北寒舍艾美酒店,Google
2023-11-24,,5,台北寒舍艾美酒店,Google
2023-11-24,各方面都設想的很週到，是一處旅行中很適合的住宿地方,4,台北寒舍艾美酒店,Google
2023-11-24,這家飯店一樓自助餐廳的食物美味多樣，而且服務態度非常親切、周到，讓用餐體驗格外愉快。值得一試！,5,台北寒舍艾美酒店,Google
2023-11-24,古色古香應該是最好的形容了,4,台北寒舍艾美酒店,Google
2023-11-24,房間的一大床很大且不會互相干擾很好睡，隔音是還可以但是隔壁的連通房不時都有聲音飄出來，對於聲音比較敏感的我感到困擾。 早餐品項很多且都精緻，麵包很好吃，開眼飲料中的豆漿很特別好喝。,4,台北寒舍艾美酒店,Google
2023-11-24,,3,台北寒舍艾美酒店,Google
2023-11-24,義式餐廳環境舒適，半自助餐好吃,5,台北寒舍艾美酒店,Google
2023-11-24,好吃的料理,5,台北寒舍艾美酒店,Google
2023-11-24,第二次來寒舍艾美舉辦活動，餐點還蠻好吃的，會議廳空間也夠大，很適合到這邊舉辦多人活動,5,台北寒舍艾美酒店,Google
2023-11-24,,3,台北寒舍艾美酒店,Google
2023-11-24,好吃,5,台北寒舍艾美酒店,Google
2023-11-24,有地下停車場停車很方便，入住套房的房型，房間及客廳整理得還蠻乾淨，房間有mini bar非常的豐富，房間視野非常棒，可以看到整個信義新光及少數的101大樓景觀，早餐位於1樓的探索廚房，非常精緻可口,5,台北寒舍艾美酒店,Google
2023-11-24,下午茶自助餐，讚！ 服務人員主動關懷身障者，很溫暖。,5,台北寒舍艾美酒店,Google
