review_date,review_text,review_rate,review_hotel,review_source
2024-01-21,,5,台北晶華酒店,Google
2024-01-21,菜色棒，服務親切，用餐環境優,5,台北晶華酒店,Google
2024-01-21,五星棒棒 (由 Google 提供翻譯) 五星級棒,5,台北晶華酒店,Google
2024-01-21,幸運地來到19樓enjoy happy hours 服務人員許舒玲親切有禮值得嘉許 很棒，值得我下次再來入住,5,台北晶華酒店,Google
2024-01-20,電梯超級慢超級小，搭一趟都可以吃一頓飯了，完全沒有五星級飯店的感覺,1,台北晶華酒店,Google
2024-01-20,,5,台北晶華酒店,Google
2024-01-20,,2,台北晶華酒店,Google
2024-01-20,餐廳吃食不錯,4,台北晶華酒店,Google
2024-01-19,,4,台北晶華酒店,Google
2024-01-19,早餐請服務員上咖啡她拿起快要空的咖啡壺就倒，問她說給我們壺底啊？這個五星級的飯店，員工訓練不太到位吧！,4,台北晶華酒店,Google
2024-01-19,2023 又有機會來住，床跟枕頭一樣不適合我，但服務跟早餐沒話說！,4,台北晶華酒店,Google
2024-01-19,,5,台北晶華酒店,Google
2024-01-19,晚餐又有現場演奏給家庭生日餐劃下最滿意的一晚,4,台北晶華酒店,Google
2024-01-18,一如既往的喜歡💕 但床真的是輸威斯汀,5,台北晶華酒店,Google
2024-01-18,這次住的房型空間很大能看到101，小朋友整個很興奮，在童話森林遊戲室也玩的很開心，謝謝尾村小姊姊的帶領，房內加大的床睡起來很舒服，整個浴室由大理石打造很有質感，浴缸大又深，不會有壓迫感，服務人員態度親切，站在顧客的立場貼心服務，尤其是Nita & Jason，讓人備感尊榮。 馬上來安排下一次的住宿!!,5,台北晶華酒店,Google
2024-01-18,名人套房視野,5,台北晶華酒店,Google
2024-01-18,整體用餐環境、菜色、服務都很好。,5,台北晶華酒店,Google
2024-01-17,非常推薦的地方，附近配套設施都很完善,5,台北晶華酒店,Google
2024-01-17,,1,台北晶華酒店,Google
2024-01-16,"雖然多了些外藉服務員,但服務依然親切",5,台北晶華酒店,Google
2024-01-15,不錯,5,台北晶華酒店,Google
2024-01-15,,5,台北晶華酒店,Google
2024-01-15,真的很值得來這裡吃飯住宿 下次還會再來,5,台北晶華酒店,Google
2024-01-15,,3,台北晶華酒店,Google
2024-01-15,,5,台北晶華酒店,Google
2024-01-15,B3晶英會廳，前年參加婚禮，音響設備不ok，只有前面聽的清楚，後面完全聽不到聲音，今年也辦活動剛好再同一間，音響也是同樣的問題，在前面很大聲，後面完全聽不到，後面一直反應聽不到，音控也說最大聲了，看來過了2年設備一樣沒有更好，有待加強！不建議婚禮或會議辦在這裡，麥克風的聲音不ok，音響設備不ok！少了震撼的音效，整體感差很多！,1,台北晶華酒店,Google
2024-01-15,,4,台北晶華酒店,Google
2024-01-15,第二去，招呼及出品非常好吃,5,台北晶華酒店,Google
2024-01-15,以這價位來說，覺得食材很普通。,2,台北晶華酒店,Google
2024-01-15,不管是什麼都很好，餐廳料理多樣又美味，地下停車場很大有很多車位，值得參訪。,5,台北晶華酒店,Google
2024-01-15,人多了點，下午茶14：30進場，有人14：00就開始排隊，原則上不需排隊，因為不會因人多就吃不到，菜色不足會隨時補足，海鮮及生魚片都非常新鮮,5,台北晶華酒店,Google
2024-01-15,來宴會廳參加尾牙 整個飯店氛圍舒服 氣氛好🥰,5,台北晶華酒店,Google
2024-01-15,地點很好，餐飲很好，只是房間設施已經顯老舊,4,台北晶華酒店,Google
2024-01-08,有錢的時候 一定要來這裏揮霍一番,5,台北晶華酒店,Google
2024-01-08,這次幫孩子辦18歲生日住宿兩晚，真的有家的感覺也讓我們住的非常舒適舒服。 大廳到一樓電梯不能直達要走樓梯或是換另外一個電梯比較不方便外，其他都很好很棒。,5,台北晶華酒店,Google
2024-01-08,,5,台北晶華酒店,Google
2024-01-08,位置很好,5,台北晶華酒店,Google
2024-01-08,住宿買精品的好地方🤩 地點很好，去哪都方便,5,台北晶華酒店,Google
2024-01-08,很豪華,5,台北晶華酒店,Google
2024-01-08,,1,台北晶華酒店,Google
2024-01-08,,4,台北晶華酒店,Google
2024-01-08,超浪漫,5,台北晶華酒店,Google
2024-01-08,,5,台北晶華酒店,Google
2024-01-08,再給我一次機會，我不會聽晶華的員工推薦進入Curious Bar這家店😡😡 隔壁酒客很吵，一直大罵三字經，也不見店家、店員制止，原本想找個舒服的Bar跟朋友小酌，以為來到熱炒店，服務跟氛圍配不上該店消費. 老闆應該對員工酒客醉客管理訓練。晶華也應該慎選入駐餐廳。,1,台北晶華酒店,Google
2024-01-08,無論是餐飲，住宿，SPA都是一等一👍,5,台北晶華酒店,Google
2024-01-08,我最囍愛Regent，一流的酒店，一流的服務 :) 我還囍愛每天晚上18：30～21：00星期／二～日，中庭餐廳飄揚的鋼琴演奏以及現場演唱非常悅耳的西洋老歌，以及穿插一首生日快樂歌：Happy Birthday to you .. 祝你生日快樂 .. 還有聖誕節火紅雄偉巨大的聖誕樹，你每年都可以坐在聖誕樹前為你準備好的椅子上照相留念。 日常或特別的日子：聖誕、生日、年夜飯 .. 都可以有你，享受美麗幸福的人生！,5,台北晶華酒店,Google
2024-01-08,吃喜宴，餐點好吃，服務很好,5,台北晶華酒店,Google
2024-01-08,,5,台北晶華酒店,Google
2024-01-08,門口在囂張幾點看不到,1,台北晶華酒店,Google
