review_date,review_text,review_rate,review_hotel,review_source
2024-01-21,宴會廳空間氣派，但餐點不優，兒童椅竟然只是一般簡餐店配的IKEA塑膠餐椅，兒童餐具也是IKEA最便宜的的塑膠餐具。 而且餐椅不是很乾淨，上面有食物殘渣跟油漬，實在與飯店價位完全不搭，還是他們就是要兒童不友善？！ 對！就是對嬰幼兒不友善！ 廁所連尿布台都沒有！,3,台北美福大飯店,Google
2024-01-21,我祗知道~~好飯店~~內面~~完全不知！！希望我有機會~~帶阿哪達~~一起共浴！！確實壯觀！！,5,台北美福大飯店,Google
2024-01-20,餐點好吃 上菜有點慢,5,台北美福大飯店,Google
2024-01-19,用餐，推一樓粵式餐廳及4樓義式餐廳,5,台北美福大飯店,Google
2024-01-19,"用餐免費停車, 用餐區典雅不會太喧嘩, 座位間隔也適中, 取餐區規劃得不錯, 菜色也很多樣, 新鮮美味, 品質高級, 服務人員也不錯, 算是一個聚餐的好選擇",5,台北美福大飯店,Google
2024-01-19,,5,台北美福大飯店,Google
2024-01-17,房間很大乾淨漂亮，停車場位置也很大。 遇到的服務人員也都很親切 親子遊戲室小朋友玩到流連忘返,5,台北美福大飯店,Google
2024-01-17,,4,台北美福大飯店,Google
2024-01-16,Buffet超級澎派、美味，海鮮種類好多，牛肉好好吃，下次再來！,5,台北美福大飯店,Google
2024-01-15,只能說假日四人房花了10500確實不值得.櫃檯小姐的態度冰冷無熱誠.住宿環境不似其他飯店寬敞.室內拖鞋看起來髒好似回收再給下個住客使用.早餐選擇不多又菜色不好吃.只是服務超好.整體感覺不優,1,台北美福大飯店,Google
2024-01-15,有特色，交通可，近美丽華影城 (由 Google 提供翻譯) 有特色，交通可，近美麗華影城,4,台北美福大飯店,Google
2024-01-15,享有全台最low 吃到飽餐廳！,1,台北美福大飯店,Google
2024-01-15,彩匯的甜點是強項 樣式多份量小,5,台北美福大飯店,Google
2024-01-15,,5,台北美福大飯店,Google
2024-01-15,環境特優！舒適度高！,5,台北美福大飯店,Google
2024-01-15,服務很好裡面很乾淨 很有高級的感覺,5,台北美福大飯店,Google
2024-01-08,,4,台北美福大飯店,Google
2024-01-08,房間很大乾淨漂亮，停車場位置也很大。 遇到的服務人員也都很親切的主動打招呼， 期待下次入住😊,5,台北美福大飯店,Google
2024-01-08,,5,台北美福大飯店,Google
2024-01-08,晚上吃一樓自助餐，需要預約訂位，人很多，餐點種類不多，主食沒想像中好吃，點心種類較豐富也還可以，價位與餐點感覺搭不上，不會想再吃一次。與附近的萬豪自助餐相比我比較喜歡萬豪,4,台北美福大飯店,Google
2024-01-08,參加婚宴，場地寬敞舒適明亮，服務親切 菜色豐富～,4,台北美福大飯店,Google
2024-01-08,交通便利 鄰近美麗華,5,台北美福大飯店,Google
2024-01-01,,3,台北美福大飯店,Google
2024-01-01,,5,台北美福大飯店,Google
2024-01-01,好好好好。,5,台北美福大飯店,Google
2024-01-01,餐點很精緻種類不複雜，不會有選擇的障礙。 肉品的確是強項，牛排師傅很大氣的一片厚厚的牛排給你比去牛排館還過癮!羊排、豬肉都很棒，整體表現很大氣、很棒，下次還要去！,5,台北美福大飯店,Google
2024-01-01,,3,台北美福大飯店,Google
2024-01-01,,2,台北美福大飯店,Google
2024-01-01,來吃喜酒,5,台北美福大飯店,Google
2023-12-25,停車場入口設計有點怪,4,台北美福大飯店,Google
2023-12-25,雖然位置不會算是方便，但房間大，地庫就是停車場，服務亦算不賴，我們大堂check in時遺下手信，職員及後發現都幫忙收下來，我們晚上收拾行李時發現以為掉了，到第2日check out時問問職員有無留意才知道他們不知誰遺下所以放置一處待認領，要再多謝他們。飯店雖好，惟整體價錢不算便宜。,4,台北美福大飯店,Google
2023-12-25,,4,台北美福大飯店,Google
2023-12-25,今天12/22入住後我覺得這間的整體比另一個豪X優，不管房間、餐廳、人員，真心覺得完勝。,5,台北美福大飯店,Google
2023-12-25,週五下午的下午茶（原價），推薦牛肉類餐點：熟成牛肉麵、爐烤牛排、鐵板牛柳。其他如港式飲茶、熱潮、印度與東南亞料理以及甜點也不錯。 不推：湯品（花生豬腳、巧達海鮮）、冰淇淋（不知什麼牌子）、咖啡。,4,台北美福大飯店,Google
2023-12-25,Not bad 遠離喧鬧的市區 可以享受慢活,5,台北美福大飯店,Google
2023-12-23,,5,台北美福大飯店,Google
2023-12-23,餐點好、服務周到，整體大氣有品味,5,台北美福大飯店,Google
2023-12-23,職員の方も親切で、空港から近かったので立地もよかったです。何よりもとても外観もよくとてもきれいでした。夜がとてもよかったです。また、宿泊したいです。,5,台北美福大飯店,Google
2023-12-23,,5,台北美福大飯店,Google
2023-12-23,,5,台北美福大飯店,Google
2023-12-23,床很好睡，服務也很好，升等的房間體驗都非常好,5,台北美福大飯店,Google
2023-12-23,,1,台北美福大飯店,Google
2023-12-23,"第二次來到了大直,這次住不同的五星美福大飯店,外觀氣派豪華,房間設施都有水準以上,隔間效果很好,館內4F有三溫暖、游泳池等設施,可去三溫暖舒壓泡湯(目前很少有三溫暖了)非常棒,要去試試！",5,台北美福大飯店,Google
2023-12-23,房間明亮而新穎，服務人員也很親切，地下停車場更是美觀具有特色，可惜早餐選擇性有點少,4,台北美福大飯店,Google
2023-12-23,,5,台北美福大飯店,Google
2023-12-23,,3,台北美福大飯店,Google
2023-12-23,度假休閒的好地方,5,台北美福大飯店,Google
2023-12-23,今日中午於彩匯用餐，因媽媽的鞋子到這裡走路時才發現氧化壞掉了，怕媽媽走路會不穩，所以詢問了餐廳櫃檯是否可協助拿飯店拖鞋給媽媽更換，陳奕豪先生還特地從餐廳至客房部幫忙拿取拖鞋給媽媽更換並叮嚀拖鞋易滑要注意安全，很謝謝餐廳及陳先生的協助😊,5,台北美福大飯店,Google
2023-12-23,格局磅礡大氣,5,台北美福大飯店,Google
2023-12-23,Buffet品質佳,5,台北美福大飯店,Google
2023-12-23,下午茶時段用餐 餐飲很棒,5,台北美福大飯店,Google
2023-12-23,,5,台北美福大飯店,Google
2023-12-23,非常好的體驗,5,台北美福大飯店,Google
2023-12-23,菜色不錯，宴客體面，停車方便。,5,台北美福大飯店,Google
2023-12-23,,1,台北美福大飯店,Google
2023-12-23,會想再去住,5,台北美福大飯店,Google
2023-12-23,還不錯！吃得好飽～會議室還蠻不錯，應有盡有，服務人員也會幫忙set，很讚👍附近算好停機車，不錯！,5,台北美福大飯店,Google
2023-12-23,,5,台北美福大飯店,Google
2023-12-23,,5,台北美福大飯店,Google
2023-12-23,晴山午間套餐，份量中等炒飯略微偏鹹，建議點海鮮套餐,4,台北美福大飯店,Google
2023-12-23,,2,台北美福大飯店,Google
2023-12-23,,5,台北美福大飯店,Google
2023-11-23,這邊婚宴工作人員會趁機在工作期間搭訕女賓客要聯絡資訊，還一次亂槍打鳥好幾個。完全沒有職業操守⋯⋯請多加訓練== 是請來工作的還是來把妹的,1,台北美福大飯店,Google
2023-11-23,不錯的飯店！,4,台北美福大飯店,Google
2023-11-23,無,5,台北美福大飯店,Google
2023-11-23,下午茶的牛肉麵好好吃、牛排也很嫩，不愧是美福團隊！,5,台北美福大飯店,Google
2023-11-23,千層麵等了50分鐘…餓了,4,台北美福大飯店,Google
2023-11-23,"就在台北內湖區. 從南港展覽館出租車過來25分鐘. 很方便. 早餐很充足. 房間空間很大, 乾淨整潔.有機會, 還會再來這裡住宿.",5,台北美福大飯店,Google
2023-11-23,這次六日帶家人住，服務、住房設施跟餐點好到沒話說，下次仍會想再來住：）,5,台北美福大飯店,Google
2023-11-23,鄰近美麗華 整體消費氛圍感不錯。很舒適。 台北美福大飯店（英語：Grand Mayfull Hotel Taipei）為位在臺灣臺北市中山區樂群二路55號的飯店，於2016年1月9日開始對外營業，為臺灣自創品牌的五星級國際飯店，分別於2016及2017年獲得世界奢華酒店及世界旅遊酒店組織的獎項肯定。,5,台北美福大飯店,Google
2023-11-23,跟家人一起參加宴會 交通便利 場地也很大 CP值高,5,台北美福大飯店,Google
2023-11-23,,5,台北美福大飯店,Google
2023-11-23,,5,台北美福大飯店,Google
2023-11-23,牛肉，鮪魚 讚,5,台北美福大飯店,Google
2023-11-23,讚,5,台北美福大飯店,Google
2023-11-23,環境優美 服務員親切有效率,5,台北美福大飯店,Google
2023-11-23,非常棒的服務,4.6,台北美福大飯店,Google
2023-11-23,甜點很強（但也非常甜😂），其他菜色則普通，不會想特別回訪。,5,台北美福大飯店,Google
2023-11-23,彩繪餐廳用餐感覺還好，甜點很甜，沒什麼特別味道，就那幾款，沒甚麼改變，吃起來都一樣，就是甜，晚餐8點30甜點吧基本沒東西，吃完鹹的，甜點都空了 年紀大的那位一直聊天,1,台北美福大飯店,Google
2023-11-23,自助式午餐,4,台北美福大飯店,Google
2023-11-23,"Very impressive hotel. Staff are courteous, hotel maintained to a very good standard.",4.6,台北美福大飯店,Google
2023-11-23,精巧方便,4,台北美福大飯店,Google
2023-11-23,房型空間非常充足，且房內乾淨，設施設備齊全,5,台北美福大飯店,Google
2023-11-23,,5,台北美福大飯店,Google
2023-11-23,優雅。,4,台北美福大飯店,Google
2023-11-23,,5,台北美福大飯店,Google
2023-11-23,非常愉快的住宿經驗,5,台北美福大飯店,Google
2023-11-23,,5,台北美福大飯店,Google
2023-11-23,中規中矩的五星飯店,4,台北美福大飯店,Google
2023-11-23,彩繪餐廳超級吵，花了1500結果感覺在菜市場吃飯，甜點死甜，菜也不怎麼樣，重點是環境吵的我焦慮症發作，非常差勁的體驗,1,台北美福大飯店,Google
2023-11-23,房間很好，設施：一級好衞生：很好,5,台北美福大飯店,Google
2023-11-23,明亮 乾淨 服務好 整體感覺都很好,5,台北美福大飯店,Google
2023-11-23,,5,台北美福大飯店,Google
2023-10-24,牛肉真的不錯吃 服務生臉臭的可以，請她拿個杯子拿半天還要再次提醒。,5,台北美福大飯店,Google
2023-10-24,服務&設備&餐飲品質跟其價格有對等 很用心維持的飯店,5,台北美福大飯店,Google
2023-10-24,全家人下午茶吃到飽，居然6歲的小孫女，要收成人的餐費，心情很不舒服,3,台北美福大飯店,Google
2023-10-24,,5,台北美福大飯店,Google
2023-10-24,寬敞舒適,4,台北美福大飯店,Google
2023-10-24,,1,台北美福大飯店,Google
2023-10-24,,5,台北美福大飯店,Google
2023-10-24,高級的飯店，服務和環境都很高級喔,5,台北美福大飯店,Google
2023-10-24,最愛的飯店之一,5,台北美福大飯店,Google
