review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,這邊不單單只有一般住宿也結合密室逃脫的遊戲還有大型魔術秀的住宿方案，讓你整夜不無聊。白天還有導覽，介紹圓山跟密道。值得來看看。 這邊不主動提供盥洗用具。洗澡水水量很大，沖洗起來很舒服。沐浴乳跟洗髮乳洗起來也很清爽，床是屬於硬式的。但睡起來算舒服。房內都有提供每人兩瓶的礦泉水，如要增加，一瓶20塊。電視頻道選擇少，也沒有電影台，如想要看，一部影片380元。 整體都不錯。,4,圓山大飯店,Google
2024-01-22,所有體驗都滿分,5,圓山大飯店,Google
2024-01-22,寫信反應都沒有回應,1,圓山大飯店,Google
2024-01-22,一開始就直接道歉.不好意思....不好意思.....換來的卻是威脅要報警. 原來圓山飯店面對客戶不小心太吵的處理流程就是報警!223房留......,1,圓山大飯店,Google
2024-01-22,第一次勸導請我們輕聲，不爭執、不強辯的一直道歉，換來的是，你們要報警處理？？？服務態度非常惡劣,1,圓山大飯店,Google
2024-01-22,223房的房客，房務人員居然用報警來威脅叫我們小聲！,1,圓山大飯店,Google
2024-01-22,五星級飯店，無星級服務 服務人員態度極差，從入門接待到主管階級 身為國際級別飯店，台灣代表性的飯店 服務人員的素質可惜了這個頭銜,1,圓山大飯店,Google
2024-01-22,,5,圓山大飯店,Google
2024-01-22,必須參觀,5,圓山大飯店,Google
2024-01-21,,4,圓山大飯店,Google
2024-01-21,包廂景觀佳，餐點美味，服務佳。,5,圓山大飯店,Google
2024-01-21,辦抓周選圓山，溫馨快樂,5,圓山大飯店,Google
2024-01-20,爬山經過隨意拍....走走逛逛還不錯,5,圓山大飯店,Google
2024-01-20,20240119吃一樓自助餐，今天運氣不錯有現場鋼琴演奏很有氣氛，餐點就飯店自助餐的樣子，你們可以來試試,4,圓山大飯店,Google
2024-01-20,沒想到第一次來竟然是因為尾牙，圓山真的展現出古典美感，感受到整體裝潢帶來的磅礡氣場，希望往後有緣再來體驗,4,圓山大飯店,Google
2024-01-20,,4,圓山大飯店,Google
2024-01-20,一家不錯的酒店，儘管隨著時間的推移它已經惡化了。,3,圓山大飯店,Google
2024-01-20,很棒的老牌飯店，除了早餐弱一點點，珍珠奶茶不要浪費錢買。,5,圓山大飯店,Google
2024-01-20,環景房270°視野遼闊。,4,圓山大飯店,Google
2024-01-19,很有氣派 一個標誌性歷史性很強的飯店 設備齊全服務一流,5,圓山大飯店,Google
