review_date,review_text,review_rate,review_hotel,review_source
,hao1,5,老爺大酒店,Google
2024-01-22,星期六下午入住，門口接待員非常親切，飯店精緻貼心，備品齊全，洗澡時水恆溫舒適，帶小孩住宿有完美的體驗。,5,老爺大酒店,Google
2024-01-22,,4,老爺大酒店,Google
2024-01-19,,5,老爺大酒店,Google
2024-01-18,還好,3,老爺大酒店,Google
2024-01-16,Maio服務態度需要改善，從送前菜開始就一直想要收東西，送餐上來也不會說一下，我跟我朋友在聊天直接從中間穿過去，是想燙死我嗎,1,老爺大酒店,Google
2024-01-16,,1,老爺大酒店,Google
2024-01-15,,5,老爺大酒店,Google
2024-01-15,服務優秀,4,老爺大酒店,Google
2024-01-15,服務滿點難怪下午茶時間排隊再久還是要想要等待 烘焙坊的麵包也好美味😘 不時會有新商品,5,老爺大酒店,Google
2024-01-15,,5,老爺大酒店,Google
2024-01-15,二樓自助餐品項不多但食材好 每樣東西都好吃,5,老爺大酒店,Google
2024-01-15,,5,老爺大酒店,Google
2024-01-08,,5,老爺大酒店,Google
2024-01-08,非常古老的學校,5,老爺大酒店,Google
2024-01-08,剛進房間有股味道，不知是否沒通風的關係。半夜隔壁房間講話可能大聲點，竟然聽得到。還蠻乾淨，整體上還不錯。,3,老爺大酒店,Google
2023-12-25,,5,老爺大酒店,Google
2023-12-25,,4,老爺大酒店,Google
2023-12-23,,1,老爺大酒店,Google
2023-12-23,去1F買麵包，品質不錯好吃，可是總類略少，店員服務不錯，價錢算是合理,4,老爺大酒店,Google
2023-12-23,地點好，房間舒適，但車位有限，避開飯點才有位子,4,老爺大酒店,Google
2023-12-23,中餐不錯吃,5,老爺大酒店,Google
2023-12-23,預定生日方案的套房，人員服務上好的無話可說，房內的空間、設備以及方案內容物也都相當值得，最後牛扎糖的介紹書擺得相當的巧妙，讓我不小心翻到又不小心去樓下買了幾包，好吃👍。,5,老爺大酒店,Google
2023-12-23,,5,老爺大酒店,Google
2023-12-23,,5,老爺大酒店,Google
2023-12-23,,5,老爺大酒店,Google
2023-12-23,不錯的感覺,4,老爺大酒店,Google
2023-12-23,房間很舒適也夠大,5,老爺大酒店,Google
2023-12-23,,5,老爺大酒店,Google
2023-12-23,生魚片 甜點 非常好吃，但可挑選種類較少,4,老爺大酒店,Google
2023-12-23,在這等待接駁車沒有住過不知道服務,4,老爺大酒店,Google
2023-12-23,吸煙區設在門口，在門口等人一直聞煙味,4,老爺大酒店,Google
2023-12-23,溫暖舒適的飯店,4,老爺大酒店,Google
2023-12-23,,5,老爺大酒店,Google
2023-12-23,這很容易，因為我能聽懂日文。,3,老爺大酒店,Google
2023-12-23,,4,老爺大酒店,Google
2023-12-23,,5,老爺大酒店,Google
