review_date,review_text,review_rate,review_hotel,review_source
2024-01-22,舒服、溫泉夠熱、很多池可以泡，雖然需要開車一段時間，但風景優美，可以一邊泡溫泉一邊遠眺雲霧環繞群山，美不勝收，值得。,5,陽明山天籟渡假酒店,Google
2024-01-22,地點雖然稍遠 但是 看山 景泡溫泉 享受無價 ， 可惜更衣室較遠比較不方便,4,陽明山天籟渡假酒店,Google
2024-01-21,還不錯,5,陽明山天籟渡假酒店,Google
2024-01-21,,5,陽明山天籟渡假酒店,Google
2024-01-19,,4,陽明山天籟渡假酒店,Google
2024-01-18,服務態度一般， 房間冷氣不足， 食物類型太少， 整體感覺 太舊,3,陽明山天籟渡假酒店,Google
2024-01-16,從台北市過去真的有點遠,5,陽明山天籟渡假酒店,Google
2024-01-16,休息放鬆的好地方,4,陽明山天籟渡假酒店,Google
2024-01-16,1130106入住和風館3人房 床鋪很好睡從淋浴間推門出去，發現溫泉浴池是在戶外（房間陽臺）非常驚喜，很有露天溫泉的感覺，晚間女兒突然發高燒 客房主管隨即派車陪同我們就醫，在醫院外等待我們2-3小時後又回飯店準備清粥、餐盒、水、運動飲料送到醫院給我們 隔天退房時 櫃臺人員也有關心女兒身體狀況 是非常暖心的飯店 非常感謝當天晚上那位女性主管及司機大哥的幫助！,5,陽明山天籟渡假酒店,Google
2024-01-16,還行,4,陽明山天籟渡假酒店,Google
2024-01-16,在陽明山上的溫泉酒店，離金山很近，溫泉設施多,4,陽明山天籟渡假酒店,Google
2024-01-09,,5,陽明山天籟渡假酒店,Google
2024-01-09,很適合放鬆泡湯，整天耍廢的好地方,5,陽明山天籟渡假酒店,Google
2024-01-09,12月致電到貴飯店詢問1/1晚餐提供甚麼，服務生說有提供自助餐，結果1/1到現場後才知道晚餐不是自助餐，而是火鍋自助!如果要跑一趟這麼遠吃火鍋，我何必舟車勞頓到貴飯店吃? 而且泡湯加火鍋一個人要收$1790?請問是當客人是傻子嗎?,1,陽明山天籟渡假酒店,Google
2024-01-09,,4,陽明山天籟渡假酒店,Google
2024-01-02,環境優美。,5,陽明山天籟渡假酒店,Google
2024-01-02,客房人員服務太差 脾氣也太差了,1,陽明山天籟渡假酒店,Google
2024-01-02,,5,陽明山天籟渡假酒店,Google
2024-01-02,溫泉酒店不二之選,5,陽明山天籟渡假酒店,Google
2024-01-02,餐飲不過不失。房間很寬敞，房價已房內飲品及小食。重點是溫泉，有各式泡湯，水療和三溫暖，適合一家大小或三五知己。,5,陽明山天籟渡假酒店,Google
2024-01-02,,4,陽明山天籟渡假酒店,Google
2024-01-02,,5,陽明山天籟渡假酒店,Google
2024-01-02,一泊二食，晚餐給90分，早餐給85分，房間85分，但是價格還是偏高了點，喜歡陽明山溫泉的還是可以去試試,5,陽明山天籟渡假酒店,Google
2024-01-02,一日遊約1500(泡湯+餐) 餐小貴! 可能是地點吧~ 平日只有火鍋沒有自助餐,3,陽明山天籟渡假酒店,Google
2024-01-02,非常棒,5,陽明山天籟渡假酒店,Google
2023-12-26,自助餐很爛，連牛排，生魚片都沒有，這是飯店的自助餐嗎？一個晚上16000耶！,1,陽明山天籟渡假酒店,Google
2023-12-26,泡溫泉的好所在,5,陽明山天籟渡假酒店,Google
2023-12-24,"泡浴房 是一個非常大的敗筆，整個房間附開放式的淋浴，地坪鋪設的是花崗岩石，是光滑面的，而非粗面的，非常漂亮 但是非常危險，毫無腦子的設計！浴池旁只有一個餐墊大小的防滑墊,離開浴池 隨時、分秒滑倒應該是必然的 需非常謹慎、小心，如果沒有人提出告訴 是完全 的不可思議！ 而我不幸帶著孩子滑倒，摔傷韌帶！",1,陽明山天籟渡假酒店,Google
2023-12-24,感覺還好，房內湯池的等級、設備，很多溫泉飯店都有....別家的池甚至更大一點...一泊二食的方案，原以為是比較尊爵的方案，結果是因為有優惠了，所以沒有肉盤，只有架上的廉價肉片...（其他吧費內容一樣，但主食差別待遇），更慘的是，有團體辦活動，唱卡拉ok，所以變成吃不便宜的火鍋佐卡啦oj伴唱，坦白說，很像是在海鮮熱炒餐廳....還不能不聽😡，總覺得天籟飯店這樣對得起您的收費嗎？總之，整體來說，真的還好而已，不太值得花萬把元來....,3,陽明山天籟渡假酒店,Google
2023-12-24,,3,陽明山天籟渡假酒店,Google
2023-12-24,,4,陽明山天籟渡假酒店,Google
2023-12-24,,4,陽明山天籟渡假酒店,Google
2023-12-24,,4,陽明山天籟渡假酒店,Google
2023-12-24,,5,陽明山天籟渡假酒店,Google
2023-12-24,,4,陽明山天籟渡假酒店,Google
2023-12-24,雖說是世外桃源之境，不過收費不便宜，晚餐自助餐每人1200元，座位少，供餐時間太短，20：30就收；手機訊號收訊品質差，房間隔音效果差，戶外停車場，下雨天不方便！ 裸湯屋缺乏有效管理及提醒，竟有人拿手機入湯屋，邊泡湯講邊講電話拍照！,3,陽明山天籟渡假酒店,Google
2023-12-24,,5,陽明山天籟渡假酒店,Google
2023-12-24,好山好水泡溫泉♨️好去處喔！,5,陽明山天籟渡假酒店,Google
2023-12-24,陽明山後境 繚繞風煙輕 鳥語蔥翠嵐 湯暖溫我心,5,陽明山天籟渡假酒店,Google
2023-12-24,就是隔音比較差,4.1,陽明山天籟渡假酒店,Google
2023-12-24,無邊際的圓形泡湯池 天氣好或是不好都有不同的體驗與風景。泡湯池也很多，但沒有太多的特色。服務人員的素質差異很大，有的很親切但也遇到很不專業的櫃檯人員，身上已經披著浴巾，手上拿著櫃子的鑰匙還問我買票了沒。,3,陽明山天籟渡假酒店,Google
2023-12-24,預定的室內有泡溫泉的雙人房，一泊二食。整體價格徧高，但是餐點豐盛，特別適合喜歡嚐鮮美食的人。,5,陽明山天籟渡假酒店,Google
2023-12-24,服務人員親切 房間乾淨舒適 今日入住和風四人房 房間內有溫泉可以隨時使用 飯店內也有桌球撞球健身房可以免費使用 自助晚餐種類不算多 不過該有的都有 味道尚可 在山上不用太要求,5,陽明山天籟渡假酒店,Google
2023-12-24,,5,陽明山天籟渡假酒店,Google
