date,overall_rate,hotel,source
2023-10-30,4.3,老爺大酒店,Google
2023-10-30,4.4,台北晶華酒店,Google
2023-10-30,4.4,亞都麗緻大飯店,Google
2023-10-30,4.2,台北福華大飯店,Google
2023-10-30,4.3,台北W飯店,Google
2023-10-30,4.4,台北君悅酒店,Google
2023-10-30,4.2,兄弟大飯店,Google
2023-10-30,4.3,台北寒舍喜來登大飯店,Google
2023-10-30,3.9,台北凱撒大飯店,Google
2023-10-30,4.4,台北美福大飯店,Google
2023-10-30,4.5,台北遠東香格里拉,Google
2023-10-30,3.8,三德大飯店,Google
2023-10-30,4.4,圓山大飯店,Google
2023-10-30,3.7,豪景大酒店,Google
2023-10-30,4.2,美麗信花園酒店,Google
2023-10-30,4.3,台北寒舍艾美酒店,Google
2023-10-30,4.5,JR東日本大飯店台北,Google
2023-10-30,4.0,北投水美溫泉會館,Google
2023-10-30,4.0,北投春天溫泉酒店,Google
2023-10-30,4.3,北投日勝生加賀屋國際溫泉飯店,Google
2023-10-30,4.1,南豐天玥泉會館,Google
2023-10-30,4.2,陽明山天籟渡假酒店,Google
2023-10-30,4.5,北投麗禧溫泉酒店,Google
2023-10-30,4.3,老爺大酒店,Google
2023-10-30,4.4,台北晶華酒店,Google
2023-10-30,4.4,亞都麗緻大飯店,Google
2023-10-30,4.2,台北福華大飯店,Google
2023-10-30,4.3,台北W飯店,Google
2023-10-30,4.4,台北君悅酒店,Google
2023-10-30,4.2,兄弟大飯店,Google
2023-10-30,4.3,台北寒舍喜來登大飯店,Google
2023-10-30,3.9,台北凱撒大飯店,Google
2023-10-30,4.4,台北美福大飯店,Google
2023-10-30,4.5,台北遠東香格里拉,Google
2023-10-30,3.8,三德大飯店,Google
2023-10-30,4.4,圓山大飯店,Google
2023-10-30,3.7,豪景大酒店,Google
2023-10-30,4.2,美麗信花園酒店,Google
2023-10-30,4.3,台北寒舍艾美酒店,Google
2023-10-30,4.5,JR東日本大飯店台北,Google
2023-10-30,4.0,北投水美溫泉會館,Google
2023-10-30,4.0,北投春天溫泉酒店,Google
2023-10-30,4.3,北投日勝生加賀屋國際溫泉飯店,Google
2023-10-30,4.1,南豐天玥泉會館,Google
2023-10-30,4.2,陽明山天籟渡假酒店,Google
2023-10-30,4.5,北投麗禧溫泉酒店,Google
