review_date,review_text,amenities_score,service_score,location_score,overall_rate,review_hotel,review_source
2023-11-27,退個餐卷櫃檯跟餐廳居然說不能退。後面要詢問管理部結果手續繁複以後不會再購買了,,,,1,老爺大酒店,Google
2023-11-25,無論如何它都是美麗的。設施齊全,5.0,5.0,4.0,5,老爺大酒店,Google
2023-11-24,我和朋友去台灣旅行時在這裡住了兩晚。 到目前為止，我已經去過亞洲的幾個國家。 我的印像是台灣是英文最不懂的地方。 知道飯店裡說日文真是讓人放心。 🌟房間 我和我的朋友共用一間高級雙床房。 浴室、衛浴和水槽是分開的，使用起來很方便。 淋浴的水壓或吹風機的風力都沒有問題。 到達後才發現可以租燙髮器。 設施是歐舒丹◎ 但奇怪的是，雖然是兩個人入住，但每晚只有一套設施。 我想要第一天 2 套。 睡衣也採用舒適的棉質布料製成。 這是一個舒適的房間，沒有壓力。 🌟關於早餐 所有的菜都很美味。 它的設計目的是讓當地人和日本人都能享受。 菜單已更改，以便您即使住幾晚也不會感到無聊。 還有，最讓我驚喜的是豆漿竟然這麼好吃！ 日本的豆漿很濃稠，我不喜歡餘韻。 台灣豆漿口感順滑，餘韻清爽。 我覺得自助早餐的飲料角總是有熱豆漿的，所以一定要看！ 水果也很好吃！正如台灣所期望的那樣 🌟訪問 因為靠近市中心，所以有很多餐廳。 您也可以享受購物的樂趣。雖然離車站近一點， 我很高興很安靜。 🌟其他 許多工作人員都很熱情、友善、樂於助人。 *這在韓國和新加坡很常見。 鎮上沒有貨幣兌換處，這是一個大問題。 另外，銀行週六週日不營業(;;) 信用卡和二維碼支付並不像日本那麼先進。 在機場兌換大量貨幣是個好主意。 當然，飯店的價格相當糟糕。,5.0,5.0,5.0,5,老爺大酒店,Google
2023-11-23,Nikko 飯店位於一條美麗的林蔭大道的中心位置，可輕鬆前往地鐵站。酒店的工作人員非常細心和樂於助人。我們發現房間相當大，設施齊全，有一張舒適的大床。浴室的佈局和設施都相當正常。 房間的維護可以更好一點，水槽後面有一點黴菌，門幾乎關不起來。遮光百葉窗效果很好，但有點破。雖然我們住得很愉快，但飯店有點貴。,4.0,5.0,5.0,4,老爺大酒店,Google
2023-11-23,第一年尾牙辦在這裡，舒服,,,,5,老爺大酒店,Google
2023-11-22,吃自助餐，午餐。人意外的多到讓我吃驚。菜色不是超級多，但是該有的都有，重點是，好吃喔！一定會再去吃的！,,5.0,5.0,5,老爺大酒店,Google
2023-11-27,優質的服務，美味的早餐，優越的地理位置。水療中心是世界一流的。我們有一間帶陽台的特大號床間，可以俯瞰公園。街道很安靜，床很舒服，所以我們睡得很好,5.0,5.0,5.0,5,台北晶華酒店,Google
2023-11-27,不錯的飯店。,5.0,5.0,5.0,5,台北晶華酒店,Google
2023-11-27,水準之上，服務一流。,4.0,4.0,4.0,4,台北晶華酒店,Google
2023-11-26,在晶華米其林綠星享受的早餐盛宴後，我們的午餐選擇卻不幸落入了一場美食的悲劇。誤打誤撞之下，我們在小小樹食尋找慰藉，卻意外發現，有時候選擇不吃，可能是更令人愉悅的決定。這頓午餐，不僅無法撫慰心靈，反而讓情緒隨著每一口食物逐漸沉重。週末時服務人員短缺、餐點上桌速度龜速，這些似乎已是預料之中的「常態」。服務質量低下，食物上桌需要長達一個多小時的等待，成為了我們這趟用餐體驗中的一大煎熬。更讓人咋舌的是，所謂的「龍蝦堡」，其品質與麥當勞相比，似乎更遜色幾分。薯條數量稀少，擺盤像是藝術品中的悼念。而將馬鈴薯與牛肉混合的菜餚，味道之鹹重，讓人不禁想起了某些即食餐點的遺憾。當我們向服務人員反映這些不盡人意的餐點時，他們的態度似乎顯示這已是家常便飯。我真心建議，為了保留忠實顧客並維持員工的士氣，餐廳應考慮儘快回歸其原有的菜單。或許，當生意太過興旺時，偶爾提供一些不那麼吸引人的選擇，也許是稀釋客流的一種策略。,,,,1,台北晶華酒店,Google
