review_date,review_text,review_rate,review_hotel,review_source,expectation
2023-10-28,大家日語都說得很流利 非常棒。 。 他很友善，一切都很完美。這個飯店值得這個價錢！永遠不會失敗的飯店！,5,老爺大酒店,Google,5.0
2023-10-28,乾淨的,4,老爺大酒店,Google,5.0
2023-10-27,到目前為止在酒店住了3天。非常友善的員工！門衛和禮賓人員比我去過的任何酒店都多。連清潔工也會在走廊上跟你打招呼。房間裡有很多設施，如加濕器、熨褲機、熨斗等。期待接下來在酒店的四天。,5,老爺大酒店,Google,5.0
2023-10-27,只食牛肉麵😎,4,老爺大酒店,Google,5.0
2023-10-28,大家日語都說得很流利 非常棒。 。 他很友善，一切都很完美。這個飯店值得這個價錢！永遠不會失敗的飯店！,5,老爺大酒店,Google,5.0
2023-10-28,乾淨的,4,老爺大酒店,Google,5.0
2023-10-27,到目前為止在酒店住了3天。非常友善的員工！門衛和禮賓人員比我去過的任何酒店都多。連清潔工也會在走廊上跟你打招呼。房間裡有很多設施，如加濕器、熨褲機、熨斗等。期待接下來在酒店的四天。,5,老爺大酒店,Google,5.0
2023-10-27,只食牛肉麵😎,4,老爺大酒店,Google,5.0
2023-10-30,飯店依然獨特風格,4,台北晶華酒店,Google,4.0
2023-10-30,生魚片品質很好,4,台北晶華酒店,Google,4.0
2023-10-29,飯店很貼心的準備一系列萬聖節活動 讓孩子可以討糖，有個快樂童年,5,台北晶華酒店,Google,4.0
2023-10-29,中山區的名牌飯店。用餐，逛街購物都很優,5,台北晶華酒店,Google,4.0
2023-10-29,萬聖節快樂,5,台北晶華酒店,Google,4.0
2023-10-29,交通是便利.停車比較不方便。,5,台北晶華酒店,Google,4.0
2023-10-29,萬聖節週末來住 櫃台服務親切介紹詳細 體諒我們帶小孩 下午一點check in就趕緊安排房間讓我們入住休息 搭配上萬聖節活動 小朋友玩得很開心 IHG年度酒廊可使用雲天廊 服務也很不錯 鑽石會籍也有順利升等至雲天露台客房 健身房與三溫暖設施也非常優秀 總之非常棒的住宿體驗 非常推薦給大家,5,台北晶華酒店,Google,4.0
2023-10-29,萬聖節快樂！！,5,台北晶華酒店,Google,4.0
2023-10-29,開心豪華👍🏼,5,台北晶華酒店,Google,4.0
2023-10-28,每當節慶到晶華酒店都可以感受節慶氛圍，每一位服務人員態度也都非常和善，對小朋友親切友善，無論是餐飲、住宿都讓人覺得賓至如歸！,5,台北晶華酒店,Google,4.0
2023-10-28,開心的要糖果活動,5,台北晶華酒店,Google,4.0
2023-10-28,萬聖節快樂,5,台北晶華酒店,Google,4.0
2023-10-28,萬聖節快樂,5,台北晶華酒店,Google,4.0
2023-10-28,台北晶華酒店，遊戲室服務人員很nice且很親切，且玩具很多，很適合有小朋友的家庭來這邊住.,5,台北晶華酒店,Google,4.0
2023-10-28,好的,5,台北晶華酒店,Google,4.0
2023-10-28,我對住宿感到滿意，位置真的非常方便。走路就可以到附近的酒吧小酌。房間很舒適，工作人員非常友善，很樂意回答我的問題。 但是，四星而不是五星的原因是，有時候在餐廳等待食物的時間有點長，價格也稍微高一些。此外，房間的一些家具和裝飾看起來有點老舊，可能需要一些更新。 晶華酒店提供了一個不錯的住宿體驗，但還有一些地方可以改進。會考慮再次入住。,4,台北晶華酒店,Google,4.0
