review_date,review_text,amenities_score,service_score,location_score,overall_rate,review_hotel,review_source,expectation
2023-11-18,位置好，適合購物,4.0,4.0,5.0,4,老爺大酒店,Google,4.0
2023-11-18,我搭計程車去尋找台灣第一牛軋糖。 我對這個網站如此之小感到驚訝。讓我驚訝的是所有的工作人員都會說日語。如果你冷靜地想一想，我想確實如此……JAL……哈哈 我買了芒果和綠茶牛軋糖和鳳梨蛋糕。 當我付帳時，一位吵鬧的日本嬰兒潮世代對售貨員說話並停止了結帳。我有點猶豫，因為也是在日本，但店裡年輕的女售貨員很貼心，也很細心地跟進。當時我很開心。 我在其他店買過牛軋糖，但這裡的牛軋糖最好吃。其他店家都使用甜味劑，所以價格還算合理。不太甜，堅果也很多，很適合搭配台灣茶。 鳳梨酥個子小，味道也不錯。我覺得味道一般吧... 我的印像是，顧客群主要是不習慣旅行的日本老年人。 當我再次訪問台灣時，我會來買牛軋糖。,,,,5,老爺大酒店,Google,4.0
2023-11-17,台北市老牌的高級旅館，一直以來尤為日本旅客所喜愛。隨著時日更迭，老爺也日新月異，保持良好的競爭力。住房舒適、交通便利是其最大優勢,,,,5,老爺大酒店,Google,4.0
2023-11-17,Cp值不佳,,,,2,老爺大酒店,Google,4.0
2023-11-16,這是我第二次入住該酒店（2020 年一次，今年 2023 年再次入住），我很高興服務水準保持不變！感謝你們讓我的住宿體驗非常愉快。,5.0,5.0,5.0,5,老爺大酒店,Google,4.0
2023-11-15,到目前為止在酒店住了3天。非常友善的員工！門衛和禮賓人員比我去過的任何酒店都多。連清潔工也會在走廊上跟你打招呼。房間裡有很多設施，如加濕器、熨褲機、熨斗等。期待接下來在酒店的四天。 剛回國後更新。酒店的工作人員很棒，食物是一流的。退房很快，禮賓人員非常樂於助人，很快就幫我們找到了去機場的計程車。對於工作人員的友好、禮貌和專業，我無法用言語來形容。清潔人員保持我們的房間一塵不染，提供水和偶爾的款待。每天都有乾淨的毛巾，離開後通常會打掃我們的房間。只有一個建議，夏天過後游泳池被排乾並關閉，即使十月份的溫度在 25 至 30 攝氏度之間，我們也無法使用游泳池。也許考慮根據天氣和溫度延長游泳池的開放時間？否則，再次感謝您為我們帶來了愉快的住宿體驗。,5.0,5.0,5.0,5,老爺大酒店,Google,4.0
2023-11-14,酒店的服務和住宿令人印象深刻。,5.0,5.0,4.0,5,老爺大酒店,Google,4.0
2023-11-14,位置很好，服務非常好。枕頭和床都很舒服。,5.0,5.0,5.0,5,老爺大酒店,Google,4.0
2023-11-19,樂團表演非常精彩！會再來,,5.0,5.0,5,台北晶華酒店,Google,3.8
2023-11-19,看得出有年紀的飯店，但維持得很棒！服務人員100分，非常貼心周到，任何問題也都能即時協助。房間舒適且乾淨。早餐豐盛多樣，都很好吃！,5.0,5.0,5.0,5,台北晶華酒店,Google,3.8
